*! 12C energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.500000	1.11108   	1.500000	1.13066   	1.500000	1.12005   	1.500000	1.12005   	1.500000	1.12005   	1.500000	1.12983   	1.500000	0.000834779	
1.750000	1.02361   	1.750000	1.05732   	1.750000	1.04509   	1.750000	1.04509   	1.750000	1.04509   	1.750000	1.05659   	1.750000	0.000729489	
2.000000	0.942237  	2.000000	0.987854  	2.000000	0.979875  	2.000000	0.979875  	2.000000	0.979876  	2.000000	0.987205  	2.000000	0.000648887	
2.250000	0.874547  	2.250000	0.919273  	2.250000	0.922388  	2.250000	0.922388  	2.250000	0.922388  	2.250000	0.918688  	2.250000	0.000585087	
2.500000	0.814473  	2.500000	0.861384  	2.500000	0.871259  	2.500000	0.871259  	2.500000	0.871259  	2.500000	0.860851  	2.500000	0.00053326	
3.000000	0.725809  	3.000000	0.76774   	3.000000	0.784263  	3.000000	0.784263  	3.000000	0.784264  	3.000000	0.767286  	3.000000	0.000454017	
3.500000	0.655369  	3.500000	0.69389   	3.500000	0.713092  	3.500000	0.713092  	3.500000	0.713092  	3.500000	0.693494  	3.500000	0.00039614	
4.000000	0.598044  	4.000000	0.633927  	4.000000	0.653874  	4.000000	0.653874  	4.000000	0.653875  	4.000000	0.633575  	4.000000	0.000351915	
4.500000	0.550461  	4.500000	0.584068  	4.500000	0.603887  	4.500000	0.603887  	4.500000	0.603887  	4.500000	0.583751  	4.500000	0.000316962	
5.000000	0.510309  	5.000000	0.541786  	5.000000	0.561158  	5.000000	0.561158  	5.000000	0.561159  	5.000000	0.541498  	5.000000	0.000288607	
5.500000	0.475955  	5.500000	0.506237  	5.500000	0.524229  	5.500000	0.524229  	5.500000	0.524229  	5.500000	0.505971  	5.500000	0.000265117	
6.000000	0.446213  	6.000000	0.47528   	6.000000	0.491999  	6.000000	0.491999  	6.000000	0.492     	6.000000	0.475035  	6.000000	0.000245323	
6.500000	0.420203  	6.500000	0.448058  	6.500000	0.463628  	6.500000	0.463628  	6.500000	0.463629  	6.500000	0.447829  	6.500000	0.000228404	
7.000000	0.397254  	7.000000	0.423919  	7.000000	0.438462  	7.000000	0.438462  	7.000000	0.438462  	7.000000	0.423706  	7.000000	0.000213768	
7.500000	0.376849  	7.500000	0.402361  	7.500000	0.415984  	7.500000	0.415984  	7.500000	0.415985  	7.500000	0.40216   	7.500000	0.000200975	
8.000000	0.358582  	8.000000	0.382984  	8.000000	0.395785  	8.000000	0.395785  	8.000000	0.395786  	8.000000	0.382794  	8.000000	0.000189693	
8.500000	0.342128  	8.500000	0.365469  	8.500000	0.377533  	8.500000	0.377533  	8.500000	0.377533  	8.500000	0.36529   	8.500000	0.000179665	
9.000000	0.327227  	9.000000	0.349558  	9.000000	0.360957  	9.000000	0.360957  	9.000000	0.360957  	9.000000	0.349387  	9.000000	0.00017069	
9.500000	0.313666  	9.500000	0.335037  	9.500000	0.345835  	9.500000	0.345835  	9.500000	0.345835  	9.500000	0.334875  	9.500000	0.000162609	
10.000000	0.301269  	10.000000	0.336268  	10.000000	0.331982  	10.000000	0.331982  	10.000000	0.331983  	10.000000	0.336112  	10.000000	0.000155292	
