*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0467294 	0.001000	0.0530057 	0.001000	0.0676306 	0.001000	0.0676306 	0.001000	0.0676127 	0.001000	0.0483733 	0.001000	0.00463243	
0.002000	0.0568045 	0.002000	0.0650486 	0.002000	0.0783117 	0.002000	0.0783117 	0.002000	0.0783012 	0.002000	0.0616547 	0.002000	0.00339385	
0.005000	0.0754805 	0.005000	0.0869787 	0.005000	0.0962169 	0.005000	0.0962169 	0.005000	0.0962122 	0.005000	0.084966  	0.005000	0.00201266	
0.008000	0.0880681 	0.008000	0.10164   	0.008000	0.107432  	0.008000	0.107432  	0.008000	0.107429  	0.008000	0.100158  	0.008000	0.00148199	
0.010000	0.0948772 	0.010000	0.109567  	0.010000	0.113301  	0.010000	0.113301  	0.010000	0.113298  	0.010000	0.108294  	0.010000	0.00127231	
0.015000	0.114549  	0.015000	0.124703  	0.015000	0.124926  	0.015000	0.124926  	0.015000	0.124924  	0.015000	0.123757  	0.015000	0.000945875	
0.020000	0.130644  	0.020000	0.136526  	0.020000	0.133991  	0.020000	0.133991  	0.020000	0.13399   	0.020000	0.13576   	0.020000	0.000766042	
0.025000	0.143947  	0.025000	0.146088  	0.025000	0.141516  	0.025000	0.141516  	0.025000	0.141515  	0.025000	0.14544   	0.025000	0.000647978	
0.030000	0.154873  	0.030000	0.153944  	0.030000	0.149659  	0.030000	0.149659  	0.030000	0.149658  	0.030000	0.15338   	0.030000	0.000563911	
0.035000	0.163694  	0.035000	0.160429  	0.035000	0.156446  	0.035000	0.156446  	0.035000	0.156446  	0.035000	0.159928  	0.035000	0.000500694	
