*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.135204  	0.001000	0.124594  	0.001000	0.13697   	0.001000	0.13697   	0.001000	0.136931  	0.001000	0.07211   	0.001000	0.0524837 	
0.002000	0.156983  	0.002000	0.14234   	0.002000	0.156246  	0.002000	0.156246  	0.002000	0.156223  	0.002000	0.105575  	0.002000	0.0367644 	
0.005000	0.219929  	0.005000	0.195605  	0.005000	0.209766  	0.005000	0.209766  	0.005000	0.209756  	0.005000	0.174755  	0.005000	0.0208505 	
0.008000	0.272992  	0.008000	0.241396  	0.008000	0.254051  	0.008000	0.254051  	0.008000	0.254046  	0.008000	0.226305  	0.008000	0.0150905 	
0.010000	0.304589  	0.010000	0.268604  	0.010000	0.279914  	0.010000	0.279914  	0.010000	0.27991   	0.010000	0.255856  	0.010000	0.012748  	
0.015000	0.357603  	0.015000	0.318691  	0.015000	0.322517  	0.015000	0.322517  	0.015000	0.322514  	0.015000	0.309235  	0.015000	0.00945657	
0.020000	0.399184  	0.020000	0.361245  	0.020000	0.357024  	0.020000	0.357024  	0.020000	0.357022  	0.020000	0.353643  	0.020000	0.00760215	
0.025000	0.444426  	0.025000	0.400511  	0.025000	0.389593  	0.025000	0.389593  	0.025000	0.389592  	0.025000	0.394113  	0.025000	0.00639802	
0.030000	0.481108  	0.030000	0.436021  	0.030000	0.425474  	0.030000	0.425474  	0.030000	0.425473  	0.030000	0.430474  	0.030000	0.00554705	
0.035000	0.510451  	0.035000	0.468518  	0.035000	0.458853  	0.035000	0.458853  	0.035000	0.458852  	0.035000	0.463608  	0.035000	0.00491069	
0.040000	0.532961  	0.040000	0.498589  	0.040000	0.48985   	0.040000	0.48985   	0.040000	0.489849  	0.040000	0.494174  	0.040000	0.00441515	
0.045000	0.549001  	0.045000	0.526344  	0.045000	0.518555  	0.045000	0.518555  	0.045000	0.518554  	0.045000	0.522327  	0.045000	0.00401733	
0.050000	0.559028  	0.050000	0.551879  	0.050000	0.545043  	0.050000	0.545043  	0.050000	0.545043  	0.050000	0.548189  	0.050000	0.00369027	
0.055000	0.581269  	0.055000	0.575283  	0.055000	0.56939   	0.055000	0.56939   	0.055000	0.56939   	0.055000	0.571866  	0.055000	0.0034162 	
0.060000	0.599763  	0.060000	0.596641  	0.060000	0.591672  	0.060000	0.591672  	0.060000	0.591671  	0.060000	0.593458  	0.060000	0.00318291	
0.070000	0.626704  	0.070000	0.633584  	0.070000	0.630365  	0.070000	0.630365  	0.070000	0.630365  	0.070000	0.630778  	0.070000	0.00280624	
0.080000	0.655586  	0.080000	0.663455  	0.080000	0.661823  	0.080000	0.661823  	0.080000	0.661823  	0.080000	0.660941  	0.080000	0.00251461	
0.090000	0.676402  	0.090000	0.687032  	0.090000	0.686801  	0.090000	0.686801  	0.090000	0.686801  	0.090000	0.68475   	0.090000	0.00228159	
0.100000	0.691768  	0.100000	0.705296  	0.100000	0.706076  	0.100000	0.706076  	0.100000	0.706076  	0.100000	0.703205  	0.100000	0.00209076	
0.120000	0.701525  	0.120000	0.736873  	0.120000	0.730546  	0.120000	0.730546  	0.120000	0.730546  	0.120000	0.735077  	0.120000	0.00179614	
0.140000	0.703221  	0.140000	0.753358  	0.140000	0.740798  	0.140000	0.740798  	0.140000	0.740798  	0.140000	0.751779  	0.140000	0.00157857	
0.160000	0.70328   	0.160000	0.760436  	0.160000	0.741358  	0.160000	0.741358  	0.160000	0.741358  	0.160000	0.759025  	0.160000	0.00141082	
0.180000	0.70242   	0.180000	0.75936   	0.180000	0.735637  	0.180000	0.735637  	0.180000	0.735637  	0.180000	0.758082  	0.180000	0.00127725	
0.200000	0.704279  	0.200000	0.755994  	0.200000	0.726066  	0.200000	0.726066  	0.200000	0.726067  	0.200000	0.754826  	0.200000	0.0011682 	
0.250000	0.689866  	0.250000	0.737254  	0.250000	0.694877  	0.250000	0.694877  	0.250000	0.694878  	0.250000	0.736288  	0.250000	0.000966188	
0.300000	0.687613  	0.300000	0.72355   	0.300000	0.666667  	0.300000	0.666667  	0.300000	0.666667  	0.300000	0.722724  	0.300000	0.000826693	
0.350000	0.67962   	0.350000	0.702693  	0.350000	0.640354  	0.350000	0.640354  	0.350000	0.640355  	0.350000	0.701969  	0.350000	0.000724201	
0.400000	0.668147  	0.400000	0.680059  	0.400000	0.615302  	0.400000	0.615302  	0.400000	0.615303  	0.400000	0.679413  	0.400000	0.000645506	
0.450000	0.653046  	0.450000	0.656075  	0.450000	0.591578  	0.450000	0.591578  	0.450000	0.591579  	0.450000	0.655492  	0.450000	0.000583058	
0.500000	0.638365  	0.500000	0.634736  	0.500000	0.570217  	0.500000	0.570217  	0.500000	0.570218  	0.500000	0.634204  	0.500000	0.00053222	
0.600000	0.585844  	0.600000	0.594275  	0.600000	0.533211  	0.600000	0.533211  	0.600000	0.533212  	0.600000	0.59382   	0.600000	0.000454285	
0.700000	0.533262  	0.700000	0.555954  	0.700000	0.501954  	0.700000	0.501954  	0.700000	0.501954  	0.700000	0.555556  	0.700000	0.000397191	
0.800000	0.510025  	0.800000	0.52814   	0.800000	0.474879  	0.800000	0.474879  	0.800000	0.474879  	0.800000	0.527786  	0.800000	0.000353457	
0.900000	0.485269  	0.900000	0.500268  	0.900000	0.450975  	0.900000	0.450975  	0.900000	0.450975  	0.900000	0.499949  	0.900000	0.000318821	
1.000000	0.460698  	1.000000	0.473489  	1.000000	0.428487  	1.000000	0.428487  	1.000000	0.428487  	1.000000	0.473198  	1.000000	0.000290673	
1.250000	0.404342  	1.250000	0.414921  	1.250000	0.382198  	1.250000	0.382198  	1.250000	0.382199  	1.250000	0.414682  	1.250000	0.000238864	
1.500000	0.351059  	1.500000	0.360219  	1.500000	0.345548  	1.500000	0.345548  	1.500000	0.345548  	1.500000	0.360015  	1.500000	0.000203361	
1.750000	0.312007  	1.750000	0.320713  	1.750000	0.315289  	1.750000	0.315289  	1.750000	0.31529   	1.750000	0.320536  	1.750000	0.000177431	
2.000000	0.281811  	2.000000	0.290448  	2.000000	0.289762  	2.000000	0.289762  	2.000000	0.289762  	2.000000	0.29029   	2.000000	0.000157618	
2.250000	0.257971  	2.250000	0.266267  	2.250000	0.267849  	2.250000	0.267849  	2.250000	0.267849  	2.250000	0.266125  	2.250000	0.00014196	
