*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0485134 	0.001000	0.0548884 	0.001000	0.0695134 	0.001000	0.0695134 	0.001000	0.0694949 	0.001000	0.0483733 	0.001000	0.00651511	
0.002000	0.0577984 	0.002000	0.0661214 	0.002000	0.0793846 	0.002000	0.0793846 	0.002000	0.0793744 	0.002000	0.0616547 	0.002000	0.00446664	
0.005000	0.0759068 	0.005000	0.0874467 	0.005000	0.0966849 	0.005000	0.0966849 	0.005000	0.0966806 	0.005000	0.084966  	0.005000	0.0024807 	
0.008000	0.0883237 	0.008000	0.101923  	0.008000	0.107715  	0.008000	0.107715  	0.008000	0.107712  	0.008000	0.100158  	0.008000	0.00176493	
0.010000	0.0950937 	0.010000	0.109794  	0.010000	0.113528  	0.010000	0.113528  	0.010000	0.113526  	0.010000	0.108294  	0.010000	0.0014998 	
0.015000	0.114693  	0.015000	0.124863  	0.015000	0.125086  	0.015000	0.125086  	0.015000	0.125085  	0.015000	0.123757  	0.015000	0.0011063 	
0.020000	0.130752  	0.020000	0.136646  	0.020000	0.134111  	0.020000	0.134111  	0.020000	0.13411   	0.020000	0.13576   	0.020000	0.000886362	
0.025000	0.144034  	0.025000	0.146185  	0.025000	0.141612  	0.025000	0.141612  	0.025000	0.141612  	0.025000	0.14544   	0.025000	0.000744234	
0.030000	0.154946  	0.030000	0.154024  	0.030000	0.149739  	0.030000	0.149739  	0.030000	0.149739  	0.030000	0.15338   	0.030000	0.000644124	
0.035000	0.163756  	0.035000	0.160497  	0.035000	0.156515  	0.035000	0.156515  	0.035000	0.156515  	0.035000	0.159928  	0.035000	0.000569448	
0.040000	0.170678  	0.040000	0.165831  	0.040000	0.162156  	0.040000	0.162156  	0.040000	0.162156  	0.040000	0.165319  	0.040000	0.000511411	
0.045000	0.175899  	0.045000	0.17019   	0.045000	0.166822  	0.045000	0.166822  	0.045000	0.166822  	0.045000	0.169725  	0.045000	0.000464894	
0.050000	0.179605  	0.050000	0.173704  	0.050000	0.170637  	0.050000	0.170637  	0.050000	0.170636  	0.050000	0.173277  	0.050000	0.000426701	
0.055000	0.181975  	0.055000	0.176478  	0.055000	0.173701  	0.055000	0.173701  	0.055000	0.173701  	0.055000	0.176083  	0.055000	0.000394734	
0.060000	0.183186  	0.060000	0.178601  	0.060000	0.176101  	0.060000	0.176101  	0.060000	0.176101  	0.060000	0.178233  	0.060000	0.000367549	
0.070000	0.182808  	0.070000	0.181186  	0.070000	0.179198  	0.070000	0.179198  	0.070000	0.179198  	0.070000	0.180863  	0.070000	0.000323713	
0.080000	0.179719  	0.080000	0.181969  	0.080000	0.18043   	0.080000	0.18043   	0.080000	0.18043   	0.080000	0.181679  	0.080000	0.000289821	
0.090000	0.174943  	0.090000	0.181355  	0.090000	0.180202  	0.090000	0.180202  	0.090000	0.180202  	0.090000	0.181092  	0.090000	0.000262772	
0.100000	0.169256  	0.100000	0.179675  	0.100000	0.178847  	0.100000	0.178847  	0.100000	0.178847  	0.100000	0.179434  	0.100000	0.000240643	
0.120000	0.157154  	0.120000	0.174141  	0.120000	0.173811  	0.120000	0.173811  	0.120000	0.173811  	0.120000	0.173935  	0.120000	0.000206518	
0.140000	0.145804  	0.140000	0.166962  	0.140000	0.166967  	0.140000	0.166967  	0.140000	0.166967  	0.140000	0.16678   	0.140000	0.000181351	
0.160000	0.13595   	0.160000	0.159145  	0.160000	0.159373  	0.160000	0.159373  	0.160000	0.159373  	0.160000	0.158983  	0.160000	0.000161968	
0.180000	0.127625  	0.180000	0.151297  	0.180000	0.151671  	0.180000	0.151671  	0.180000	0.151671  	0.180000	0.15115   	0.180000	0.000146548	
0.200000	0.12062   	0.200000	0.143757  	0.200000	0.144228  	0.200000	0.144228  	0.200000	0.144228  	0.200000	0.143623  	0.200000	0.000133968	
0.250000	0.107317  	0.250000	0.127128  	0.250000	0.127717  	0.250000	0.127717  	0.250000	0.127717  	0.250000	0.127018  	0.250000	0.000110688	
0.300000	0.0978316 	0.300000	0.113832  	0.300000	0.114455  	0.300000	0.114455  	0.300000	0.114455  	0.300000	0.113737  	0.300000	9.46333e-05	
0.350000	0.0905482 	0.350000	0.103301  	0.350000	0.103923  	0.350000	0.103923  	0.350000	0.103923  	0.350000	0.103218  	0.350000	8.28484e-05	
0.400000	0.0846419 	0.400000	0.0948611 	0.400000	0.0954634 	0.400000	0.0954634 	0.400000	0.0954634 	0.400000	0.0947873 	0.400000	7.38068e-05	
0.450000	0.0796712 	0.450000	0.0879681 	0.450000	0.0885411 	0.450000	0.0885411 	0.450000	0.0885411 	0.450000	0.0879014 	0.450000	6.66366e-05	
0.500000	0.0753809 	0.500000	0.0822273 	0.500000	0.0827663 	0.500000	0.0827663 	0.500000	0.0827663 	0.500000	0.0821665 	0.500000	6.08027e-05	
0.600000	0.0682588 	0.600000	0.0731646 	0.600000	0.0736315 	0.600000	0.0736315 	0.600000	0.0736315 	0.600000	0.0731128 	0.600000	5.18654e-05	
0.700000	0.0625183 	0.700000	0.0662644 	0.700000	0.0666621 	0.700000	0.0666621 	0.700000	0.0666621 	0.700000	0.066219  	0.700000	4.53231e-05	
0.800000	0.0577571 	0.800000	0.0607765 	0.800000	0.061112  	0.800000	0.061112  	0.800000	0.061112  	0.800000	0.0607362 	0.800000	4.03149e-05	
0.900000	0.0537284 	0.900000	0.0562712 	0.900000	0.0565523 	0.900000	0.0565523 	0.900000	0.0565523 	0.900000	0.0562349 	0.900000	3.63508e-05	
1.000000	0.0502675 	1.000000	0.052484  	1.000000	0.0527181 	1.000000	0.0527181 	1.000000	0.0527181 	1.000000	0.0524509 	1.000000	3.31306e-05	
1.250000	0.0434078 	1.250000	0.0451516 	1.250000	0.0452946 	1.250000	0.0452946 	1.250000	0.0452946 	1.250000	0.0451244 	1.250000	2.72073e-05	
1.500000	0.0382973 	1.500000	0.0397962 	1.500000	0.0398759 	1.500000	0.0398759 	1.500000	0.0398759 	1.500000	0.0397731 	1.500000	2.31514e-05	
1.750000	0.0343302 	1.750000	0.0356799 	1.750000	0.0357146 	1.750000	0.0357146 	1.750000	0.0357147 	1.750000	0.0356597 	1.750000	2.01909e-05	
2.000000	0.0311544 	2.000000	0.0324014 	2.000000	0.0324035 	2.000000	0.0324035 	2.000000	0.0324035 	2.000000	0.0323835 	2.000000	1.79299e-05	
2.250000	0.0285501 	2.250000	0.0297202 	2.250000	0.029698  	2.250000	0.029698  	2.250000	0.029698  	2.250000	0.029704  	2.250000	1.61438e-05	
2.500000	0.0262589 	2.500000	0.0274815 	2.500000	0.0274411 	2.500000	0.0274411 	2.500000	0.0274411 	2.500000	0.0274668 	2.500000	1.46954e-05	
3.000000	0.0229287 	3.000000	0.0239453 	3.000000	0.0238802 	3.000000	0.0238802 	3.000000	0.0238802 	3.000000	0.0239328 	3.000000	1.24854e-05	
3.500000	0.0204013 	3.500000	0.0212689 	3.500000	0.0211888 	3.500000	0.0211888 	3.500000	0.0211889 	3.500000	0.021258  	3.500000	1.08752e-05	
4.000000	0.018412  	4.000000	0.0191661 	4.000000	0.0190769 	4.000000	0.0190769 	4.000000	0.0190769 	4.000000	0.0191565 	4.000000	9.64725e-06	
4.500000	0.0168024 	4.500000	0.0174667 	4.500000	0.0173718 	4.500000	0.0173718 	4.500000	0.0173718 	4.500000	0.017458  	4.500000	8.67839e-06	
5.000000	0.0154709 	5.000000	0.0160622 	5.000000	0.0159639 	5.000000	0.0159639 	5.000000	0.0159639 	5.000000	0.0160543 	5.000000	7.89352e-06	
5.500000	0.0143499 	5.500000	0.0148804 	5.500000	0.0147802 	5.500000	0.0147802 	5.500000	0.0147802 	5.500000	0.0148732 	5.500000	7.24416e-06	
6.000000	0.0133921 	6.000000	0.0138712 	6.000000	0.01377   	6.000000	0.01377   	6.000000	0.01377   	6.000000	0.0138645 	6.000000	6.69758e-06	
6.500000	0.0125637 	6.500000	0.0129984 	6.500000	0.012897  	6.500000	0.012897  	6.500000	0.012897  	6.500000	0.0129922 	6.500000	6.23087e-06	
7.000000	0.0118394 	7.000000	0.0122357 	7.000000	0.0121345 	7.000000	0.0121345 	7.000000	0.0121345 	7.000000	0.0122298 	7.000000	5.82749e-06	
