Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
9.000000	1.82691e-06	9.000000	2.18874e-06	9.000000	2.2483e-06	9.000000	2.2483e-06	9.000000	2.18768e-06	9.000000	1.06555e-09	
9.500000	1.74843e-06	9.500000	2.08799e-06	9.500000	2.14579e-06	9.500000	2.14579e-06	9.500000	2.08698e-06	9.500000	1.01441e-09	
10.000000	1.67699e-06	10.000000	1.9362e-06	10.000000	2.05265e-06	10.000000	2.05265e-06	10.000000	1.93524e-06	10.000000	9.68141e-10	
11.000000	1.55165e-06	11.000000	1.7997e-06	11.000000	1.88785e-06	11.000000	1.88795e-06	11.000000	1.79881e-06	11.000000	8.87653e-10	
12.000000	1.44521e-06	12.000000	1.68239e-06	12.000000	1.74905e-06	12.000000	1.74922e-06	12.000000	1.68157e-06	12.000000	8.1998e-10	
13.000000	1.35362e-06	13.000000	1.58046e-06	13.000000	1.6306e-06	13.000000	1.63078e-06	13.000000	1.5797e-06	13.000000	7.62252e-10	
14.000000	1.27392e-06	14.000000	1.49105e-06	14.000000	1.52836e-06	14.000000	1.52854e-06	14.000000	1.49033e-06	14.000000	7.12402e-10	
15.000000	1.20391e-06	15.000000	1.41194e-06	15.000000	1.43924e-06	15.000000	1.43941e-06	15.000000	1.41127e-06	15.000000	6.68904e-10	
16.000000	1.14188e-06	16.000000	1.34145e-06	16.000000	1.3609e-06	16.000000	1.36107e-06	16.000000	1.34082e-06	16.000000	6.306e-10 	
17.000000	1.08651e-06	17.000000	1.27821e-06	17.000000	1.29155e-06	17.000000	1.2917e-06	17.000000	1.27761e-06	17.000000	5.96603e-10	
18.000000	1.03678e-06	18.000000	1.22115e-06	18.000000	1.22977e-06	18.000000	1.22988e-06	18.000000	1.22058e-06	18.000000	5.66217e-10	
19.000000	9.91848e-07	19.000000	1.16939e-06	19.000000	1.17439e-06	19.000000	1.17447e-06	19.000000	1.16885e-06	19.000000	5.38887e-10	
20.000000	9.51037e-07	20.000000	1.12221e-06	20.000000	1.12449e-06	20.000000	1.12457e-06	20.000000	1.1217e-06	20.000000	5.1417e-10	
21.000000	9.13795e-07	21.000000	1.07903e-06	21.000000	1.07933e-06	21.000000	1.07942e-06	21.000000	1.07854e-06	21.000000	4.91704e-10	
22.000000	8.79667e-07	22.000000	1.03936e-06	22.000000	1.03833e-06	22.000000	1.0384e-06	22.000000	1.03889e-06	22.000000	4.7119e-10	
23.000000	8.4827e-07	23.000000	1.00276e-06	23.000000	1.00097e-06	23.000000	1.00099e-06	23.000000	1.00231e-06	23.000000	4.52382e-10	
24.000000	8.19283e-07	24.000000	9.68906e-07	24.000000	9.66794e-07	24.000000	9.66767e-07	24.000000	9.68471e-07	24.000000	4.35073e-10	
25.000000	7.92433e-07	25.000000	9.37483e-07	25.000000	9.35432e-07	25.000000	9.35362e-07	25.000000	9.37063e-07	25.000000	4.19088e-10	
27.000000	7.44249e-07	27.000000	8.80945e-07	27.000000	8.79978e-07	27.000000	8.79803e-07	27.000000	8.80555e-07	27.000000	3.9052e-10	
29.000000	7.02219e-07	29.000000	8.31485e-07	29.000000	8.32527e-07	29.000000	8.32309e-07	29.000000	8.31119e-07	29.000000	3.65728e-10	
31.000000	6.65216e-07	31.000000	7.87833e-07	31.000000	7.89797e-07	31.000000	7.89568e-07	31.000000	7.87489e-07	31.000000	3.44001e-10	
33.000000	6.32373e-07	33.000000	7.49012e-07	33.000000	7.50429e-07	33.000000	7.50129e-07	33.000000	7.48687e-07	33.000000	3.24798e-10	
35.000000	6.03013e-07	35.000000	7.1425e-07	35.000000	7.15162e-07	35.000000	7.14877e-07	35.000000	7.13942e-07	35.000000	3.07698e-10	
38.000000	5.64362e-07	38.000000	6.68411e-07	38.000000	6.68805e-07	38.000000	6.68475e-07	38.000000	6.68126e-07	38.000000	2.85286e-10	
41.000000	5.30975e-07	41.000000	6.28756e-07	41.000000	6.28741e-07	41.000000	6.28403e-07	41.000000	6.2849e-07	41.000000	2.66021e-10	
44.000000	5.01827e-07	44.000000	5.94097e-07	44.000000	5.93731e-07	44.000000	5.93432e-07	44.000000	5.93848e-07	44.000000	2.49277e-10	
47.000000	4.76146e-07	47.000000	5.63535e-07	47.000000	5.62971e-07	47.000000	5.62631e-07	47.000000	5.633e-07 	47.000000	2.34584e-10	
50.000000	4.53335e-07	50.000000	5.36375e-07	50.000000	5.35629e-07	50.000000	5.35286e-07	50.000000	5.36153e-07	50.000000	2.21584e-10	
55.000000	4.20478e-07	55.000000	4.9724e-07	55.000000	4.96302e-07	55.000000	4.95928e-07	55.000000	4.97037e-07	55.000000	2.02945e-10	
60.000000	3.92737e-07	60.000000	4.64196e-07	60.000000	4.63076e-07	60.000000	4.62733e-07	60.000000	4.64009e-07	60.000000	1.87292e-10	
65.000000	3.68981e-07	65.000000	4.3591e-07	65.000000	4.34694e-07	65.000000	4.34341e-07	65.000000	4.35736e-07	65.000000	1.73955e-10	
70.000000	3.48393e-07	70.000000	4.11412e-07	70.000000	4.10127e-07	70.000000	4.09769e-07	70.000000	4.1125e-07	70.000000	1.62449e-10	
75.000000	3.30367e-07	75.000000	3.89981e-07	75.000000	3.88616e-07	75.000000	3.88286e-07	75.000000	3.89829e-07	75.000000	1.52418e-10	
80.000000	3.14444e-07	80.000000	3.71069e-07	80.000000	3.69697e-07	80.000000	3.69338e-07	80.000000	3.70926e-07	80.000000	1.43592e-10	
85.000000	3.00268e-07	85.000000	3.54252e-07	85.000000	3.52837e-07	85.000000	3.52497e-07	85.000000	3.54117e-07	85.000000	1.35765e-10	
90.000000	2.87561e-07	90.000000	3.39197e-07	90.000000	3.37752e-07	90.000000	3.37427e-07	90.000000	3.39069e-07	90.000000	1.28774e-10	
95.000000	2.761e-07 	95.000000	3.25639e-07	95.000000	3.24207e-07	95.000000	3.23859e-07	95.000000	3.25516e-07	95.000000	1.22491e-10	
100.000000	2.65707e-07	100.000000	3.13361e-07	100.000000	3.11911e-07	100.000000	3.11578e-07	100.000000	3.13245e-07	100.000000	1.16812e-10	
105.000000	2.56236e-07	105.000000	3.02191e-07	105.000000	3.00727e-07	105.000000	3.00408e-07	105.000000	3.02079e-07	105.000000	1.11653e-10	
110.000000	2.47566e-07	110.000000	2.91982e-07	110.000000	2.90506e-07	110.000000	2.90202e-07	110.000000	2.91875e-07	110.000000	1.06945e-10	
115.000000	2.39598e-07	115.000000	2.82615e-07	115.000000	2.81156e-07	115.000000	2.80842e-07	115.000000	2.82512e-07	115.000000	1.02631e-10	
120.000000	2.32247e-07	120.000000	2.73989e-07	120.000000	2.72545e-07	120.000000	2.72225e-07	120.000000	2.7389e-07	120.000000	9.86628e-11	
125.000000	2.25443e-07	125.000000	2.66018e-07	125.000000	2.64569e-07	125.000000	2.64265e-07	125.000000	2.65923e-07	125.000000	9.49999e-11	
130.000000	2.19126e-07	130.000000	2.58631e-07	130.000000	2.57186e-07	130.000000	2.5689e-07	130.000000	2.58539e-07	130.000000	9.16081e-11	
135.000000	2.13243e-07	135.000000	2.51765e-07	135.000000	2.50346e-07	135.000000	2.50038e-07	135.000000	2.51676e-07	135.000000	8.8458e-11	
140.000000	2.07751e-07	140.000000	2.45366e-07	140.000000	2.43963e-07	140.000000	2.43654e-07	140.000000	2.4528e-07	140.000000	8.55244e-11	
145.000000	2.0261e-07	145.000000	2.39388e-07	145.000000	2.3799e-07	145.000000	2.37692e-07	145.000000	2.39305e-07	145.000000	8.27855e-11	
150.000000	1.97787e-07	150.000000	2.3379e-07	150.000000	2.32402e-07	150.000000	2.32111e-07	150.000000	2.3371e-07	150.000000	8.02222e-11	
155.000000	1.90997e-07	155.000000	2.28538e-07	155.000000	2.27157e-07	155.000000	2.26877e-07	155.000000	2.2846e-07	155.000000	7.78182e-11	
160.000000	1.87016e-07	160.000000	2.236e-07 	160.000000	2.22235e-07	160.000000	2.21957e-07	160.000000	2.23524e-07	160.000000	7.55587e-11	
165.000000	1.83263e-07	165.000000	2.18948e-07	165.000000	2.17613e-07	165.000000	2.17324e-07	165.000000	2.18875e-07	165.000000	7.3431e-11	
170.000000	1.79718e-07	170.000000	2.14558e-07	170.000000	2.13243e-07	170.000000	2.12954e-07	170.000000	2.14487e-07	170.000000	7.14238e-11	
175.000000	1.76363e-07	175.000000	2.1041e-07	175.000000	2.09106e-07	175.000000	2.08825e-07	175.000000	2.1034e-07	175.000000	6.9527e-11	
180.000000	1.73183e-07	180.000000	2.06482e-07	180.000000	2.05192e-07	180.000000	2.04918e-07	180.000000	2.06414e-07	180.000000	6.77316e-11	
185.000000	1.70166e-07	185.000000	2.02758e-07	185.000000	2.01483e-07	185.000000	2.01215e-07	185.000000	2.02692e-07	185.000000	6.60296e-11	
190.000000	1.67298e-07	190.000000	1.99223e-07	190.000000	1.97962e-07	190.000000	1.97701e-07	190.000000	1.99159e-07	190.000000	6.44139e-11	
195.000000	1.64569e-07	195.000000	1.95863e-07	195.000000	1.94624e-07	195.000000	1.94361e-07	195.000000	1.958e-07 	195.000000	6.28779e-11	
200.000000	1.61969e-07	200.000000	1.92664e-07	200.000000	1.91455e-07	200.000000	1.91184e-07	200.000000	1.92603e-07	200.000000	6.14159e-11	
210.000000	1.5712e-07	210.000000	1.86708e-07	210.000000	1.85538e-07	210.000000	1.85272e-07	210.000000	1.8665e-07	210.000000	5.86932e-11	
220.000000	1.52688e-07	220.000000	1.81276e-07	220.000000	1.80141e-07	220.000000	1.79884e-07	220.000000	1.8122e-07	220.000000	5.62089e-11	
230.000000	1.48621e-07	230.000000	1.76302e-07	230.000000	1.75201e-07	230.000000	1.74955e-07	230.000000	1.76248e-07	230.000000	5.39329e-11	
240.000000	1.44875e-07	240.000000	1.7173e-07	240.000000	1.70681e-07	240.000000	1.70428e-07	240.000000	1.71678e-07	240.000000	5.18397e-11	
250.000000	1.41415e-07	250.000000	1.67514e-07	250.000000	1.66511e-07	250.000000	1.66257e-07	250.000000	1.67464e-07	250.000000	4.99079e-11	
260.000000	1.38207e-07	260.000000	1.63614e-07	260.000000	1.62648e-07	260.000000	1.62403e-07	260.000000	1.63566e-07	260.000000	4.81194e-11	
270.000000	1.35227e-07	270.000000	1.59997e-07	270.000000	1.59069e-07	270.000000	1.5883e-07	270.000000	1.5995e-07	270.000000	4.64586e-11	
280.000000	1.32449e-07	280.000000	1.56632e-07	280.000000	1.55743e-07	280.000000	1.5551e-07	280.000000	1.56587e-07	280.000000	4.49122e-11	
290.000000	1.29854e-07	290.000000	1.53495e-07	290.000000	1.52658e-07	290.000000	1.52418e-07	290.000000	1.53452e-07	290.000000	4.34686e-11	
300.000000	1.27426e-07	300.000000	1.50564e-07	300.000000	1.49772e-07	300.000000	1.49532e-07	300.000000	1.50522e-07	300.000000	4.21178e-11	
310.000000	1.25147e-07	310.000000	1.47819e-07	310.000000	1.47065e-07	310.000000	1.46831e-07	310.000000	1.47778e-07	310.000000	4.0851e-11	
320.000000	1.23006e-07	320.000000	1.45244e-07	320.000000	1.44529e-07	320.000000	1.44299e-07	320.000000	1.45204e-07	320.000000	3.96606e-11	
330.000000	1.2099e-07	330.000000	1.42823e-07	330.000000	1.42145e-07	330.000000	1.41922e-07	330.000000	1.42784e-07	330.000000	3.85397e-11	
340.000000	1.19088e-07	340.000000	1.40544e-07	340.000000	1.39906e-07	340.000000	1.39685e-07	340.000000	1.40506e-07	340.000000	3.74825e-11	
350.000000	1.17292e-07	350.000000	1.38394e-07	350.000000	1.37805e-07	350.000000	1.37578e-07	350.000000	1.38357e-07	350.000000	3.64835e-11	
360.000000	1.15592e-07	360.000000	1.36363e-07	360.000000	1.35818e-07	360.000000	1.35589e-07	360.000000	1.36328e-07	360.000000	3.5538e-11	
370.000000	1.13982e-07	370.000000	1.34442e-07	370.000000	1.33933e-07	370.000000	1.33709e-07	370.000000	1.34408e-07	370.000000	3.46418e-11	
380.000000	1.12454e-07	380.000000	1.32623e-07	380.000000	1.32151e-07	380.000000	1.31931e-07	380.000000	1.32589e-07	380.000000	3.37911e-11	
390.000000	1.11003e-07	390.000000	1.30897e-07	390.000000	1.30462e-07	390.000000	1.30245e-07	390.000000	1.30864e-07	390.000000	3.29825e-11	
400.000000	1.09623e-07	400.000000	1.29259e-07	400.000000	1.28859e-07	400.000000	1.28646e-07	400.000000	1.29226e-07	400.000000	3.2213e-11	
410.000000	1.0831e-07	410.000000	1.27701e-07	410.000000	1.27338e-07	410.000000	1.27128e-07	410.000000	1.27669e-07	410.000000	3.14796e-11	
420.000000	1.07058e-07	420.000000	1.26218e-07	420.000000	1.25897e-07	420.000000	1.25684e-07	420.000000	1.26188e-07	420.000000	3.07799e-11	
430.000000	1.05863e-07	430.000000	1.24806e-07	430.000000	1.24526e-07	430.000000	1.24309e-07	430.000000	1.24776e-07	430.000000	3.01116e-11	
440.000000	1.04723e-07	440.000000	1.23459e-07	440.000000	1.23216e-07	440.000000	1.22999e-07	440.000000	1.2343e-07	440.000000	2.94726e-11	
450.000000	1.03633e-07	450.000000	1.22174e-07	450.000000	1.21963e-07	450.000000	1.2175e-07	450.000000	1.22145e-07	450.000000	2.88611e-11	
460.000000	1.0259e-07	460.000000	1.20946e-07	460.000000	1.20768e-07	460.000000	1.20558e-07	460.000000	1.20918e-07	460.000000	2.82751e-11	
470.000000	1.01592e-07	470.000000	1.19772e-07	470.000000	1.19627e-07	470.000000	1.19419e-07	470.000000	1.19744e-07	470.000000	2.77133e-11	
480.000000	1.00635e-07	480.000000	1.18648e-07	480.000000	1.18535e-07	480.000000	1.1833e-07	480.000000	1.18621e-07	480.000000	2.7174e-11	
490.000000	9.97178e-08	490.000000	1.17572e-07	490.000000	1.1749e-07	490.000000	1.17288e-07	490.000000	1.17545e-07	490.000000	2.6656e-11	
500.000000	9.88378e-08	500.000000	1.1654e-07	500.000000	1.1649e-07	500.000000	1.1629e-07	500.000000	1.16514e-07	500.000000	2.6158e-11	
520.000000	9.7181e-08	520.000000	1.14602e-07	520.000000	1.14621e-07	520.000000	1.14416e-07	520.000000	1.14577e-07	520.000000	2.52174e-11	
540.000000	9.56498e-08	540.000000	1.12815e-07	540.000000	1.12896e-07	540.000000	1.12691e-07	540.000000	1.12791e-07	540.000000	2.43441e-11	
560.000000	9.42314e-08	560.000000	1.11163e-07	560.000000	1.11299e-07	560.000000	1.11098e-07	560.000000	1.11139e-07	560.000000	2.35311e-11	
580.000000	9.29146e-08	580.000000	1.09632e-07	580.000000	1.09822e-07	580.000000	1.09624e-07	580.000000	1.09609e-07	580.000000	2.27722e-11	
600.000000	9.16899e-08	600.000000	1.08211e-07	600.000000	1.08451e-07	600.000000	1.08257e-07	600.000000	1.08189e-07	600.000000	2.20622e-11	
620.000000	9.05487e-08	620.000000	1.0689e-07	620.000000	1.07179e-07	620.000000	1.06988e-07	620.000000	1.06869e-07	620.000000	2.13965e-11	
640.000000	8.94838e-08	640.000000	1.05659e-07	640.000000	1.06001e-07	640.000000	1.05806e-07	640.000000	1.05638e-07	640.000000	2.07709e-11	
660.000000	8.84884e-08	660.000000	1.0451e-07	660.000000	1.04901e-07	660.000000	1.04704e-07	660.000000	1.0449e-07	660.000000	2.0182e-11	
680.000000	8.75567e-08	680.000000	1.03437e-07	680.000000	1.0387e-07	680.000000	1.03675e-07	680.000000	1.03417e-07	680.000000	1.96265e-11	
700.000000	8.66837e-08	700.000000	1.02432e-07	700.000000	1.02904e-07	700.000000	1.02712e-07	700.000000	1.02413e-07	700.000000	1.91017e-11	
720.000000	8.58646e-08	720.000000	1.01491e-07	720.000000	1.02001e-07	720.000000	1.01811e-07	720.000000	1.01472e-07	720.000000	1.86051e-11	
740.000000	8.50954e-08	740.000000	1.00608e-07	740.000000	1.01153e-07	740.000000	1.00965e-07	740.000000	1.0059e-07	740.000000	1.81344e-11	
760.000000	8.43722e-08	760.000000	9.97793e-08	760.000000	1.00356e-07	760.000000	1.00171e-07	760.000000	9.97616e-08	760.000000	1.76877e-11	
780.000000	8.36918e-08	780.000000	9.90003e-08	780.000000	9.96087e-08	780.000000	9.94252e-08	780.000000	9.8983e-08	780.000000	1.72631e-11	
800.000000	8.30511e-08	800.000000	9.82674e-08	800.000000	9.89077e-08	800.000000	9.87229e-08	800.000000	9.82505e-08	800.000000	1.6859e-11	
820.000000	8.24474e-08	820.000000	9.75774e-08	820.000000	9.82487e-08	820.000000	9.80614e-08	820.000000	9.7561e-08	820.000000	1.64739e-11	
840.000000	8.18782e-08	840.000000	9.69274e-08	840.000000	9.76264e-08	840.000000	9.74376e-08	840.000000	9.69113e-08	840.000000	1.61066e-11	
860.000000	8.13412e-08	860.000000	9.63145e-08	860.000000	9.70368e-08	860.000000	9.6849e-08	860.000000	9.62987e-08	860.000000	1.57558e-11	
880.000000	8.08343e-08	880.000000	9.57363e-08	880.000000	9.64787e-08	880.000000	9.62929e-08	880.000000	9.57209e-08	880.000000	1.54204e-11	
900.000000	8.03556e-08	900.000000	9.51906e-08	900.000000	9.59511e-08	900.000000	9.57673e-08	900.000000	9.51755e-08	900.000000	1.50994e-11	
920.000000	7.99035e-08	920.000000	9.46752e-08	920.000000	9.54523e-08	920.000000	9.52701e-08	920.000000	9.46605e-08	920.000000	1.47919e-11	
940.000000	7.94763e-08	940.000000	9.41884e-08	940.000000	9.49805e-08	940.000000	9.47995e-08	940.000000	9.41739e-08	940.000000	1.44971e-11	
960.000000	7.90725e-08	960.000000	9.37283e-08	960.000000	9.45336e-08	960.000000	9.43536e-08	960.000000	9.3714e-08	960.000000	1.42141e-11	
980.000000	7.86908e-08	980.000000	9.32933e-08	980.000000	9.411e-08 	980.000000	9.39311e-08	980.000000	9.32793e-08	980.000000	1.39423e-11	
1000.000000	7.83299e-08	1000.000000	9.2882e-08	1000.000000	9.37082e-08	1000.000000	9.35303e-08	1000.000000	9.28683e-08	1000.000000	1.3681e-11	
1020.000000	7.79888e-08	1020.000000	9.2493e-08	1020.000000	9.33267e-08	1020.000000	9.315e-08 	1020.000000	9.24795e-08	1020.000000	1.34296e-11	
1040.000000	7.76662e-08	1040.000000	9.2125e-08	1040.000000	9.29643e-08	1040.000000	9.2789e-08	1040.000000	9.21118e-08	1040.000000	1.31875e-11	
1060.000000	7.73613e-08	1060.000000	9.17769e-08	1060.000000	9.26199e-08	1060.000000	9.24461e-08	1060.000000	9.1764e-08	1060.000000	1.29543e-11	
1080.000000	7.70732e-08	1080.000000	9.14477e-08	1080.000000	9.22929e-08	1080.000000	9.21203e-08	1080.000000	9.14349e-08	1080.000000	1.27295e-11	
