Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	3.09184e-06	0.001000	3.72993e-06	0.001000	4.63541e-06	0.001000	4.63541e-06	0.001000	1.96774e-06	0.001000	1.76219e-06	
0.002000	3.95071e-06	0.002000	4.33916e-06	0.002000	5.49046e-06	0.002000	5.49046e-06	0.002000	3.17717e-06	0.002000	1.16199e-06	
0.005000	6.11226e-06	0.005000	6.29492e-06	0.005000	7.67533e-06	0.005000	7.67533e-06	0.005000	5.6789e-06	0.005000	6.16014e-07	
0.008000	7.73229e-06	0.008000	7.85726e-06	0.008000	9.23763e-06	0.008000	9.23763e-06	0.008000	7.42122e-06	0.008000	4.36033e-07	
0.010000	8.626e-06 	0.010000	8.72824e-06	0.010000	1.00644e-05	0.010000	1.00644e-05	0.010000	8.36003e-06	0.010000	3.68206e-07	
0.015000	1.10056e-05	0.015000	1.10424e-05	0.015000	1.16988e-05	0.015000	1.16988e-05	0.015000	1.07735e-05	0.015000	2.68947e-07	
0.020000	1.29964e-05	0.020000	1.26812e-05	0.020000	1.29732e-05	0.020000	1.29732e-05	0.020000	1.2467e-05	0.020000	2.14203e-07	
0.025000	1.46939e-05	0.025000	1.41027e-05	0.025000	1.40463e-05	0.025000	1.40463e-05	0.025000	1.39236e-05	0.025000	1.79114e-07	
0.030000	1.61491e-05	0.030000	1.55585e-05	0.030000	1.52422e-05	0.030000	1.52422e-05	0.030000	1.5404e-05	0.030000	1.5454e-07	
0.035000	1.73929e-05	0.035000	1.70421e-05	0.035000	1.63188e-05	0.035000	1.63188e-05	0.035000	1.69059e-05	0.035000	1.36288e-07	
0.040000	1.84465e-05	0.040000	1.84922e-05	0.040000	1.73023e-05	0.040000	1.73023e-05	0.040000	1.837e-05 	0.040000	1.22151e-07	
0.045000	1.93271e-05	0.045000	1.98631e-05	0.045000	1.82097e-05	0.045000	1.82097e-05	0.045000	1.97523e-05	0.045000	1.10852e-07	
0.050000	2.005e-05 	0.050000	2.11308e-05	0.050000	1.90523e-05	0.050000	1.90523e-05	0.050000	2.10292e-05	0.050000	1.01597e-07	
0.055000	2.063e-05 	0.055000	2.22859e-05	0.055000	1.98382e-05	0.055000	1.98382e-05	0.055000	2.2192e-05	0.055000	9.3866e-08	
0.060000	2.1082e-05	0.060000	2.33276e-05	0.060000	2.0573e-05	0.060000	2.0573e-05	0.060000	2.32403e-05	0.060000	8.73033e-08	
0.070000	2.16601e-05	0.070000	2.50899e-05	0.070000	2.19045e-05	0.070000	2.19045e-05	0.070000	2.50132e-05	0.070000	7.67439e-08	
0.080000	2.18964e-05	0.080000	2.64729e-05	0.080000	2.30696e-05	0.080000	2.30696e-05	0.080000	2.64043e-05	0.080000	6.86006e-08	
0.090000	2.18906e-05	0.090000	2.75394e-05	0.090000	2.40826e-05	0.090000	2.40826e-05	0.090000	2.74773e-05	0.090000	6.21149e-08	
0.100000	2.17242e-05	0.100000	2.83469e-05	0.100000	2.49546e-05	0.100000	2.49546e-05	0.100000	2.82901e-05	0.100000	5.68185e-08	
0.120000	2.114e-05 	0.120000	2.93706e-05	0.120000	2.63135e-05	0.120000	2.63135e-05	0.120000	2.93219e-05	0.120000	4.86683e-08	
0.140000	2.04501e-05	0.140000	2.98336e-05	0.140000	2.72191e-05	0.140000	2.72191e-05	0.140000	2.97909e-05	0.140000	4.26719e-08	
0.160000	1.97849e-05	0.160000	2.99241e-05	0.160000	2.77437e-05	0.160000	2.77437e-05	0.160000	2.98861e-05	0.160000	3.80628e-08	
0.180000	1.91854e-05	0.180000	2.97647e-05	0.180000	2.79575e-05	0.180000	2.79575e-05	0.180000	2.97303e-05	0.180000	3.44019e-08	
0.200000	1.86547e-05	0.200000	2.94368e-05	0.200000	2.79254e-05	0.200000	2.79254e-05	0.200000	2.94053e-05	0.200000	3.14192e-08	
0.250000	1.75592e-05	0.250000	2.82017e-05	0.250000	2.71226e-05	0.250000	2.71226e-05	0.250000	2.81758e-05	0.250000	2.59106e-08	
0.300000	1.66646e-05	0.300000	2.6715e-05	0.300000	2.57754e-05	0.300000	2.57754e-05	0.300000	2.66929e-05	0.300000	2.21199e-08	
0.350000	1.58758e-05	0.350000	2.51924e-05	0.350000	2.42592e-05	0.350000	2.42592e-05	0.350000	2.51731e-05	0.350000	1.93425e-08	
0.400000	1.51534e-05	0.400000	2.37291e-05	0.400000	2.27616e-05	0.400000	2.27616e-05	0.400000	2.37119e-05	0.400000	1.72146e-08	
0.450000	1.44826e-05	0.450000	2.23647e-05	0.450000	2.13646e-05	0.450000	2.13646e-05	0.450000	2.23491e-05	0.450000	1.55292e-08	
0.500000	1.38576e-05	0.500000	2.11116e-05	0.500000	2.00959e-05	0.500000	2.00959e-05	0.500000	2.10974e-05	0.500000	1.41593e-08	
0.600000	1.27345e-05	0.600000	1.89321e-05	0.600000	1.79397e-05	0.600000	1.79397e-05	0.600000	1.892e-05 	0.600000	1.20633e-08	
0.700000	1.17648e-05	0.700000	1.71345e-05	0.700000	1.62152e-05	0.700000	1.62152e-05	0.700000	1.71239e-05	0.700000	1.05312e-08	
0.800000	1.09277e-05	0.800000	1.56446e-05	0.800000	1.482e-05 	0.800000	1.482e-05 	0.800000	1.56352e-05	0.800000	9.35979e-09	
0.900000	1.0202e-05	0.900000	1.43973e-05	0.900000	1.36717e-05	0.900000	1.36717e-05	0.900000	1.43888e-05	0.900000	8.43347e-09	
1.000000	9.56906e-06	1.000000	1.33409e-05	1.000000	1.27095e-05	1.000000	1.27095e-05	1.000000	1.33332e-05	1.000000	7.68163e-09	
1.250000	8.29533e-06	1.250000	1.12978e-05	1.250000	1.08633e-05	1.250000	1.08633e-05	1.250000	1.12915e-05	1.250000	6.30034e-09	
1.500000	7.33357e-06	1.500000	9.82256e-06	1.500000	9.52972e-06	1.500000	9.52972e-06	1.500000	9.8172e-06	1.500000	5.35585e-09	
1.750000	6.58031e-06	1.750000	8.70421e-06	1.750000	8.5112e-06	1.750000	8.5112e-06	1.750000	8.69954e-06	1.750000	4.66723e-09	
2.000000	5.97323e-06	2.000000	7.8249e-06	2.000000	7.70257e-06	2.000000	7.70257e-06	2.000000	7.82076e-06	2.000000	4.14181e-09	
2.250000	5.47286e-06	2.250000	7.11403e-06	2.250000	7.04234e-06	2.250000	7.04234e-06	2.250000	7.1103e-06	2.250000	3.72707e-09	
2.500000	4.96833e-06	2.500000	6.52669e-06	2.500000	6.49174e-06	2.500000	6.49174e-06	2.500000	6.5233e-06	2.500000	3.39097e-09	
3.000000	4.3366e-06	3.000000	5.61157e-06	3.000000	5.62353e-06	3.000000	5.62353e-06	3.000000	5.60869e-06	3.000000	2.87859e-09	
3.500000	3.85773e-06	3.500000	4.93047e-06	3.500000	4.96848e-06	3.500000	4.96848e-06	3.500000	4.92796e-06	3.500000	2.50561e-09	
4.000000	3.48111e-06	4.000000	4.40323e-06	4.000000	4.45589e-06	4.000000	4.45589e-06	4.000000	4.40101e-06	4.000000	2.2214e-09	
4.500000	3.17649e-06	4.500000	3.98264e-06	4.500000	4.04344e-06	4.500000	4.04344e-06	4.500000	3.98065e-06	4.500000	1.99731e-09	
5.000000	2.9246e-06	5.000000	3.63907e-06	5.000000	3.70413e-06	5.000000	3.70413e-06	5.000000	3.63725e-06	5.000000	1.81588e-09	
5.500000	2.71257e-06	5.500000	3.35291e-06	5.500000	3.41989e-06	5.500000	3.41989e-06	5.500000	3.35124e-06	5.500000	1.66585e-09	
6.000000	2.53145e-06	6.000000	3.11072e-06	6.000000	3.17816e-06	6.000000	3.17816e-06	6.000000	3.10918e-06	6.000000	1.53963e-09	
6.500000	2.37479e-06	6.500000	2.90296e-06	6.500000	2.96994e-06	6.500000	2.96994e-06	6.500000	2.90153e-06	6.500000	1.43189e-09	
7.000000	2.23786e-06	7.000000	2.72266e-06	7.000000	2.78861e-06	7.000000	2.78861e-06	7.000000	2.72132e-06	7.000000	1.33881e-09	
7.500000	2.11707e-06	7.500000	2.56462e-06	7.500000	2.6292e-06	7.500000	2.6292e-06	7.500000	2.56336e-06	7.500000	1.25754e-09	
8.000000	2.00968e-06	8.000000	2.42489e-06	8.000000	2.48788e-06	8.000000	2.48788e-06	8.000000	2.4237e-06	8.000000	1.18595e-09	
8.500000	1.91353e-06	8.500000	2.3004e-06	8.500000	2.3617e-06	8.500000	2.3617e-06	8.500000	2.29928e-06	8.500000	1.12238e-09	
