*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.065434  	0.001000	0.0714402 	0.001000	0.0860136 	0.001000	0.0860136 	0.001000	0.0482017 	0.001000	0.0232385 	
0.002000	0.0836106 	0.002000	0.0941179 	0.002000	0.11086   	0.002000	0.11086   	0.002000	0.0778276 	0.002000	0.0162903 	
0.005000	0.129357  	0.005000	0.148355  	0.005000	0.163481  	0.005000	0.163481  	0.005000	0.13911   	0.005000	0.00924548	
0.008000	0.163642  	0.008000	0.188483  	0.008000	0.198995  	0.008000	0.198995  	0.008000	0.18179   	0.008000	0.00669326	
0.010000	0.182556  	0.010000	0.210442  	0.010000	0.217503  	0.010000	0.217503  	0.010000	0.204787  	0.010000	0.00565484	
0.015000	0.232916  	0.015000	0.253473  	0.015000	0.253921  	0.015000	0.253921  	0.015000	0.249277  	0.015000	0.00419563	
0.020000	0.275049  	0.020000	0.287441  	0.020000	0.282137  	0.020000	0.282137  	0.020000	0.284068  	0.020000	0.00337326	
0.025000	0.310973  	0.025000	0.315651  	0.025000	0.305817  	0.025000	0.305817  	0.025000	0.312812  	0.025000	0.00283919	
0.030000	0.34177   	0.030000	0.339789  	0.030000	0.330365  	0.030000	0.330365  	0.030000	0.337327  	0.030000	0.00246171	
0.035000	0.368093  	0.035000	0.360825  	0.035000	0.351895  	0.035000	0.351895  	0.035000	0.358645  	0.035000	0.0021794 	
0.040000	0.390391  	0.040000	0.379363  	0.040000	0.370975  	0.040000	0.370975  	0.040000	0.377403  	0.040000	0.00195955	
0.045000	0.409028  	0.045000	0.395806  	0.045000	0.387988  	0.045000	0.387988  	0.045000	0.394023  	0.045000	0.00178305	
0.050000	0.424327  	0.050000	0.410435  	0.050000	0.403198  	0.050000	0.403198  	0.050000	0.408797  	0.050000	0.00163793	
0.055000	0.436603  	0.055000	0.423459  	0.055000	0.416804  	0.055000	0.416804  	0.055000	0.421943  	0.055000	0.00151632	
0.060000	0.446168  	0.060000	0.435038  	0.060000	0.428957  	0.060000	0.428957  	0.060000	0.433626  	0.060000	0.0014128 	
0.070000	0.458401  	0.070000	0.454359  	0.070000	0.449379  	0.070000	0.449379  	0.070000	0.453114  	0.070000	0.00124566	
0.080000	0.463404  	0.080000	0.46922   	0.080000	0.465255  	0.080000	0.465255  	0.080000	0.468104  	0.080000	0.00111624	
0.090000	0.463281  	0.090000	0.480269  	0.090000	0.477216  	0.090000	0.477216  	0.090000	0.479256  	0.090000	0.00101282	
0.100000	0.459758  	0.100000	0.488056  	0.100000	0.48581   	0.100000	0.48581   	0.100000	0.487128  	0.100000	0.000928135	
0.120000	0.447395  	0.120000	0.495747  	0.120000	0.494807  	0.120000	0.494807  	0.120000	0.494949  	0.120000	0.000797375	
0.140000	0.432795  	0.140000	0.495587  	0.140000	0.495603  	0.140000	0.495603  	0.140000	0.494886  	0.140000	0.000700806	
0.160000	0.418717  	0.160000	0.490142  	0.160000	0.490844  	0.160000	0.490844  	0.160000	0.489516  	0.160000	0.000626349	
0.180000	0.406029  	0.180000	0.481329  	0.180000	0.48252   	0.180000	0.48252   	0.180000	0.480762  	0.180000	0.000567061	
0.200000	0.394798  	0.200000	0.470519  	0.200000	0.472059  	0.200000	0.472059  	0.200000	0.47      	0.200000	0.000518652	
0.250000	0.371613  	0.250000	0.440211  	0.250000	0.44225   	0.250000	0.44225   	0.250000	0.439782  	0.250000	0.000428979	
0.300000	0.352679  	0.300000	0.410358  	0.300000	0.412605  	0.300000	0.412605  	0.300000	0.409991  	0.300000	0.000367054	
0.350000	0.335987  	0.350000	0.38331   	0.350000	0.385618  	0.350000	0.385618  	0.350000	0.382989  	0.350000	0.000321555	
0.400000	0.320699  	0.400000	0.359421  	0.400000	0.361703  	0.400000	0.361703  	0.400000	0.359135  	0.400000	0.000286618	
0.450000	0.306501  	0.450000	0.338424  	0.450000	0.340628  	0.450000	0.340628  	0.450000	0.338165  	0.450000	0.000258894	
0.500000	0.293274  	0.500000	0.319915  	0.500000	0.322012  	0.500000	0.322012  	0.500000	0.319679  	0.500000	0.000236323	
0.600000	0.269505  	0.600000	0.288882  	0.600000	0.290726  	0.600000	0.290726  	0.600000	0.288681  	0.600000	0.000201722	
0.700000	0.248984  	0.700000	0.263912  	0.700000	0.265496  	0.700000	0.265496  	0.700000	0.263736  	0.700000	0.000176373	
0.800000	0.231267  	0.800000	0.243368  	0.800000	0.244712  	0.800000	0.244712  	0.800000	0.243211  	0.800000	0.000156955	
0.900000	0.21591   	0.900000	0.22614   	0.900000	0.22727   	0.900000	0.22727   	0.900000	0.225999  	0.900000	0.000141577	
1.000000	0.202514  	1.000000	0.211457  	1.000000	0.2124    	1.000000	0.2124    	1.000000	0.211328  	1.000000	0.000129079	
1.250000	0.175558  	1.250000	0.182625  	1.250000	0.183204  	1.250000	0.183204  	1.250000	0.182519  	1.250000	0.000106074	
1.500000	0.155203  	1.500000	0.161293  	1.500000	0.161616  	1.500000	0.161616  	1.500000	0.161203  	1.500000	9.03097e-05	
1.750000	0.139262  	1.750000	0.144751  	1.750000	0.144892  	1.750000	0.144892  	1.750000	0.144672  	1.750000	7.87956e-05	
2.000000	0.126414  	2.000000	0.131487  	2.000000	0.131496  	2.000000	0.131496  	2.000000	0.131417  	2.000000	6.99977e-05	
2.250000	0.115825  	2.250000	0.120583  	2.250000	0.120494  	2.250000	0.120494  	2.250000	0.12052   	2.250000	6.30447e-05	
2.500000	0.105147  	2.500000	0.111445  	2.500000	0.111281  	2.500000	0.111281  	2.500000	0.111387  	2.500000	5.74039e-05	
3.000000	0.0917774 	3.000000	0.0969604 	3.000000	0.0966969 	3.000000	0.0966969 	3.000000	0.0969116 	3.000000	4.87938e-05	
3.500000	0.0816428 	3.500000	0.0859774 	3.500000	0.0856539 	3.500000	0.0856539 	3.500000	0.0859348 	3.500000	4.25169e-05	
4.000000	0.0736722 	4.000000	0.0773515 	4.000000	0.0769914 	4.000000	0.0769914 	4.000000	0.0773138 	4.000000	3.77281e-05	
4.500000	0.0672254 	4.500000	0.0703907 	4.500000	0.0700082 	4.500000	0.0700082 	4.500000	0.0703567 	4.500000	3.39483e-05	
5.000000	0.0618946 	5.000000	0.0646502 	5.000000	0.0642544 	5.000000	0.0642544 	5.000000	0.0646193 	5.000000	3.08853e-05	
5.500000	0.0574074 	5.500000	0.059831  	5.500000	0.0594279 	5.500000	0.0594279 	5.500000	0.0598026 	5.500000	2.83505e-05	
6.000000	0.0535742 	6.000000	0.0557244 	6.000000	0.055318  	6.000000	0.055318  	6.000000	0.0556982 	6.000000	2.62164e-05	
6.500000	0.0502587 	6.500000	0.0521808 	6.500000	0.0517738 	6.500000	0.0517738 	6.500000	0.0521564 	6.500000	2.43937e-05	
7.000000	0.0473608 	7.000000	0.0490896 	7.000000	0.0486838 	7.000000	0.0486838 	7.000000	0.0490668 	7.000000	2.2818e-05	
7.500000	0.0448046 	7.500000	0.0463677 	7.500000	0.0459644 	7.500000	0.0459644 	7.500000	0.0463462 	7.500000	2.14417e-05	
8.000000	0.0425318 	8.000000	0.0439512 	8.000000	0.0435514 	8.000000	0.0435514 	8.000000	0.0439309 	8.000000	2.02286e-05	
