*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.750000	0.491819  	1.750000	0.30692   	1.750000	0.307495  	1.750000	0.307495  	1.750000	0.307495  	1.750000	0.306696  	1.750000	0.000223809	
2.000000	0.446446  	2.000000	0.281966  	2.000000	0.282563  	2.000000	0.282563  	2.000000	0.282564  	2.000000	0.281766  	2.000000	0.000199525	
2.250000	0.409048  	2.250000	0.261269  	2.250000	0.261856  	2.250000	0.261856  	2.250000	0.261856  	2.250000	0.261089  	2.250000	0.00018025	
2.500000	0.371339  	2.500000	0.243788  	2.500000	0.244344  	2.500000	0.244344  	2.500000	0.244344  	2.500000	0.243624  	2.500000	0.000164556	
3.000000	0.324122  	3.000000	0.215801  	3.000000	0.216265  	3.000000	0.216265  	3.000000	0.216266  	3.000000	0.215661  	3.000000	0.000140491	
3.500000	0.288331  	3.500000	0.194319  	3.500000	0.194679  	3.500000	0.194679  	3.500000	0.19468   	3.500000	0.194196  	3.500000	0.000122856	
4.000000	0.260182  	4.000000	0.177265  	4.000000	0.177522  	4.000000	0.177522  	4.000000	0.177522  	4.000000	0.177155  	4.000000	0.000109345	
4.500000	0.237414  	4.500000	0.163367  	4.500000	0.163529  	4.500000	0.163529  	4.500000	0.163529  	4.500000	0.163268  	4.500000	9.86432e-05	
5.000000	0.218588  	5.000000	0.151802  	5.000000	0.151876  	5.000000	0.151876  	5.000000	0.151876  	5.000000	0.151712  	5.000000	8.99442e-05	
5.500000	0.202741  	5.500000	0.142012  	5.500000	0.142006  	5.500000	0.142006  	5.500000	0.142006  	5.500000	0.141929  	5.500000	8.27257e-05	
6.000000	0.189203  	6.000000	0.133603  	6.000000	0.133526  	6.000000	0.133526  	6.000000	0.133526  	6.000000	0.133526  	6.000000	7.66339e-05	
6.500000	0.177495  	6.500000	0.126292  	6.500000	0.126151  	6.500000	0.126151  	6.500000	0.126151  	6.500000	0.12622   	6.500000	7.14199e-05	
7.000000	0.16726   	7.000000	0.119868  	7.000000	0.11967   	7.000000	0.11967   	7.000000	0.11967   	7.000000	0.119802  	7.000000	6.69039e-05	
7.500000	0.158233  	7.500000	0.114174  	7.500000	0.113923  	7.500000	0.113923  	7.500000	0.113923  	7.500000	0.114111  	7.500000	6.29524e-05	
8.000000	0.150206  	8.000000	0.109085  	8.000000	0.108788  	8.000000	0.108788  	8.000000	0.108788  	8.000000	0.109026  	8.000000	5.9464e-05	
8.500000	0.143019  	8.500000	0.104506  	8.500000	0.104166  	8.500000	0.104166  	8.500000	0.104166  	8.500000	0.104449  	8.500000	5.63605e-05	
9.000000	0.136545  	9.000000	0.10036   	9.000000	0.099981  	9.000000	0.099981  	9.000000	0.0999811 	9.000000	0.100306  	9.000000	5.35806e-05	
9.500000	0.13068   	9.500000	0.0965848 	9.500000	0.0961712 	9.500000	0.0961712 	9.500000	0.0961713 	9.500000	0.0965337 	9.500000	5.10753e-05	
10.000000	0.12534   	10.000000	0.0938393 	10.000000	0.0926857 	10.000000	0.0926857 	10.000000	0.0926858 	10.000000	0.0937905 	10.000000	4.88052e-05	
