*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.250000	0.0499065 	1.250000	0.0405908 	1.250000	0.0407008 	1.250000	0.0407008 	1.250000	0.0407008 	1.250000	0.0405593 	1.250000	3.1499e-05	
1.500000	0.0440309 	1.500000	0.0360659 	1.500000	0.0361837 	1.500000	0.0361837 	1.500000	0.0361837 	1.500000	0.036039  	1.500000	2.68463e-05	
1.750000	0.0394698 	1.750000	0.0325496 	1.750000	0.0326612 	1.750000	0.0326612 	1.750000	0.0326612 	1.750000	0.0325262 	1.750000	2.34439e-05	
2.000000	0.0358185 	2.000000	0.0297293 	2.000000	0.0298285 	2.000000	0.0298285 	2.000000	0.0298285 	2.000000	0.0297085 	2.000000	2.08414e-05	
2.250000	0.0328243 	2.250000	0.0274109 	2.250000	0.0274956 	2.250000	0.0274956 	2.250000	0.0274956 	2.250000	0.0273922 	2.250000	1.87828e-05	
2.500000	0.0301896 	2.500000	0.0254674 	2.500000	0.025537  	2.500000	0.025537  	2.500000	0.025537  	2.500000	0.0254503 	2.500000	1.71116e-05	
3.000000	0.0263609 	3.000000	0.0223822 	3.000000	0.0224237 	3.000000	0.0224237 	3.000000	0.0224237 	3.000000	0.0223676 	3.000000	1.45582e-05	
3.500000	0.0234551 	3.500000	0.0200335 	3.500000	0.0200507 	3.500000	0.0200507 	3.500000	0.0200508 	3.500000	0.0200208 	3.500000	1.26949e-05	
4.000000	0.0211681 	4.000000	0.0181787 	4.000000	0.0181757 	4.000000	0.0181757 	4.000000	0.0181757 	4.000000	0.0181674 	4.000000	1.1272e-05	
4.500000	0.0193175 	4.500000	0.0166725 	4.500000	0.0166527 	4.500000	0.0166527 	4.500000	0.0166527 	4.500000	0.0166623 	4.500000	1.01481e-05	
5.000000	0.0177868 	5.000000	0.0154222 	5.000000	0.0153885 	5.000000	0.0153885 	5.000000	0.0153885 	5.000000	0.0154129 	5.000000	9.23685e-06	
5.500000	0.016498  	5.500000	0.0143656 	5.500000	0.0143204 	5.500000	0.0143204 	5.500000	0.0143204 	5.500000	0.0143572 	5.500000	8.48227e-06	
6.000000	0.0153968 	6.000000	0.0134597 	6.000000	0.0134048 	6.000000	0.0134048 	6.000000	0.0134048 	6.000000	0.0134519 	6.000000	7.84666e-06	
6.500000	0.0144443 	6.500000	0.0126733 	6.500000	0.0126102 	6.500000	0.0126102 	6.500000	0.0126103 	6.500000	0.012666  	6.500000	7.30357e-06	
7.000000	0.0136117 	7.000000	0.0119835 	7.000000	0.0119136 	7.000000	0.0119136 	7.000000	0.0119136 	7.000000	0.0119767 	7.000000	6.83389e-06	
7.500000	0.0128772 	7.500000	0.0113729 	7.500000	0.0112972 	7.500000	0.0112972 	7.500000	0.0112972 	7.500000	0.0113665 	7.500000	6.42349e-06	
8.000000	0.0122241 	8.000000	0.0108282 	8.000000	0.0107475 	8.000000	0.0107475 	8.000000	0.0107475 	8.000000	0.0108222 	8.000000	6.06166e-06	
8.500000	0.0116393 	8.500000	0.010339  	8.500000	0.010254  	8.500000	0.010254  	8.500000	0.010254  	8.500000	0.0103332 	8.500000	5.74013e-06	
9.000000	0.0111125 	9.000000	0.00989677	9.000000	0.0098082 	9.000000	0.0098082 	9.000000	0.00980821	9.000000	0.00989132	9.000000	5.45243e-06	
9.500000	0.0106352 	9.500000	0.00949495	9.500000	0.00940328	9.500000	0.00940328	9.500000	0.00940328	9.500000	0.00948975	9.500000	5.19342e-06	
10.000000	0.0102006 	10.000000	0.00917167	10.000000	0.00903369	10.000000	0.00903369	10.000000	0.0090337 	10.000000	0.00916671	10.000000	4.95895e-06	
11.000000	0.00943831	11.000000	0.00854636	11.000000	0.00838519	11.000000	0.00838527	11.000000	0.00838457	11.000000	0.00854181	11.000000	4.5507e-06	
12.000000	0.00879089	12.000000	0.0080058 	12.000000	0.00783287	12.000000	0.00783304	12.000000	0.00783242	12.000000	0.0080016 	12.000000	4.2071e-06	
13.000000	0.0082338 	13.000000	0.0075339 	13.000000	0.00735659	13.000000	0.00735669	13.000000	0.00735629	13.000000	0.00752998	13.000000	3.91373e-06	
14.000000	0.00774904	14.000000	0.00711832	14.000000	0.00694131	14.000000	0.0069413 	14.000000	0.0069411 	14.000000	0.00711466	14.000000	3.66018e-06	
15.000000	0.00732315	15.000000	0.00674952	15.000000	0.00657565	15.000000	0.00657567	15.000000	0.00657562	15.000000	0.00674608	15.000000	3.43876e-06	
16.000000	0.00694583	16.000000	0.00641997	16.000000	0.00625129	16.000000	0.0062512 	16.000000	0.00625128	16.000000	0.00641672	16.000000	3.24366e-06	
17.000000	0.00660908	17.000000	0.00612367	17.000000	0.00596157	17.000000	0.00596122	17.000000	0.00596139	17.000000	0.0061206 	17.000000	3.07037e-06	
18.000000	0.00630657	18.000000	0.00585579	18.000000	0.0057009 	18.000000	0.00570043	18.000000	0.00570069	18.000000	0.00585288	18.000000	2.9154e-06	
19.000000	0.00603325	19.000000	0.00561239	19.000000	0.00546504	19.000000	0.00546458	19.000000	0.00546493	19.000000	0.00560962	19.000000	2.77593e-06	
20.000000	0.005785  	20.000000	0.00539023	20.000000	0.0052507 	20.000000	0.00525023	20.000000	0.00525067	20.000000	0.00538758	20.000000	2.64974e-06	
21.000000	0.00555847	21.000000	0.00518661	21.000000	0.00505506	21.000000	0.00505455	21.000000	0.00505507	21.000000	0.00518408	21.000000	2.53497e-06	
22.000000	0.00535087	22.000000	0.00499928	22.000000	0.00487568	22.000000	0.00487519	22.000000	0.0048758 	22.000000	0.00499685	22.000000	2.43014e-06	
23.000000	0.00515989	23.000000	0.00482634	23.000000	0.0047107 	23.000000	0.0047102 	23.000000	0.00471089	23.000000	0.004824  	23.000000	2.33397e-06	
24.000000	0.00498357	24.000000	0.00466616	24.000000	0.00455862	24.000000	0.00455792	24.000000	0.00455869	24.000000	0.00466392	24.000000	2.24544e-06	
25.000000	0.00482024	25.000000	0.00451737	25.000000	0.00441796	25.000000	0.00441695	25.000000	0.00441781	25.000000	0.00451521	25.000000	2.16364e-06	
27.000000	0.00452715	27.000000	0.00424937	27.000000	0.00416559	27.000000	0.00416431	27.000000	0.00416533	27.000000	0.00424736	27.000000	2.01737e-06	
29.000000	0.00427149	29.000000	0.0040146 	29.000000	0.00394578	29.000000	0.00394453	29.000000	0.00394569	29.000000	0.00401271	29.000000	1.89035e-06	
31.000000	0.00404641	31.000000	0.00380717	31.000000	0.00374843	31.000000	0.00374715	31.000000	0.00374841	31.000000	0.00380539	31.000000	1.77896e-06	
33.000000	0.00384663	33.000000	0.00362251	33.000000	0.00356861	33.000000	0.00356741	33.000000	0.00356868	33.000000	0.00362083	33.000000	1.68045e-06	
35.000000	0.00366804	35.000000	0.00345701	35.000000	0.00340734	35.000000	0.00340627	35.000000	0.00340755	35.000000	0.00345542	35.000000	1.59269e-06	
38.000000	0.00343292	38.000000	0.00323858	38.000000	0.00319489	38.000000	0.00319345	38.000000	0.00319473	38.000000	0.0032371 	38.000000	1.47758e-06	
41.000000	0.00322984	41.000000	0.00304943	41.000000	0.00301049	41.000000	0.00300901	41.000000	0.00301028	41.000000	0.00304805	41.000000	1.37857e-06	
44.000000	0.00305254	44.000000	0.00288397	44.000000	0.00284886	44.000000	0.00284751	44.000000	0.00284877	44.000000	0.00288268	44.000000	1.29246e-06	
47.000000	0.00289632	47.000000	0.00273797	47.000000	0.00270614	47.000000	0.00270486	47.000000	0.00270611	47.000000	0.00273675	47.000000	1.21686e-06	
50.000000	0.00275757	50.000000	0.00260813	50.000000	0.00257908	50.000000	0.00257788	50.000000	0.00257912	50.000000	0.00260698	50.000000	1.14992e-06	
55.000000	0.0025577 	55.000000	0.00242093	55.000000	0.00239565	55.000000	0.00239454	55.000000	0.00239575	55.000000	0.00241987	55.000000	1.0539e-06	
60.000000	0.00238896	60.000000	0.00226274	60.000000	0.00224047	60.000000	0.00223937	60.000000	0.00224056	60.000000	0.00226176	60.000000	9.73199e-07	
65.000000	0.00224445	65.000000	0.00212724	65.000000	0.00210754	65.000000	0.00210624	65.000000	0.00210741	65.000000	0.00212633	65.000000	9.04387e-07	
70.000000	0.00211922	70.000000	0.00200982	70.000000	0.0019919 	70.000000	0.00199072	70.000000	0.00199185	70.000000	0.00200897	70.000000	8.44989e-07	
75.000000	0.00200957	75.000000	0.00190705	75.000000	0.00189058	75.000000	0.00188946	75.000000	0.00189058	75.000000	0.00190626	75.000000	7.93176e-07	
80.000000	0.00191272	80.000000	0.00181632	80.000000	0.00180102	80.000000	0.00179996	80.000000	0.00180106	80.000000	0.00181558	80.000000	7.47566e-07	
85.000000	0.00182649	85.000000	0.00173562	85.000000	0.00172125	85.000000	0.00172026	85.000000	0.00172133	85.000000	0.00173491	85.000000	7.07095e-07	
90.000000	0.00174919	90.000000	0.00166335	90.000000	0.00164976	90.000000	0.0016488 	90.000000	0.00164985	90.000000	0.00166268	90.000000	6.70932e-07	
95.000000	0.00167947	95.000000	0.00159824	95.000000	0.0015855 	95.000000	0.00158436	95.000000	0.00158539	95.000000	0.0015976 	95.000000	6.38416e-07	
100.000000	0.00161625	100.000000	0.00153927	100.000000	0.00152703	100.000000	0.00152594	100.000000	0.00152696	100.000000	0.00153866	100.000000	6.09015e-07	
