*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0496015 	0.001000	0.0496015 	0.001000	0.0755114 	0.001000	0.0755114 	0.001000	0.0328055 	0.001000	0.016796  	
0.002000	0.0647496 	0.002000	0.0647496 	0.002000	0.100235  	0.002000	0.100235  	0.002000	0.0529686 	0.002000	0.011781  	
0.005000	0.101367  	0.005000	0.101367  	0.005000	0.150951  	0.005000	0.150951  	0.005000	0.0946766 	0.005000	0.00669014	
0.008000	0.128568  	0.008000	0.128568  	0.008000	0.18471   	0.008000	0.18471   	0.008000	0.123724  	0.008000	0.00484441	
0.010000	0.143469  	0.010000	0.143469  	0.010000	0.202241  	0.010000	0.202241  	0.010000	0.139375  	0.010000	0.00409317	
0.015000	0.183189  	0.015000	0.183189  	0.015000	0.236614  	0.015000	0.236614  	0.015000	0.180151  	0.015000	0.00303742	
0.020000	0.216393  	0.020000	0.216393  	0.020000	0.263179  	0.020000	0.263179  	0.020000	0.21395   	0.020000	0.0024423 	
0.025000	0.244694  	0.025000	0.244694  	0.025000	0.28544   	0.025000	0.28544   	0.025000	0.242639  	0.025000	0.00205576	
0.030000	0.268953  	0.030000	0.268953  	0.030000	0.296411  	0.030000	0.296411  	0.030000	0.26717   	0.030000	0.00178252	
0.035000	0.289684  	0.035000	0.289684  	0.035000	0.305096  	0.035000	0.305096  	0.035000	0.288106  	0.035000	0.00157816	
0.040000	0.307245  	0.040000	0.307245  	0.040000	0.312089  	0.040000	0.312089  	0.040000	0.305826  	0.040000	0.00141901	
0.045000	0.321921  	0.045000	0.321921  	0.045000	0.317768  	0.045000	0.317768  	0.045000	0.32063   	0.045000	0.00129123	
0.050000	0.333969  	0.050000	0.333969  	0.050000	0.322395  	0.050000	0.322395  	0.050000	0.332783  	0.050000	0.00118616	
0.055000	0.343637  	0.055000	0.343637  	0.055000	0.326156  	0.055000	0.326156  	0.055000	0.342539  	0.055000	0.00109812	
0.060000	0.35117   	0.060000	0.35117   	0.060000	0.329193  	0.060000	0.329193  	0.060000	0.350146  	0.060000	0.00102317	
0.070000	0.360805  	0.070000	0.360805  	0.070000	0.333506  	0.070000	0.333506  	0.070000	0.359903  	0.070000	0.000902144	
0.080000	0.364747  	0.080000	0.364747  	0.080000	0.335981  	0.080000	0.335981  	0.080000	0.363939  	0.080000	0.000808434	
0.090000	0.364654  	0.090000	0.364654  	0.090000	0.33707   	0.090000	0.33707   	0.090000	0.36392   	0.090000	0.000733551	
0.100000	0.361883  	0.100000	0.361883  	0.100000	0.337104  	0.100000	0.337104  	0.100000	0.361211  	0.100000	0.000672226	
0.120000	0.352155  	0.120000	0.352155  	0.120000	0.334962  	0.120000	0.334962  	0.120000	0.351578  	0.120000	0.000577536	
0.140000	0.340665  	0.140000	0.340665  	0.140000	0.330962  	0.140000	0.330962  	0.140000	0.340158  	0.140000	0.000507603	
