*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0183633 	0.001000	0.016605  	0.001000	0.020371  	0.001000	0.020371  	0.001000	0.0203628 	0.001000	0.0134621 	0.001000	0.00314287	
0.002000	0.0218779 	0.002000	0.019865  	0.002000	0.0238797 	0.002000	0.0238797 	0.002000	0.0238751 	0.002000	0.0176993 	0.002000	0.0021657 	
0.005000	0.0287323 	0.005000	0.0266689 	0.005000	0.0309086 	0.005000	0.0309086 	0.005000	0.0309066 	0.005000	0.0254597 	0.005000	0.00120917	
0.008000	0.0334324 	0.008000	0.0315751 	0.008000	0.0358592 	0.008000	0.0358592 	0.008000	0.035858  	0.008000	0.0307042 	0.008000	0.000870904	
0.010000	0.035995  	0.010000	0.0343018 	0.010000	0.0385842 	0.010000	0.0385842 	0.010000	0.0385832 	0.010000	0.0335662 	0.010000	0.000735572	
0.015000	0.0434139 	0.015000	0.0397324 	0.015000	0.0442574 	0.015000	0.0442574 	0.015000	0.0442568 	0.015000	0.0391884 	0.015000	0.000544043	
0.020000	0.0494925 	0.020000	0.0443775 	0.020000	0.0489024 	0.020000	0.0489024 	0.020000	0.0489019 	0.020000	0.0439409 	0.020000	0.000436587	
0.025000	0.0545198 	0.025000	0.0484234 	0.025000	0.0529017 	0.025000	0.0529017 	0.025000	0.0529013 	0.025000	0.0480565 	0.025000	0.000366989	
0.030000	0.0586502 	0.030000	0.0519712 	0.030000	0.0554145 	0.030000	0.0554145 	0.030000	0.0554142 	0.030000	0.0516533 	0.030000	0.000317889	
0.035000	0.0619852 	0.035000	0.0550836 	0.035000	0.0575228 	0.035000	0.0575228 	0.035000	0.0575225 	0.035000	0.0548024 	0.035000	0.00028122	
0.040000	0.064605  	0.040000	0.0578048 	0.040000	0.059301  	0.040000	0.059301  	0.040000	0.0593007 	0.040000	0.0575521 	0.040000	0.000252694	
0.045000	0.0665816 	0.045000	0.0601687 	0.045000	0.0608019 	0.045000	0.0608019 	0.045000	0.0608017 	0.045000	0.0599389 	0.045000	0.000229813	
0.050000	0.0679843 	0.050000	0.0622037 	0.050000	0.0620651 	0.050000	0.0620651 	0.050000	0.062065  	0.050000	0.0619927 	0.050000	0.000211015	
0.055000	0.0688812 	0.055000	0.0639351 	0.055000	0.0631217 	0.055000	0.0631217 	0.055000	0.0631216 	0.055000	0.0637399 	0.055000	0.000195272	
