*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.500000	0.036712  	1.500000	0.0382199 	1.500000	0.0394341 	1.500000	0.0394341 	1.500000	0.0394341 	1.500000	0.0381964 	1.500000	2.35153e-05	
1.750000	0.0329092 	1.750000	0.0343538 	1.750000	0.0354823 	1.750000	0.0354823 	1.750000	0.0354824 	1.750000	0.0343332 	1.750000	2.05438e-05	
2.000000	0.0298648 	2.000000	0.0312707 	2.000000	0.0323214 	2.000000	0.0323214 	2.000000	0.0323214 	2.000000	0.0312524 	2.000000	1.82699e-05	
2.250000	0.0273684 	2.250000	0.0287445 	2.250000	0.0297251 	2.250000	0.0297251 	2.250000	0.0297251 	2.250000	0.0287281 	2.250000	1.64704e-05	
2.500000	0.0251729 	2.500000	0.026631  	2.500000	0.0275488 	2.500000	0.0275488 	2.500000	0.0275488 	2.500000	0.026616  	2.500000	1.50089e-05	
3.000000	0.0219804 	3.000000	0.0232825 	3.000000	0.0240935 	3.000000	0.0240935 	3.000000	0.0240935 	3.000000	0.0232697 	3.000000	1.27751e-05	
3.500000	0.0195575 	3.500000	0.0207383 	3.500000	0.0214626 	3.500000	0.0214626 	3.500000	0.0214626 	3.500000	0.0207271 	3.500000	1.1144e-05	
4.000000	0.0176506 	4.000000	0.0187326 	4.000000	0.0193856 	4.000000	0.0193856 	4.000000	0.0193856 	4.000000	0.0187227 	4.000000	9.89801e-06	
4.500000	0.0161074 	4.500000	0.0171068 	4.500000	0.0177003 	4.500000	0.0177003 	4.500000	0.0177003 	4.500000	0.0170979 	4.500000	8.91349e-06	
5.000000	0.0148311 	5.000000	0.0157597 	5.000000	0.0163028 	5.000000	0.0163028 	5.000000	0.0163028 	5.000000	0.0157516 	5.000000	8.11493e-06	
5.500000	0.0137564 	5.500000	0.0146237 	5.500000	0.0151237 	5.500000	0.0151237 	5.500000	0.0151237 	5.500000	0.0146162 	5.500000	7.45352e-06	
6.000000	0.0128383 	6.000000	0.0136514 	6.000000	0.0141143 	6.000000	0.0141143 	6.000000	0.0141143 	6.000000	0.0136445 	6.000000	6.89626e-06	
6.500000	0.012044  	6.500000	0.0128092 	6.500000	0.0132396 	6.500000	0.0132396 	6.500000	0.0132396 	6.500000	0.0128027 	6.500000	6.42e-06  	
7.000000	0.0113498 	7.000000	0.0120718 	7.000000	0.0124737 	7.000000	0.0124737 	7.000000	0.0124737 	7.000000	0.0120658 	7.000000	6.00805e-06	
