Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
2.500000	9.84079e-05	2.500000	0.000127881	2.500000	0.000118655	2.500000	0.000118655	2.500000	0.000127808	2.500000	7.3477e-08	
3.000000	8.92158e-05	3.000000	0.000114731	3.000000	0.00010822	3.000000	0.00010822	3.000000	0.000114668	3.000000	6.25504e-08	
3.500000	8.16284e-05	3.500000	0.000104175	3.500000	9.95003e-05	3.500000	9.95003e-05	3.500000	0.00010412	3.500000	5.45709e-08	
4.000000	7.52748e-05	4.000000	9.53737e-05	4.000000	9.20954e-05	4.000000	9.20954e-05	4.000000	9.53252e-05	4.000000	4.84744e-08	
4.500000	6.98818e-05	4.500000	8.80115e-05	4.500000	8.57259e-05	4.500000	8.57259e-05	4.500000	8.79678e-05	4.500000	4.36566e-08	
5.000000	6.52481e-05	5.000000	8.17545e-05	5.000000	8.01879e-05	5.000000	8.01879e-05	5.000000	8.17147e-05	5.000000	3.97485e-08	
5.500000	6.12237e-05	5.500000	7.63569e-05	5.500000	7.53281e-05	5.500000	7.53281e-05	5.500000	7.63204e-05	5.500000	3.65113e-08	
6.000000	5.76954e-05	6.000000	7.16453e-05	6.000000	7.10289e-05	6.000000	7.10289e-05	6.000000	7.16115e-05	6.000000	3.37835e-08	
6.500000	5.45761e-05	6.500000	6.74897e-05	6.500000	6.71984e-05	6.500000	6.71984e-05	6.500000	6.74583e-05	6.500000	3.14522e-08	
7.000000	5.1798e-05	7.000000	6.37955e-05	7.000000	6.37638e-05	7.000000	6.37638e-05	7.000000	6.37661e-05	7.000000	2.94354e-08	
7.500000	4.93074e-05	7.500000	6.04904e-05	7.500000	6.06665e-05	7.500000	6.06665e-05	7.500000	6.04627e-05	7.500000	2.76728e-08	
8.000000	4.70614e-05	8.000000	5.75144e-05	8.000000	5.78593e-05	8.000000	5.78593e-05	8.000000	5.74883e-05	8.000000	2.61184e-08	
8.500000	4.50252e-05	8.500000	5.482e-05 	8.500000	5.53029e-05	8.500000	5.53029e-05	8.500000	5.47953e-05	8.500000	2.47369e-08	
9.000000	4.31704e-05	9.000000	5.23684e-05	9.000000	5.29653e-05	9.000000	5.29653e-05	9.000000	5.23449e-05	9.000000	2.35005e-08	
9.500000	4.14734e-05	9.500000	5.01278e-05	9.500000	5.08194e-05	9.500000	5.08194e-05	9.500000	5.01055e-05	9.500000	2.23872e-08	
10.000000	3.99146e-05	10.000000	4.60723e-05	10.000000	4.88426e-05	10.000000	4.88426e-05	10.000000	4.60509e-05	10.000000	2.13792e-08	
11.000000	3.71486e-05	11.000000	4.31631e-05	11.000000	4.52491e-05	11.000000	4.53228e-05	11.000000	4.31434e-05	11.000000	1.96238e-08	
12.000000	3.47682e-05	12.000000	4.0606e-05	12.000000	4.21659e-05	12.000000	4.22907e-05	12.000000	4.05878e-05	12.000000	1.81459e-08	
13.000000	3.26971e-05	13.000000	3.83428e-05	13.000000	3.94942e-05	13.000000	3.96539e-05	13.000000	3.83259e-05	13.000000	1.68838e-08	
14.000000	3.08779e-05	14.000000	3.63268e-05	14.000000	3.71584e-05	14.000000	3.7342e-05	14.000000	3.6311e-05	14.000000	1.57927e-08	
15.000000	2.92666e-05	15.000000	3.45204e-05	15.000000	3.51001e-05	15.000000	3.53004e-05	15.000000	3.45056e-05	15.000000	1.48397e-08	
16.000000	2.78291e-05	16.000000	3.28932e-05	16.000000	3.32754e-05	16.000000	3.34858e-05	16.000000	3.28792e-05	16.000000	1.39998e-08	
17.000000	2.65383e-05	17.000000	3.142e-05 	17.000000	3.16485e-05	17.000000	3.18638e-05	17.000000	3.14067e-05	17.000000	1.32537e-08	
18.000000	2.53726e-05	18.000000	3.00802e-05	18.000000	3.01891e-05	18.000000	3.04067e-05	18.000000	3.00676e-05	18.000000	1.25864e-08	
19.000000	2.43143e-05	19.000000	2.88566e-05	19.000000	2.88735e-05	19.000000	2.90916e-05	19.000000	2.88446e-05	19.000000	1.19857e-08	
20.000000	2.33491e-05	20.000000	2.77349e-05	20.000000	2.76827e-05	20.000000	2.78998e-05	20.000000	2.77234e-05	20.000000	1.14421e-08	
21.000000	2.24649e-05	21.000000	2.67028e-05	21.000000	2.6601e-05	21.000000	2.68157e-05	21.000000	2.66919e-05	21.000000	1.09477e-08	
22.000000	2.16519e-05	22.000000	2.57502e-05	22.000000	2.56152e-05	22.000000	2.58262e-05	22.000000	2.57397e-05	22.000000	1.0496e-08	
23.000000	2.09017e-05	23.000000	2.48682e-05	23.000000	2.47139e-05	23.000000	2.49202e-05	23.000000	2.48581e-05	23.000000	1.00816e-08	
24.000000	2.02071e-05	24.000000	2.40493e-05	24.000000	2.38873e-05	24.000000	2.40883e-05	24.000000	2.40396e-05	24.000000	9.70003e-09	
25.000000	1.95622e-05	25.000000	2.32869e-05	25.000000	2.31273e-05	25.000000	2.33225e-05	25.000000	2.32775e-05	25.000000	9.34749e-09	
27.000000	1.84008e-05	27.000000	2.19097e-05	27.000000	2.17796e-05	27.000000	2.19622e-05	27.000000	2.1901e-05	27.000000	8.71697e-09	
29.000000	1.73839e-05	29.000000	2.06997e-05	29.000000	2.06246e-05	29.000000	2.07941e-05	29.000000	2.06915e-05	29.000000	8.1693e-09	
31.000000	1.64856e-05	31.000000	1.9628e-05	31.000000	1.95865e-05	31.000000	1.97355e-05	31.000000	1.96203e-05	31.000000	7.68896e-09	
33.000000	1.56861e-05	33.000000	1.86721e-05	33.000000	1.86285e-05	33.000000	1.87537e-05	33.000000	1.86648e-05	33.000000	7.2641e-09	
35.000000	1.49696e-05	35.000000	1.78142e-05	35.000000	1.77691e-05	35.000000	1.78751e-05	35.000000	1.78073e-05	35.000000	6.88551e-09	
38.000000	1.40239e-05	38.000000	1.66802e-05	38.000000	1.66358e-05	38.000000	1.67175e-05	38.000000	1.66738e-05	38.000000	6.3889e-09	
41.000000	1.32049e-05	41.000000	1.56971e-05	41.000000	1.56538e-05	41.000000	1.57169e-05	41.000000	1.56911e-05	41.000000	5.96166e-09	
44.000000	1.24883e-05	44.000000	1.48363e-05	44.000000	1.47952e-05	44.000000	1.4843e-05	44.000000	1.48307e-05	44.000000	5.59003e-09	
47.000000	1.18557e-05	47.000000	1.40763e-05	47.000000	1.4037e-05	47.000000	1.40731e-05	47.000000	1.40711e-05	47.000000	5.26369e-09	
50.000000	1.1293e-05	50.000000	1.34003e-05	50.000000	1.33629e-05	50.000000	1.33893e-05	50.000000	1.33953e-05	50.000000	4.97474e-09	
55.000000	1.0481e-05	55.000000	1.24251e-05	55.000000	1.23901e-05	55.000000	1.24047e-05	55.000000	1.24206e-05	55.000000	4.56012e-09	
60.000000	9.79428e-06	60.000000	1.1601e-05	60.000000	1.157e-05 	60.000000	1.15742e-05	60.000000	1.15968e-05	60.000000	4.21159e-09	
65.000000	9.20537e-06	65.000000	1.08951e-05	65.000000	1.08667e-05	65.000000	1.08638e-05	65.000000	1.08911e-05	65.000000	3.91436e-09	
70.000000	8.69441e-06	70.000000	1.02834e-05	70.000000	1.02566e-05	70.000000	1.02489e-05	70.000000	1.02797e-05	70.000000	3.65775e-09	
75.000000	8.24663e-06	75.000000	9.74813e-06	75.000000	9.7238e-06	75.000000	9.71129e-06	75.000000	9.74469e-06	75.000000	3.43388e-09	
80.000000	7.85076e-06	80.000000	9.27568e-06	80.000000	9.25276e-06	80.000000	9.23713e-06	80.000000	9.27244e-06	80.000000	3.23677e-09	
85.000000	7.49809e-06	85.000000	8.85549e-06	85.000000	8.83388e-06	85.000000	8.81571e-06	85.000000	8.85243e-06	85.000000	3.06186e-09	
90.000000	7.18179e-06	90.000000	8.47928e-06	90.000000	8.45896e-06	90.000000	8.4386e-06	90.000000	8.47638e-06	90.000000	2.90555e-09	
95.000000	6.89639e-06	95.000000	8.14043e-06	95.000000	8.12135e-06	95.000000	8.09911e-06	95.000000	8.13766e-06	95.000000	2.76498e-09	
100.000000	6.63746e-06	100.000000	7.83358e-06	100.000000	7.81569e-06	100.000000	7.79182e-06	100.000000	7.83094e-06	100.000000	2.63787e-09	
105.000000	6.40142e-06	105.000000	7.55437e-06	105.000000	7.53771e-06	105.000000	7.51234e-06	105.000000	7.55185e-06	105.000000	2.52235e-09	
110.000000	6.18529e-06	110.000000	7.2992e-06	110.000000	7.2829e-06	110.000000	7.25701e-06	110.000000	7.29678e-06	110.000000	2.41688e-09	
115.000000	5.9866e-06	115.000000	7.06505e-06	115.000000	7.04966e-06	115.000000	7.02282e-06	115.000000	7.06273e-06	115.000000	2.32019e-09	
120.000000	5.80326e-06	120.000000	6.84943e-06	120.000000	6.83488e-06	120.000000	6.80724e-06	120.000000	6.8472e-06	120.000000	2.23121e-09	
125.000000	5.63353e-06	125.000000	6.65019e-06	125.000000	6.6359e-06	125.000000	6.60811e-06	125.000000	6.64804e-06	125.000000	2.14906e-09	
130.000000	5.4759e-06	130.000000	6.46553e-06	130.000000	6.45168e-06	130.000000	6.42362e-06	130.000000	6.46346e-06	130.000000	2.07295e-09	
135.000000	5.32909e-06	135.000000	6.29389e-06	135.000000	6.28103e-06	135.000000	6.2522e-06	135.000000	6.29188e-06	135.000000	2.00224e-09	
140.000000	5.19201e-06	140.000000	6.13393e-06	140.000000	6.12177e-06	140.000000	6.09251e-06	140.000000	6.13199e-06	140.000000	1.93638e-09	
145.000000	5.06368e-06	145.000000	5.98449e-06	145.000000	5.97269e-06	145.000000	5.94337e-06	145.000000	5.98261e-06	145.000000	1.87486e-09	
150.000000	4.94328e-06	150.000000	5.84456e-06	150.000000	5.83322e-06	150.000000	5.80378e-06	150.000000	5.84274e-06	150.000000	1.81727e-09	
155.000000	4.77368e-06	155.000000	5.71326e-06	155.000000	5.70239e-06	155.000000	5.67284e-06	155.000000	5.7115e-06	155.000000	1.76324e-09	
160.000000	4.6743e-06	160.000000	5.58981e-06	160.000000	5.57941e-06	160.000000	5.54978e-06	160.000000	5.5881e-06	160.000000	1.71245e-09	
165.000000	4.58058e-06	165.000000	5.47352e-06	165.000000	5.4636e-06	165.000000	5.4339e-06	165.000000	5.47186e-06	165.000000	1.66461e-09	
170.000000	4.49204e-06	170.000000	5.36379e-06	170.000000	5.35435e-06	170.000000	5.3246e-06	170.000000	5.36217e-06	170.000000	1.61946e-09	
175.000000	4.40825e-06	175.000000	5.26007e-06	175.000000	5.25113e-06	175.000000	5.22133e-06	175.000000	5.2585e-06	175.000000	1.57679e-09	
180.000000	4.32884e-06	180.000000	5.16189e-06	180.000000	5.15344e-06	180.000000	5.1236e-06	180.000000	5.16035e-06	180.000000	1.53638e-09	
185.000000	4.25348e-06	185.000000	5.0688e-06	185.000000	5.06084e-06	185.000000	5.03099e-06	185.000000	5.06731e-06	185.000000	1.49808e-09	
190.000000	4.18184e-06	190.000000	4.98043e-06	190.000000	4.97296e-06	190.000000	4.94311e-06	190.000000	4.97897e-06	190.000000	1.4617e-09	
195.000000	4.11367e-06	195.000000	4.89642e-06	195.000000	4.8895e-06	195.000000	4.85959e-06	195.000000	4.895e-06 	195.000000	1.42711e-09	
200.000000	4.04871e-06	200.000000	4.81646e-06	200.000000	4.81008e-06	200.000000	4.78014e-06	200.000000	4.81507e-06	200.000000	1.39418e-09	
210.000000	3.92756e-06	210.000000	4.66757e-06	210.000000	4.66173e-06	210.000000	4.63227e-06	210.000000	4.66624e-06	210.000000	1.33284e-09	
220.000000	3.81682e-06	220.000000	4.53178e-06	220.000000	4.52688e-06	220.000000	4.49753e-06	220.000000	4.5305e-06	220.000000	1.27685e-09	
230.000000	3.7152e-06	230.000000	4.40742e-06	230.000000	4.40359e-06	230.000000	4.37425e-06	230.000000	4.4062e-06	230.000000	1.22553e-09	
240.000000	3.62162e-06	240.000000	4.29313e-06	240.000000	4.29041e-06	240.000000	4.26104e-06	240.000000	4.29195e-06	240.000000	1.17831e-09	
250.000000	3.53514e-06	250.000000	4.18774e-06	250.000000	4.18579e-06	250.000000	4.15674e-06	250.000000	4.1866e-06	250.000000	1.13473e-09	
260.000000	3.45499e-06	260.000000	4.09025e-06	260.000000	4.08908e-06	260.000000	4.06035e-06	260.000000	4.08915e-06	260.000000	1.09436e-09	
