*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.133234  	0.001000	0.122366  	0.001000	0.134742  	0.001000	0.134742  	0.001000	0.134711  	0.001000	0.07211   	0.001000	0.0502557 	
0.002000	0.155885  	0.002000	0.141078  	0.002000	0.154984  	0.002000	0.154984  	0.002000	0.154966  	0.002000	0.105575  	0.002000	0.0355025 	
0.005000	0.219458  	0.005000	0.195057  	0.005000	0.209218  	0.005000	0.209218  	0.005000	0.20921   	0.005000	0.174755  	0.005000	0.0203027 	
0.008000	0.272693  	0.008000	0.241046  	0.008000	0.253702  	0.008000	0.253702  	0.008000	0.253697  	0.008000	0.226305  	0.008000	0.014741  	
0.010000	0.30435   	0.010000	0.268323  	0.010000	0.279634  	0.010000	0.279634  	0.010000	0.27963   	0.010000	0.255856  	0.010000	0.0124675 	
0.015000	0.357443  	0.015000	0.318504  	0.015000	0.32233   	0.015000	0.32233   	0.015000	0.322328  	0.015000	0.309235  	0.015000	0.00926953	
0.020000	0.399064  	0.020000	0.361105  	0.020000	0.356883  	0.020000	0.356883  	0.020000	0.356882  	0.020000	0.353643  	0.020000	0.00746188	
0.025000	0.44433   	0.025000	0.400398  	0.025000	0.389481  	0.025000	0.389481  	0.025000	0.38948   	0.025000	0.394113  	0.025000	0.0062858 	
0.030000	0.481029  	0.030000	0.435928  	0.030000	0.425381  	0.030000	0.425381  	0.030000	0.42538   	0.030000	0.430474  	0.030000	0.00545353	
0.035000	0.510383  	0.035000	0.468438  	0.035000	0.458773  	0.035000	0.458773  	0.035000	0.458772  	0.035000	0.463608  	0.035000	0.00483053	
