*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	3.97387e-06	0.001000	4.79399e-06	0.001000	5.95778e-06	0.001000	5.95778e-06	0.001000	2.52909e-06	0.001000	2.2649e-06	
0.002000	5.07776e-06	0.002000	5.57702e-06	0.002000	7.05676e-06	0.002000	7.05676e-06	0.002000	4.08354e-06	0.002000	1.49348e-06	
0.005000	7.85595e-06	0.005000	8.09071e-06	0.005000	9.86493e-06	0.005000	9.86493e-06	0.005000	7.29896e-06	0.005000	7.91748e-07	
0.008000	9.93813e-06	0.008000	1.00988e-05	0.008000	1.18729e-05	0.008000	1.18729e-05	0.008000	9.53833e-06	0.008000	5.60423e-07	
0.010000	1.10868e-05	0.010000	1.12182e-05	0.010000	1.29356e-05	0.010000	1.29356e-05	0.010000	1.0745e-05	0.010000	4.73247e-07	
0.015000	1.41453e-05	0.015000	1.41926e-05	0.015000	1.50363e-05	0.015000	1.50363e-05	0.015000	1.38469e-05	0.015000	3.45672e-07	
0.020000	1.6704e-05	0.020000	1.62989e-05	0.020000	1.66741e-05	0.020000	1.66741e-05	0.020000	1.60235e-05	0.020000	2.7531e-07	
0.025000	1.88857e-05	0.025000	1.81259e-05	0.025000	1.80534e-05	0.025000	1.80534e-05	0.025000	1.78957e-05	0.025000	2.30211e-07	
0.030000	2.0756e-05	0.030000	1.9997e-05	0.030000	1.95905e-05	0.030000	1.95905e-05	0.030000	1.97984e-05	0.030000	1.98627e-07	
0.035000	2.23546e-05	0.035000	2.19039e-05	0.035000	2.09742e-05	0.035000	2.09742e-05	0.035000	2.17287e-05	0.035000	1.75168e-07	
0.040000	2.37089e-05	0.040000	2.37676e-05	0.040000	2.22382e-05	0.040000	2.22382e-05	0.040000	2.36106e-05	0.040000	1.56998e-07	
0.045000	2.48407e-05	0.045000	2.55296e-05	0.045000	2.34045e-05	0.045000	2.34045e-05	0.045000	2.53871e-05	0.045000	1.42476e-07	
0.050000	2.57698e-05	0.050000	2.7159e-05	0.050000	2.44875e-05	0.050000	2.44875e-05	0.050000	2.70284e-05	0.050000	1.3058e-07	
0.055000	2.65153e-05	0.055000	2.86436e-05	0.055000	2.54976e-05	0.055000	2.54976e-05	0.055000	2.85229e-05	0.055000	1.20644e-07	
0.060000	2.70962e-05	0.060000	2.99824e-05	0.060000	2.6442e-05	0.060000	2.6442e-05	0.060000	2.98702e-05	0.060000	1.12209e-07	
0.070000	2.78392e-05	0.070000	3.22475e-05	0.070000	2.81534e-05	0.070000	2.81534e-05	0.070000	3.21488e-05	0.070000	9.86372e-08	
0.080000	2.8143e-05	0.080000	3.4025e-05	0.080000	2.96508e-05	0.080000	2.96508e-05	0.080000	3.39368e-05	0.080000	8.81707e-08	
0.090000	2.81355e-05	0.090000	3.53957e-05	0.090000	3.09528e-05	0.090000	3.09528e-05	0.090000	3.53159e-05	0.090000	7.98348e-08	
0.100000	2.79216e-05	0.100000	3.64336e-05	0.100000	3.20736e-05	0.100000	3.20736e-05	0.100000	3.63606e-05	0.100000	7.30274e-08	
0.120000	2.71707e-05	0.120000	3.77493e-05	0.120000	3.38201e-05	0.120000	3.38201e-05	0.120000	3.76868e-05	0.120000	6.25522e-08	
0.140000	2.62841e-05	0.140000	3.83444e-05	0.140000	3.49841e-05	0.140000	3.49841e-05	0.140000	3.82896e-05	0.140000	5.48452e-08	
0.160000	2.54291e-05	0.160000	3.84608e-05	0.160000	3.56583e-05	0.160000	3.56583e-05	0.160000	3.84119e-05	0.160000	4.89212e-08	
0.180000	2.46586e-05	0.180000	3.82559e-05	0.180000	3.59331e-05	0.180000	3.59331e-05	0.180000	3.82117e-05	0.180000	4.42159e-08	
0.200000	2.39765e-05	0.200000	3.78344e-05	0.200000	3.58919e-05	0.200000	3.58919e-05	0.200000	3.7794e-05	0.200000	4.03824e-08	
0.250000	2.25685e-05	0.250000	3.6247e-05	0.250000	3.486e-05 	0.250000	3.486e-05 	0.250000	3.62137e-05	0.250000	3.33022e-08	
0.300000	2.14186e-05	0.300000	3.43362e-05	0.300000	3.31285e-05	0.300000	3.31285e-05	0.300000	3.43078e-05	0.300000	2.84303e-08	
0.350000	2.04048e-05	0.350000	3.23792e-05	0.350000	3.11797e-05	0.350000	3.11797e-05	0.350000	3.23544e-05	0.350000	2.48604e-08	
0.400000	1.94764e-05	0.400000	3.04985e-05	0.400000	2.9255e-05	0.400000	2.9255e-05	0.400000	3.04764e-05	0.400000	2.21255e-08	
0.450000	1.86141e-05	0.450000	2.87448e-05	0.450000	2.74594e-05	0.450000	2.74594e-05	0.450000	2.87248e-05	0.450000	1.99593e-08	
0.500000	1.78108e-05	0.500000	2.71342e-05	0.500000	2.58287e-05	0.500000	2.58287e-05	0.500000	2.71161e-05	0.500000	1.81986e-08	
0.600000	1.63673e-05	0.600000	2.4333e-05	0.600000	2.30575e-05	0.600000	2.30575e-05	0.600000	2.43175e-05	0.600000	1.55047e-08	
0.700000	1.51211e-05	0.700000	2.20225e-05	0.700000	2.0841e-05	0.700000	2.0841e-05	0.700000	2.2009e-05	0.700000	1.35355e-08	
0.800000	1.40451e-05	0.800000	2.01076e-05	0.800000	1.90478e-05	0.800000	1.90478e-05	0.800000	2.00956e-05	0.800000	1.20299e-08	
