*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
1.750000	7.5424    	1.750000	2.6507    	1.750000	2.57446   	1.750000	2.57446   	1.750000	2.57446   	1.750000	2.64815   	1.750000	0.00254865
2.000000	6.94277   	2.000000	2.51575   	2.000000	2.47038   	2.000000	2.47038   	2.000000	2.47038   	2.000000	2.51347   	2.000000	0.00228094
2.250000	6.44401   	2.250000	2.39565   	2.250000	2.37289   	2.250000	2.37289   	2.250000	2.37289   	2.250000	2.39358   	2.250000	0.00206738
2.500000	6.00136   	2.500000	2.29078   	2.500000	2.28196   	2.500000	2.28196   	2.500000	2.28197   	2.500000	2.28888   	2.500000	0.00189275
3.000000	5.34805   	3.000000	2.11391   	3.000000	2.11879   	3.000000	2.11879   	3.000000	2.11879   	3.000000	2.11229   	3.000000	0.00162359
3.500000	4.82902   	3.500000	1.96752   	3.500000	1.97785   	3.500000	1.97785   	3.500000	1.97785   	3.500000	1.96609   	3.500000	0.0014252
4.000000	4.40663   	4.000000	1.84418   	4.000000	1.85571   	4.000000	1.85571   	4.000000	1.85571   	4.000000	1.84291   	4.000000	0.00127249
4.500000	4.05601   	4.500000	1.73846   	4.500000	1.74923   	4.500000	1.74923   	4.500000	1.74923   	4.500000	1.73731   	4.500000	0.00115104
5.000000	3.76016   	5.000000	1.64643   	5.000000	1.65574   	5.000000	1.65574   	5.000000	1.65574   	5.000000	1.64537   	5.000000	0.00105199
5.500000	3.50702   	5.500000	1.56536   	5.500000	1.57307   	5.500000	1.57307   	5.500000	1.57307   	5.500000	1.56439   	5.500000	0.000969556
6.000000	3.28788   	6.000000	1.49328   	6.000000	1.49945   	6.000000	1.49945   	6.000000	1.49946   	6.000000	1.49238   	6.000000	0.000899807
6.500000	3.09622   	6.500000	1.42869   	6.500000	1.43348   	6.500000	1.43348   	6.500000	1.43348   	6.500000	1.42785   	6.500000	0.000839973
7.000000	2.92713   	7.000000	1.37044   	7.000000	1.374     	7.000000	1.374     	7.000000	1.374     	7.000000	1.36966   	7.000000	0.00078804
7.500000	2.77678   	7.500000	1.3176    	7.500000	1.32008   	7.500000	1.32008   	7.500000	1.32008   	7.500000	1.31685   	7.500000	0.000742513
8.000000	2.64217   	8.000000	1.2694    	8.000000	1.27095   	8.000000	1.27095   	8.000000	1.27095   	8.000000	1.2687    	8.000000	0.000702252
8.500000	2.52094   	8.500000	1.22525   	8.500000	1.22598   	8.500000	1.22598   	8.500000	1.22598   	8.500000	1.22459   	8.500000	0.000666376
9.000000	2.41114   	9.000000	1.18464   	9.000000	1.18465   	9.000000	1.18465   	9.000000	1.18465   	9.000000	1.184     	9.000000	0.000634194
9.500000	2.31122   	9.500000	1.14712   	9.500000	1.14651   	9.500000	1.14651   	9.500000	1.14651   	9.500000	1.14652   	9.500000	0.000605151
10.000000	2.21987   	10.000000	1.1159    	10.000000	1.1112    	10.000000	1.1112    	10.000000	1.1112    	10.000000	1.11533   	10.000000	0.000578801
11.000000	2.05879   	11.000000	1.05856   	11.000000	1.04945   	11.000000	1.0507    	11.000000	1.04972   	11.000000	1.05802   	11.000000	0.000532784
12.000000	1.92118   	12.000000	1.00605   	12.000000	0.994576  	12.000000	0.996652  	12.000000	0.99496   	12.000000	1.00555   	12.000000	0.000493909
13.000000	1.8022    	13.000000	0.958131  	13.000000	0.94543   	13.000000	0.948037  	13.000000	0.945846  	13.000000	0.957671  	13.000000	0.000460607
