*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
880.000000	0.108756  	880.000000	0.0764422 	880.000000	0.0757806 	880.000000	0.0751792 	880.000000	0.0757797 	880.000000	0.0764318 	880.000000	1.04535e-05
900.000000	0.108112  	900.000000	0.0760682 	900.000000	0.0754169 	900.000000	0.0748165 	900.000000	0.0754151 	900.000000	0.0760579 	900.000000	1.02402e-05
920.000000	0.107504  	920.000000	0.0757148 	920.000000	0.0750739 	920.000000	0.0744742 	920.000000	0.0750706 	920.000000	0.0757047 	920.000000	1.00358e-05
940.000000	0.106929  	940.000000	0.0753808 	940.000000	0.0747495 	940.000000	0.0741509 	940.000000	0.0747453 	940.000000	0.075371  	940.000000	9.83967e-06
960.000000	0.106386  	960.000000	0.0750651 	960.000000	0.0744417 	960.000000	0.0738453 	960.000000	0.0744379 	960.000000	0.0750554 	960.000000	9.65138e-06
980.000000	0.105872  	980.000000	0.0747664 	980.000000	0.074149  	980.000000	0.0735565 	980.000000	0.0741473 	980.000000	0.074757  	980.000000	9.47044e-06
1000.000000	0.105387  	1000.000000	0.074484  	1000.000000	0.0738716 	1000.000000	0.0732832 	1000.000000	0.0738722 	1000.000000	0.0744747 	1000.000000	9.29643e-06
1020.000000	0.104928  	1020.000000	0.0742167 	1020.000000	0.0736093 	1020.000000	0.0730247 	1020.000000	0.073612  	1020.000000	0.0742075 	1020.000000	9.12893e-06
1040.000000	0.104494  	1040.000000	0.0739638 	1040.000000	0.073362  	1040.000000	0.07278   	1040.000000	0.0733657 	1040.000000	0.0739548 	1040.000000	8.9676e-06
1060.000000	0.104084  	1060.000000	0.0737244 	1060.000000	0.073129  	1060.000000	0.0725482 	1060.000000	0.0731325 	1060.000000	0.0737156 	1060.000000	8.81209e-06
1080.000000	0.103696  	1080.000000	0.0734978 	1080.000000	0.0729089 	1080.000000	0.0723287 	1080.000000	0.0729114 	1080.000000	0.0734892 	1080.000000	8.66209e-06
1100.000000	0.103329  	1100.000000	0.0732834 	1100.000000	0.0727005 	1100.000000	0.0721207 	1100.000000	0.0727019 	1100.000000	0.0732749 	1100.000000	8.51731e-06
1120.000000	0.102983  	1120.000000	0.0730805 	1120.000000	0.0725029 	1120.000000	0.0719237 	1120.000000	0.0725034 	1120.000000	0.0730721 	1120.000000	8.37747e-06
1140.000000	0.102656  	1140.000000	0.0728885 	1140.000000	0.0723153 	1140.000000	0.0717369 	1140.000000	0.0723154 	1140.000000	0.0728802 	1140.000000	8.24232e-06
1160.000000	0.102348  	1160.000000	0.0727068 	1160.000000	0.0721373 	1160.000000	0.0715598 	1160.000000	0.072137  	1160.000000	0.0726987 	1160.000000	8.11164e-06
1180.000000	0.102057  	1180.000000	0.072535  	1180.000000	0.0719686 	1180.000000	0.0713919 	1180.000000	0.0719678 	1180.000000	0.072527  	1180.000000	7.98519e-06
1200.000000	0.101783  	1200.000000	0.0723726 	1200.000000	0.0718087 	1200.000000	0.0712327 	1200.000000	0.0718074 	1200.000000	0.0723647 	1200.000000	7.86277e-06
1220.000000	0.101524  	1220.000000	0.072219  	1220.000000	0.0716573 	1220.000000	0.0710818 	1220.000000	0.0716553 	1220.000000	0.0722113 	1220.000000	7.7442e-06
1240.000000	0.101281  	1240.000000	0.072074  	1240.000000	0.0715139 	1240.000000	0.0709387 	1240.000000	0.0715111 	1240.000000	0.0720663 	1240.000000	7.62928e-06
1260.000000	0.101052  	1260.000000	0.071937  	1260.000000	0.0713778 	1260.000000	0.070803  	1260.000000	0.0713743 	1260.000000	0.0719295 	1260.000000	7.51785e-06
1280.000000	0.100837  	1280.000000	0.0718077 	1280.000000	0.0712485 	1280.000000	0.0706744 	1280.000000	0.0712445 	1280.000000	0.0718003 	1280.000000	7.40976e-06
1300.000000	0.100635  	1300.000000	0.0716858 	1300.000000	0.0711256 	1300.000000	0.0705524 	1300.000000	0.0711215 	1300.000000	0.0716785 	1300.000000	7.30485e-06
1320.000000	0.100446  	1320.000000	0.071571  	1320.000000	0.0710086 	1320.000000	0.0704368 	1320.000000	0.071005  	1320.000000	0.0715638 	1320.000000	7.20298e-06
1340.000000	0.100269  	1340.000000	0.0714629 	1340.000000	0.0708972 	1340.000000	0.0703273 	1340.000000	0.0708945 	1340.000000	0.0714557 	1340.000000	7.10403e-06
1360.000000	0.100104  	1360.000000	0.0713612 	1360.000000	0.0707914 	1360.000000	0.0702235 	1360.000000	0.0707898 	1360.000000	0.0713542 	1360.000000	7.00785e-06
1380.000000	0.09995   	1380.000000	0.0712656 	1380.000000	0.0706909 	1380.000000	0.0701252 	1380.000000	0.0706905 	1380.000000	0.0712587 	1380.000000	6.91435e-06
1400.000000	0.0998068 	1400.000000	0.071176  	1400.000000	0.0705957 	1400.000000	0.0700321 	1400.000000	0.0705966 	1400.000000	0.0711692 	1400.000000	6.8234e-06
1420.000000	0.0996739 	1420.000000	0.0710921 	1420.000000	0.0705058 	1420.000000	0.069944  	1420.000000	0.0705076 	1420.000000	0.0710853 	1420.000000	6.73491e-06
1440.000000	0.099551  	1440.000000	0.0710135 	1440.000000	0.0704209 	1440.000000	0.0698607 	1440.000000	0.0704234 	1440.000000	0.0710069 	1440.000000	6.64877e-06
1460.000000	0.0994376 	1460.000000	0.0709402 	1460.000000	0.0703409 	1460.000000	0.0697819 	1460.000000	0.0703439 	1460.000000	0.0709336 	1460.000000	6.56489e-06
1480.000000	0.0993334 	1480.000000	0.0708718 	1480.000000	0.0702655 	1480.000000	0.0697074 	1480.000000	0.0702686 	1480.000000	0.0708654 	1480.000000	6.48318e-06
1500.000000	0.0992381 	1500.000000	0.0708083 	1500.000000	0.0701946 	1500.000000	0.069637  	1500.000000	0.0701974 	1500.000000	0.0708019 	1500.000000	6.40355e-06
1520.000000	0.0991513 	1520.000000	0.0707494 	1520.000000	0.0701278 	1520.000000	0.0695706 	1520.000000	0.0701302 	1520.000000	0.0707431 	1520.000000	6.32593e-06
1540.000000	0.0990728 	1540.000000	0.0706949 	1540.000000	0.0700649 	1540.000000	0.069508  	1540.000000	0.0700669 	1540.000000	0.0706887 	1540.000000	6.25024e-06
1560.000000	0.0990022 	1560.000000	0.0706447 	1560.000000	0.0700057 	1560.000000	0.0694489 	1560.000000	0.0700072 	1560.000000	0.0706385 	1560.000000	6.17641e-06
1580.000000	0.0989392 	1580.000000	0.0705986 	1580.000000	0.06995   	1580.000000	0.0693934 	1580.000000	0.0699509 	1580.000000	0.0705925 	1580.000000	6.10437e-06
1600.000000	0.0988837 	1600.000000	0.0705565 	1600.000000	0.0698975 	1600.000000	0.0693411 	1600.000000	0.069898  	1600.000000	0.0705504 	1600.000000	6.03406e-06
1620.000000	0.0988353 	1620.000000	0.0705181 	1620.000000	0.0698482 	1620.000000	0.069292  	1620.000000	0.0698482 	1620.000000	0.0705122 	1620.000000	5.96541e-06
1640.000000	0.0987939 	1640.000000	0.0704835 	1640.000000	0.0698018 	1640.000000	0.0692459 	1640.000000	0.0698015 	1640.000000	0.0704776 	1640.000000	5.89836e-06
1660.000000	0.0987591 	1660.000000	0.0704524 	1660.000000	0.0697583 	1660.000000	0.0692027 	1660.000000	0.0697576 	1660.000000	0.0704465 	1660.000000	5.83286e-06
1680.000000	0.0987307 	1680.000000	0.0704247 	1680.000000	0.0697176 	1680.000000	0.0691623 	1680.000000	0.0697167 	1680.000000	0.0704189 	1680.000000	5.76885e-06
1700.000000	0.0987087 	1700.000000	0.0704003 	1700.000000	0.0696795 	1700.000000	0.0691246 	1700.000000	0.0696784 	1700.000000	0.0703946 	1700.000000	5.70628e-06
1750.000000	0.0986796 	1750.000000	0.070353  	1750.000000	0.0695951 	1750.000000	0.0690412 	1750.000000	0.0695936 	1750.000000	0.0703474 	1750.000000	5.55587e-06
1800.000000	0.0986855 	1800.000000	0.070324  	1800.000000	0.0695252 	1800.000000	0.0689722 	1800.000000	0.0695233 	1800.000000	0.0703185 	1800.000000	5.41346e-06
1850.000000	0.0987239 	1850.000000	0.0703118 	1850.000000	0.0694684 	1850.000000	0.0689163 	1850.000000	0.0694661 	1850.000000	0.0703065 	1850.000000	5.27843e-06
1900.000000	0.0987924 	1900.000000	0.070315  	1900.000000	0.0694233 	1900.000000	0.0688722 	1900.000000	0.0694208 	1900.000000	0.0703099 	1900.000000	5.15022e-06
1950.000000	0.0988889 	1950.000000	0.0703326 	1950.000000	0.0693888 	1950.000000	0.0688387 	1950.000000	0.0693862 	1950.000000	0.0703276 	1950.000000	5.02831e-06
2000.000000	0.0990115 	2000.000000	0.0703635 	2000.000000	0.0693638 	2000.000000	0.068815  	2000.000000	0.0693615 	2000.000000	0.0703586 	2000.000000	4.91225e-06
2100.000000	0.0993286 	2100.000000	0.0704611 	2100.000000	0.0693391 	2100.000000	0.0687932 	2100.000000	0.0693377 	2100.000000	0.0704564 	2100.000000	4.69603e-06
2200.000000	0.0997316 	2200.000000	0.0706013 	2200.000000	0.0693434 	2200.000000	0.0688006 	2200.000000	0.0693434 	2200.000000	0.0705968 	2200.000000	4.49868e-06
2300.000000	0.100211  	2300.000000	0.0707784 	2300.000000	0.0693725 	2300.000000	0.0688324 	2300.000000	0.0693736 	2300.000000	0.0707741 	2300.000000	4.31781e-06
2400.000000	0.100758  	2400.000000	0.0709878 	2400.000000	0.0694227 	2400.000000	0.0688845 	2400.000000	0.0694243 	2400.000000	0.0709837 	2400.000000	4.15141e-06
2500.000000	0.101365  	2500.000000	0.0712257 	2500.000000	0.0694907 	2500.000000	0.0689536 	2500.000000	0.0694921 	2500.000000	0.0712217 	2500.000000	3.9978e-06
2600.000000	0.102028  	2600.000000	0.0714887 	2600.000000	0.0695733 	2600.000000	0.069037  	2600.000000	0.0695742 	2600.000000	0.0714849 	2600.000000	3.85553e-06
2700.000000	0.10274   	2700.000000	0.0717741 	2700.000000	0.0696681 	2700.000000	0.0691322 	2700.000000	0.0696683 	2700.000000	0.0717703 	2700.000000	3.72338e-06
2800.000000	0.103497  	2800.000000	0.0720793 	2800.000000	0.0697729 	2800.000000	0.0692374 	2800.000000	0.0697726 	2800.000000	0.0720757 	2800.000000	3.6003e-06
2900.000000	0.104295  	2900.000000	0.0724023 	2900.000000	0.0698861 	2900.000000	0.069351  	2900.000000	0.0698851 	2900.000000	0.0723988 	2900.000000	3.48537e-06
3000.000000	0.105132  	3000.000000	0.0727413 	3000.000000	0.0700061 	3000.000000	0.0694716 	3000.000000	0.0700048 	3000.000000	0.072738  	3000.000000	3.3778e-06
3200.000000	0.106908  	3200.000000	0.0734612 	3200.000000	0.0702625 	3200.000000	0.0697291 	3200.000000	0.0702608 	3200.000000	0.073458  	3200.000000	3.18205e-06
3400.000000	0.108804  	3400.000000	0.0742284 	3400.000000	0.0705348 	3400.000000	0.0700027 	3400.000000	0.070533  	3400.000000	0.0742254 	3400.000000	3.00846e-06
3600.000000	0.110807  	3600.000000	0.0750349 	3600.000000	0.0708176 	3600.000000	0.0702869 	3600.000000	0.0708159 	3600.000000	0.075032  	3600.000000	2.85342e-06
3800.000000	0.112904  	3800.000000	0.0758741 	3800.000000	0.071107  	3800.000000	0.0705775 	3800.000000	0.0711055 	3800.000000	0.0758714 	3800.000000	2.71408e-06
4000.000000	0.115084  	4000.000000	0.0767409 	4000.000000	0.0714001 	4000.000000	0.0708718 	4000.000000	0.0713987 	4000.000000	0.0767384 	4000.000000	2.58814e-06
4200.000000	0.11734   	4200.000000	0.0776312 	4200.000000	0.0716946 	4200.000000	0.0711674 	4200.000000	0.0716934 	4200.000000	0.0776288 	4200.000000	2.47375e-06
4400.000000	0.119665  	4400.000000	0.0785416 	4400.000000	0.0719888 	4400.000000	0.0714626 	4400.000000	0.0719878 	4400.000000	0.0785392 	4400.000000	2.36936e-06
4600.000000	0.122054  	4600.000000	0.0794692 	4600.000000	0.0722814 	4600.000000	0.0717562 	4600.000000	0.0722806 	4600.000000	0.0794669 	4600.000000	2.2737e-06
4800.000000	0.124502  	4800.000000	0.0804117 	4800.000000	0.0725716 	4800.000000	0.0720472 	4800.000000	0.0725709 	4800.000000	0.0804095 	4800.000000	2.18572e-06
5000.000000	0.127006  	5000.000000	0.0813672 	5000.000000	0.0728586 	5000.000000	0.0723351 	5000.000000	0.0728581 	5000.000000	0.0813651 	5000.000000	2.10451e-06
5250.000000	0.130207  	5250.000000	0.0825772 	5250.000000	0.0732121 	5250.000000	0.0726895 	5250.000000	0.0732117 	5250.000000	0.0825752 	5250.000000	2.01138e-06
5500.000000	0.133485  	5500.000000	0.0838022 	5500.000000	0.0735592 	5500.000000	0.0730375 	5500.000000	0.0735589 	5500.000000	0.0838002 	5500.000000	1.9264e-06
6000.000000	0.140249  	6000.000000	0.0862885 	6000.000000	0.0742325 	6000.000000	0.0737122 	6000.000000	0.0742322 	6000.000000	0.0862867 	6000.000000	1.77691e-06
6500.000000	0.14727   	6500.000000	0.0888125 	6500.000000	0.0748768 	6500.000000	0.0743577 	6500.000000	0.0748764 	6500.000000	0.0888109 	6500.000000	1.64961e-06
7000.000000	0.154528  	7000.000000	0.0913646 	7000.000000	0.075492  	7000.000000	0.0749741 	7000.000000	0.0754916 	7000.000000	0.091363  	7000.000000	1.53984e-06
7500.000000	0.162007  	7500.000000	0.0939377 	7500.000000	0.0760776 	7500.000000	0.0755622 	7500.000000	0.0760785 	7500.000000	0.0939362 	7500.000000	1.4442e-06
8000.000000	0.169697  	8000.000000	0.0965267 	8000.000000	0.0766375 	8000.000000	0.0761236 	8000.000000	0.0766387 	8000.000000	0.0965253 	8000.000000	1.36008e-06
8500.000000	0.177587  	8500.000000	0.0991277 	8500.000000	0.0771737 	8500.000000	0.0766596 	8500.000000	0.0771735 	8500.000000	0.0991264 	8500.000000	1.28551e-06
9000.000000	0.185673  	9000.000000	0.101738  	9000.000000	0.0776863 	9000.000000	0.0771719 	9000.000000	0.0776846 	9000.000000	0.101737  	9000.000000	1.21893e-06
9500.000000	0.193948  	9500.000000	0.104355  	9500.000000	0.078175  	9500.000000	0.0776621 	9500.000000	0.0781736 	9500.000000	0.104354  	9500.000000	1.15911e-06
10000.000000	0.202407  	10000.000000	0.106977  	10000.000000	0.0786412 	10000.000000	0.0781316 	10000.000000	0.0786419 	10000.000000	0.106976  	10000.000000	1.10506e-06
11000.000000	0.219868  	11000.000000	0.11223   	11000.000000	0.0795186 	11000.000000	0.079014  	11000.000000	0.0795217 	11000.000000	0.112229  	11000.000000	1.0112e-06
12000.000000	0.238036  	12000.000000	0.11749   	12000.000000	0.0803338 	12000.000000	0.079829  	12000.000000	0.0803341 	12000.000000	0.117489  	12000.000000	9.32461e-07
13000.000000	0.256896  	13000.000000	0.122751  	13000.000000	0.0810895 	13000.000000	0.0805852 	13000.000000	0.0810875 	13000.000000	0.12275   	13000.000000	8.65424e-07
14000.000000	0.27644   	14000.000000	0.12801   	14000.000000	0.08179   	14000.000000	0.0812896 	14000.000000	0.081789  	14000.000000	0.128009  	14000.000000	8.07641e-07
15000.000000	0.296662  	15000.000000	0.133264  	15000.000000	0.0824425 	15000.000000	0.0819484 	15000.000000	0.0824446 	15000.000000	0.133264  	15000.000000	7.57302e-07
16000.000000	0.317557  	16000.000000	0.138512  	16000.000000	0.0830546 	16000.000000	0.0825666 	16000.000000	0.0830595 	16000.000000	0.138512  	16000.000000	7.13044e-07
17000.000000	0.339124  	17000.000000	0.143753  	17000.000000	0.0836316 	17000.000000	0.0831486 	17000.000000	0.083638  	17000.000000	0.143753  	17000.000000	6.73817e-07
18000.000000	0.361361  	18000.000000	0.148986  	18000.000000	0.0841776 	18000.000000	0.0836981 	18000.000000	0.0841839 	18000.000000	0.148986  	18000.000000	6.38802e-07
19000.000000	0.384268  	19000.000000	0.154211  	19000.000000	0.0846955 	19000.000000	0.0842183 	19000.000000	0.0847002 	19000.000000	0.154211  	19000.000000	6.07349e-07
20000.000000	0.407845  	20000.000000	0.159428  	20000.000000	0.085188  	20000.000000	0.084712  	20000.000000	0.0851899 	20000.000000	0.159427  	20000.000000	5.78935e-07
21000.000000	0.432093  	21000.000000	0.164635  	21000.000000	0.0856557 	21000.000000	0.0851816 	21000.000000	0.0856553 	21000.000000	0.164635  	21000.000000	5.53137e-07
22000.000000	0.457014  	22000.000000	0.169834  	22000.000000	0.0860978 	22000.000000	0.0856292 	22000.000000	0.0860985 	22000.000000	0.169834  	22000.000000	5.29605e-07
23000.000000	0.48261   	23000.000000	0.175024  	23000.000000	0.08652   	23000.000000	0.0860566 	23000.000000	0.0865214 	23000.000000	0.175024  	23000.000000	5.08051e-07
24000.000000	0.508882  	24000.000000	0.180206  	24000.000000	0.0869245 	24000.000000	0.0864656 	24000.000000	0.0869256 	24000.000000	0.180206  	24000.000000	4.88233e-07
25000.000000	0.535833  	25000.000000	0.185379  	25000.000000	0.0873116 	25000.000000	0.0868575 	25000.000000	0.0873126 	25000.000000	0.185379  	25000.000000	4.69948e-07
26000.000000	0.563465  	26000.000000	0.190544  	26000.000000	0.087683  	26000.000000	0.0872337 	26000.000000	0.0876836 	26000.000000	0.190544  	26000.000000	4.53022e-07
27000.000000	0.591781  	27000.000000	0.195701  	27000.000000	0.0880402 	27000.000000	0.0875953 	27000.000000	0.0880399 	27000.000000	0.1957    	27000.000000	4.37309e-07
28000.000000	0.620784  	28000.000000	0.20085   	28000.000000	0.0883837 	28000.000000	0.0879432 	28000.000000	0.0883823 	28000.000000	0.200849  	28000.000000	4.2268e-07
29000.000000	0.650477  	29000.000000	0.20599   	29000.000000	0.0887142 	29000.000000	0.0882786 	29000.000000	0.0887121 	29000.000000	0.20599   	29000.000000	4.09027e-07
30000.000000	0.680862  	30000.000000	0.211123  	30000.000000	0.0890324 	30000.000000	0.0886022 	30000.000000	0.0890297 	30000.000000	0.211123  	30000.000000	3.96253e-07
32000.000000	0.743724  	32000.000000	0.221367  	32000.000000	0.0896359 	32000.000000	0.0892169 	32000.000000	0.0896323 	32000.000000	0.221367  	32000.000000	3.73024e-07
34000.000000	0.809395  	34000.000000	0.231582  	34000.000000	0.0901999 	34000.000000	0.0897926 	34000.000000	0.090195  	34000.000000	0.231582  	34000.000000	3.5244e-07
36000.000000	0.877905  	36000.000000	0.24177   	36000.000000	0.0907276 	36000.000000	0.090334  	36000.000000	0.0907226 	36000.000000	0.241769  	36000.000000	3.3407e-07
38000.000000	0.94928   	38000.000000	0.251931  	38000.000000	0.0912225 	38000.000000	0.0908445 	38000.000000	0.0912188 	38000.000000	0.25193   	38000.000000	3.17571e-07
40000.000000	1.02355   	40000.000000	0.262067  	40000.000000	0.0916886 	40000.000000	0.0913275 	40000.000000	0.0916866 	40000.000000	0.262066  	40000.000000	3.02669e-07
42000.000000	1.10075   	42000.000000	0.272178  	42000.000000	0.0921299 	42000.000000	0.0917856 	42000.000000	0.0921288 	42000.000000	0.272178  	42000.000000	2.89141e-07
44000.000000	1.1809    	44000.000000	0.282267  	44000.000000	0.0925494 	44000.000000	0.0922211 	44000.000000	0.092548  	44000.000000	0.282267  	44000.000000	2.76804e-07
46000.000000	1.26403   	46000.000000	0.292334  	46000.000000	0.0929494 	46000.000000	0.0926361 	46000.000000	0.0929456 	46000.000000	0.292334  	46000.000000	2.65505e-07
48000.000000	1.35019   	48000.000000	0.302379  	48000.000000	0.0933311 	48000.000000	0.0930324 	48000.000000	0.0933241 	48000.000000	0.302379  	48000.000000	2.55118e-07
50000.000000	1.43939   	50000.000000	0.312404  	50000.000000	0.0936946 	50000.000000	0.0934114 	50000.000000	0.0936844 	50000.000000	0.312404  	50000.000000	2.45535e-07
