*! 9Li energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.500000	0.336541  	1.500000	0.34381   	1.500000	0.341817  	1.500000	0.341817  	1.500000	0.341817  	1.500000	0.343585  	1.500000	0.000225002	
1.750000	0.299104  	1.750000	0.309485  	1.750000	0.313338  	1.750000	0.313338  	1.750000	0.313338  	1.750000	0.309289  	1.750000	0.00019635	
2.000000	0.270157  	2.000000	0.283495  	2.000000	0.289123  	2.000000	0.289123  	2.000000	0.289124  	2.000000	0.28332   	2.000000	0.000174452	
2.250000	0.247303  	2.250000	0.260109  	2.250000	0.268183  	2.250000	0.268183  	2.250000	0.268184  	2.250000	0.259952  	2.250000	0.000157143	
2.500000	0.220714  	2.500000	0.240848  	2.500000	0.249935  	2.500000	0.249935  	2.500000	0.249935  	2.500000	0.240705  	2.500000	0.000143099	
3.000000	0.193933  	3.000000	0.210601  	3.000000	0.2198    	3.000000	0.2198    	3.000000	0.2198    	3.000000	0.21048   	3.000000	0.000121658	
3.500000	0.173296  	3.500000	0.187613  	3.500000	0.19608   	3.500000	0.19608   	3.500000	0.19608   	3.500000	0.187507  	3.500000	0.000106024	
4.000000	0.156878  	4.000000	0.169387  	4.000000	0.177023  	4.000000	0.177023  	4.000000	0.177023  	4.000000	0.169293  	4.000000	9.40939e-05	
4.500000	0.143488  	4.500000	0.154526  	4.500000	0.161429  	4.500000	0.161429  	4.500000	0.161429  	4.500000	0.154442  	4.500000	8.46763e-05	
5.000000	0.132346  	5.000000	0.142156  	5.000000	0.148457  	5.000000	0.148457  	5.000000	0.148457  	5.000000	0.142079  	5.000000	7.70438e-05	
5.500000	0.122921  	5.500000	0.131911  	5.500000	0.137509  	5.500000	0.137509  	5.500000	0.137509  	5.500000	0.13184   	5.500000	7.07266e-05	
6.000000	0.114839  	6.000000	0.123128  	6.000000	0.128149  	6.000000	0.128149  	6.000000	0.128149  	6.000000	0.123063  	6.000000	6.54075e-05	
6.500000	0.107827  	6.500000	0.115512  	6.500000	0.120056  	6.500000	0.120056  	6.500000	0.120056  	6.500000	0.115451  	6.500000	6.08642e-05	
7.000000	0.101682  	7.000000	0.108842  	7.000000	0.112987  	7.000000	0.112987  	7.000000	0.112987  	7.000000	0.108785  	7.000000	5.69363e-05	
7.500000	0.0962511 	7.500000	0.10295   	7.500000	0.106757  	7.500000	0.106757  	7.500000	0.106757  	7.500000	0.102896  	7.500000	5.35051e-05	
8.000000	0.0914137 	8.000000	0.0977042 	8.000000	0.101224  	8.000000	0.101224  	8.000000	0.101224  	8.000000	0.0976538 	8.000000	5.04808e-05	
8.500000	0.087076  	8.500000	0.0930028 	8.500000	0.0962752 	8.500000	0.0962752 	8.500000	0.0962753 	8.500000	0.092955  	8.500000	4.7794e-05	
9.000000	0.0831633 	9.000000	0.0887633 	9.000000	0.0918203 	9.000000	0.0918203 	9.000000	0.0918203 	9.000000	0.0887179 	9.000000	4.53905e-05	
9.500000	0.0796149 	9.500000	0.0849195 	9.500000	0.0877875 	9.500000	0.0877875 	9.500000	0.0877875 	9.500000	0.0848763 	9.500000	4.32271e-05	
10.000000	0.0763813 	10.000000	0.0850959 	10.000000	0.0841181 	10.000000	0.0841181 	10.000000	0.0841181 	10.000000	0.0850547 	10.000000	4.1269e-05	
11.000000	0.0707022 	11.000000	0.0786774 	11.000000	0.0776113 	11.000000	0.0776235 	11.000000	0.0775841 	11.000000	0.0786395 	11.000000	3.78607e-05	
12.000000	0.0658732 	12.000000	0.0732253 	12.000000	0.0721077 	12.000000	0.0721277 	12.000000	0.0720582 	12.000000	0.0731903 	12.000000	3.4993e-05	
13.000000	0.0617139 	13.000000	0.0685338 	13.000000	0.0673904 	13.000000	0.067415  	13.000000	0.0673219 	13.000000	0.0685013 	13.000000	3.25452e-05	
14.000000	0.0580919 	14.000000	0.0644519 	14.000000	0.0633016 	14.000000	0.0633281 	14.000000	0.0632164 	14.000000	0.0644215 	14.000000	3.04304e-05	
15.000000	0.0549077 	15.000000	0.0608663 	15.000000	0.0597233 	15.000000	0.0597498 	15.000000	0.059623  	15.000000	0.0608377 	15.000000	2.8584e-05	
16.000000	0.0520852 	16.000000	0.0576904 	16.000000	0.0565646 	16.000000	0.0565906 	16.000000	0.0564517 	16.000000	0.0576634 	16.000000	2.69573e-05	
17.000000	0.0495651 	17.000000	0.0548567 	17.000000	0.0537558 	17.000000	0.0537813 	17.000000	0.0536325 	17.000000	0.0548311 	17.000000	2.55129e-05	
18.000000	0.0473006 	18.000000	0.0523118 	18.000000	0.0512434 	18.000000	0.0512672 	18.000000	0.0511101 	18.000000	0.0522876 	18.000000	2.42214e-05	
19.000000	0.0452538 	19.000000	0.0500131 	19.000000	0.0489829 	19.000000	0.0490047 	19.000000	0.0488407 	19.000000	0.0499901 	19.000000	2.30594e-05	
20.000000	0.0433944 	20.000000	0.047926  	20.000000	0.0469374 	20.000000	0.0469584 	20.000000	0.0467886 	20.000000	0.047904  	20.000000	2.2008e-05	
21.000000	0.0416973 	21.000000	0.0460221 	21.000000	0.045079  	21.000000	0.0450993 	21.000000	0.0449246 	21.000000	0.046001  	21.000000	2.10521e-05	
22.000000	0.0401418 	22.000000	0.0442779 	22.000000	0.0433858 	22.000000	0.0434035 	22.000000	0.0432247 	22.000000	0.0442577 	22.000000	2.0179e-05	
23.000000	0.0387105 	23.000000	0.0426739 	23.000000	0.0418369 	23.000000	0.0418511 	23.000000	0.0416687 	23.000000	0.0426545 	23.000000	1.93783e-05	
24.000000	0.0373889 	24.000000	0.0411935 	24.000000	0.0404137 	24.000000	0.0404252 	24.000000	0.0402398 	24.000000	0.0411748 	24.000000	1.86411e-05	
25.000000	0.0361646 	25.000000	0.0398227 	25.000000	0.0391016 	25.000000	0.0391116 	25.000000	0.0389236 	25.000000	0.0398048 	25.000000	1.79602e-05	
27.000000	0.0339672 	27.000000	0.0373642 	27.000000	0.0367675 	27.000000	0.0367744 	27.000000	0.0365822 	27.000000	0.0373474 	27.000000	1.67428e-05	
29.000000	0.0320501 	29.000000	0.0352213 	29.000000	0.034758  	29.000000	0.034761  	29.000000	0.0345656 	29.000000	0.0352056 	29.000000	1.56858e-05	
31.000000	0.0303621 	31.000000	0.0333362 	31.000000	0.0329704 	31.000000	0.0329696 	31.000000	0.0327813 	31.000000	0.0333214 	31.000000	1.4759e-05	
33.000000	0.0288636 	33.000000	0.0316643 	33.000000	0.0313482 	33.000000	0.0313439 	33.000000	0.0311705 	33.000000	0.0316504 	33.000000	1.39396e-05	
35.000000	0.027524  	35.000000	0.030171  	35.000000	0.0298967 	35.000000	0.0298894 	35.000000	0.0297289 	35.000000	0.0301578 	35.000000	1.32097e-05	
38.000000	0.0257603 	38.000000	0.028207  	38.000000	0.0279841 	38.000000	0.0279731 	38.000000	0.0278287 	38.000000	0.0281948 	38.000000	1.22526e-05	
41.000000	0.0242368 	41.000000	0.0265128 	41.000000	0.0263304 	41.000000	0.0263163 	41.000000	0.0261854 	41.000000	0.0265013 	41.000000	1.14295e-05	
44.000000	0.0229066 	44.000000	0.0250355 	44.000000	0.0248854 	44.000000	0.0248689 	44.000000	0.0247494 	44.000000	0.0250248 	44.000000	1.07138e-05	
47.000000	0.0217345 	47.000000	0.0237356 	47.000000	0.023612  	47.000000	0.023593  	47.000000	0.0234831 	47.000000	0.0237255 	47.000000	1.00856e-05	
50.000000	0.0206934 	50.000000	0.0225825 	50.000000	0.0224781 	50.000000	0.0224593 	50.000000	0.0223577 	50.000000	0.022573  	50.000000	9.52951e-06	
55.000000	0.0191937 	55.000000	0.0209244 	55.000000	0.0208457 	55.000000	0.0208259 	55.000000	0.0207358 	55.000000	0.0209157 	55.000000	8.73187e-06	
60.000000	0.0179275 	60.000000	0.0195276 	60.000000	0.0194679 	60.000000	0.0194466 	60.000000	0.0193658 	60.000000	0.0195195 	60.000000	8.06169e-06	
65.000000	0.0168432 	65.000000	0.0183341 	65.000000	0.0182864 	65.000000	0.0182657 	65.000000	0.0181926 	65.000000	0.0183266 	65.000000	7.49036e-06	
70.000000	0.0159034 	70.000000	0.0173021 	70.000000	0.0172654 	70.000000	0.0172427 	70.000000	0.0171761 	70.000000	0.0172951 	70.000000	6.99729e-06	
75.000000	0.0150806 	75.000000	0.0164005 	75.000000	0.0163691 	75.000000	0.0163475 	75.000000	0.0162864 	75.000000	0.0163939 	75.000000	6.56727e-06	
80.000000	0.0143538 	80.000000	0.0156059 	80.000000	0.0155799 	80.000000	0.0155574 	80.000000	0.015501  	80.000000	0.0155997 	80.000000	6.18878e-06	
85.000000	0.0137067 	85.000000	0.0149    	85.000000	0.014876  	85.000000	0.0148546 	85.000000	0.0148023 	85.000000	0.0148942 	85.000000	5.85301e-06	
90.000000	0.0131266 	90.000000	0.0142687 	90.000000	0.0142475 	90.000000	0.0142253 	90.000000	0.0141765 	90.000000	0.0142631 	90.000000	5.55301e-06	
95.000000	0.0126035 	95.000000	0.0137006 	95.000000	0.0136796 	95.000000	0.0136584 	95.000000	0.0136127 	95.000000	0.0136953 	95.000000	5.2833e-06	
100.000000	0.0121291 	100.000000	0.0131866 	100.000000	0.0131668 	100.000000	0.013145  	100.000000	0.0131021 	100.000000	0.0131815 	100.000000	5.03946e-06	
105.000000	0.0116967 	105.000000	0.0127192 	105.000000	0.0126987 	105.000000	0.0126777 	105.000000	0.0126373 	105.000000	0.0127144 	105.000000	4.81791e-06	
110.000000	0.011301  	110.000000	0.0122923 	110.000000	0.012272  	110.000000	0.0122506 	110.000000	0.0122124 	110.000000	0.0122877 	110.000000	4.61567e-06	
115.000000	0.0109372 	115.000000	0.0119008 	115.000000	0.0118796 	115.000000	0.0118587 	115.000000	0.0118225 	115.000000	0.0118964 	115.000000	4.43031e-06	
120.000000	0.0106017 	120.000000	0.0115405 	120.000000	0.0115184 	120.000000	0.0114977 	120.000000	0.0114634 	120.000000	0.0115362 	120.000000	4.25977e-06	
125.000000	0.0102911 	125.000000	0.0112077 	125.000000	0.0111852 	125.000000	0.0111641 	125.000000	0.0111314 	125.000000	0.0112036 	125.000000	4.10232e-06	
130.000000	0.0100027 	130.000000	0.0108994 	130.000000	0.0108752 	130.000000	0.0108549 	130.000000	0.0108238 	130.000000	0.0108955 	130.000000	3.9565e-06	
135.000000	0.00973418	135.000000	0.010613  	135.000000	0.010587  	135.000000	0.0105675 	135.000000	0.0105377 	135.000000	0.0106091 	135.000000	3.82104e-06	
140.000000	0.00948346	140.000000	0.0103461 	140.000000	0.0103193 	140.000000	0.0102996 	140.000000	0.0102712 	140.000000	0.0103424 	140.000000	3.69487e-06	
145.000000	0.0092488 	145.000000	0.0100969 	145.000000	0.0100692 	145.000000	0.0100494 	145.000000	0.0100221 	145.000000	0.0100933 	145.000000	3.57705e-06	
150.000000	0.00902865	150.000000	0.0098636 	150.000000	0.00983428	150.000000	0.00981507	150.000000	0.00978889	150.000000	0.00986013	150.000000	3.46677e-06	
155.000000	0.00871868	155.000000	0.00964476	155.000000	0.00961453	155.000000	0.0095952 	155.000000	0.00957003	155.000000	0.00964139	155.000000	3.36333e-06	
160.000000	0.00853699	160.000000	0.00943905	160.000000	0.00940799	160.000000	0.00938848	160.000000	0.00936426	160.000000	0.00943578	160.000000	3.26609e-06	
165.000000	0.00836566	165.000000	0.00924533	165.000000	0.00921272	165.000000	0.00919376	165.000000	0.00917043	165.000000	0.00924215	165.000000	3.1745e-06	
170.000000	0.00820381	170.000000	0.00906257	170.000000	0.00902894	170.000000	0.00901003	170.000000	0.00898752	170.000000	0.00905948	170.000000	3.0881e-06	
