*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.401341  	0.001000	0.19621   	0.001000	0.184427  	0.001000	0.184427  	0.001000	0.184403  	0.001000	0.107179  	0.001000	0.0890304 	
0.002000	0.442889  	0.002000	0.219939  	0.002000	0.206394  	0.002000	0.206394  	0.002000	0.206378  	0.002000	0.148455  	0.002000	0.0714841 	
0.005000	0.544433  	0.005000	0.275086  	0.005000	0.260032  	0.005000	0.260032  	0.005000	0.260025  	0.005000	0.228364  	0.005000	0.0467227 	
0.008000	0.623362  	0.008000	0.32057   	0.008000	0.305572  	0.008000	0.305572  	0.008000	0.305567  	0.008000	0.284816  	0.008000	0.0357547 	
0.010000	0.668243  	0.010000	0.347496  	0.010000	0.332852  	0.010000	0.332852  	0.010000	0.332848  	0.010000	0.316309  	0.010000	0.0311874 	
0.015000	0.780669  	0.015000	0.406711  	0.015000	0.39346   	0.015000	0.39346   	0.015000	0.393457  	0.015000	0.382714  	0.015000	0.0239975 	
0.020000	0.86961   	0.020000	0.463225  	0.020000	0.458844  	0.020000	0.458844  	0.020000	0.458842  	0.020000	0.443487  	0.020000	0.0197379 	
0.025000	0.967091  	0.025000	0.520553  	0.025000	0.524881  	0.025000	0.524881  	0.025000	0.52488   	0.025000	0.503831  	0.025000	0.0167218 	
0.030000	1.04912   	0.030000	0.573258  	0.030000	0.571254  	0.030000	0.571254  	0.030000	0.571253  	0.030000	0.558576  	0.030000	0.0146812 	
0.035000	1.10737   	0.035000	0.62086   	0.035000	0.613252  	0.035000	0.613252  	0.035000	0.613251  	0.035000	0.607735  	0.035000	0.0131248 	
0.040000	1.15063   	0.040000	0.658585  	0.040000	0.651176  	0.040000	0.651176  	0.040000	0.651176  	0.040000	0.646691  	0.040000	0.0118942 	
