*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0381883 	0.001000	0.0381883 	0.001000	0.0641903 	0.001000	0.0641903 	0.001000	0.0329223 	0.001000	0.00526599	
0.002000	0.0454971 	0.002000	0.0454971 	0.002000	0.0736087 	0.002000	0.0736087 	0.002000	0.0419615 	0.002000	0.00353558	
0.005000	0.0597514 	0.005000	0.0597514 	0.005000	0.0900367 	0.005000	0.0900367 	0.005000	0.0578269 	0.005000	0.00192446	
0.008000	0.0695255 	0.008000	0.0695255 	0.008000	0.100457  	0.008000	0.100457  	0.008000	0.0681666 	0.008000	0.00135886	
0.010000	0.0748547 	0.010000	0.0748547 	0.010000	0.105934  	0.010000	0.105934  	0.010000	0.0737039 	0.010000	0.00115078	
0.015000	0.0902829 	0.015000	0.0902829 	0.015000	0.116806  	0.015000	0.116806  	0.015000	0.0894386 	0.015000	0.000844349	
0.020000	0.102924  	0.020000	0.102924  	0.020000	0.125284  	0.020000	0.125284  	0.020000	0.10225   	0.020000	0.000674321	
0.025000	0.113379  	0.025000	0.113379  	0.025000	0.132323  	0.025000	0.132323  	0.025000	0.112814  	0.025000	0.000564935	
0.030000	0.121968  	0.030000	0.121968  	0.030000	0.134453  	0.030000	0.134453  	0.030000	0.12148   	0.030000	0.000488127	
0.035000	0.128904  	0.035000	0.128904  	0.035000	0.135776  	0.035000	0.135776  	0.035000	0.128473  	0.035000	0.000430967	
0.040000	0.134352  	0.040000	0.134352  	0.040000	0.136474  	0.040000	0.136474  	0.040000	0.133965  	0.040000	0.000386625	
0.045000	0.138462  	0.045000	0.138462  	0.045000	0.136673  	0.045000	0.136673  	0.045000	0.138111  	0.045000	0.000351138	
0.050000	0.141379  	0.050000	0.141379  	0.050000	0.136473  	0.050000	0.136473  	0.050000	0.141057  	0.050000	0.000322039	
0.055000	0.143244  	0.055000	0.143244  	0.055000	0.13595   	0.055000	0.13595   	0.055000	0.142947  	0.055000	0.00029771	
0.060000	0.144198  	0.060000	0.144198  	0.060000	0.135165  	0.060000	0.135165  	0.060000	0.143921  	0.060000	0.00027704	
0.070000	0.143901  	0.070000	0.143901  	0.070000	0.133004  	0.070000	0.133004  	0.070000	0.143657  	0.070000	0.000243749	
0.080000	0.141469  	0.080000	0.141469  	0.080000	0.130304  	0.080000	0.130304  	0.080000	0.141251  	0.080000	0.000218045	
0.090000	0.137709  	0.090000	0.137709  	0.090000	0.127286  	0.090000	0.127286  	0.090000	0.137511  	0.090000	0.000197553	
0.100000	0.133233  	0.100000	0.133233  	0.100000	0.124106  	0.100000	0.124106  	0.100000	0.133052  	0.100000	0.000180806	
0.120000	0.123706  	0.120000	0.123706  	0.120000	0.117664  	0.120000	0.117664  	0.120000	0.123551  	0.120000	0.000155008	
0.140000	0.114772  	0.140000	0.114772  	0.140000	0.111502  	0.140000	0.111502  	0.140000	0.114636  	0.140000	0.000136007	
0.160000	0.107015  	0.160000	0.107015  	0.160000	0.105832  	0.160000	0.105832  	0.160000	0.106894  	0.160000	0.000121389	
0.180000	0.100462  	0.180000	0.100462  	0.180000	0.100712  	0.180000	0.100712  	0.180000	0.100352  	0.180000	0.000109769	
0.200000	0.0949481 	0.200000	0.0949481 	0.200000	0.0961224 	0.200000	0.0961224 	0.200000	0.0948478 	0.200000	0.000100296	
0.250000	0.0844765 	0.250000	0.0844765 	0.250000	0.0866228 	0.250000	0.0866228 	0.250000	0.0843937 	0.250000	8.27844e-05	
0.300000	0.0770098 	0.300000	0.0770098 	0.300000	0.0792583 	0.300000	0.0792583 	0.300000	0.0769391 	0.300000	7.07218e-05	
0.350000	0.0712766 	0.350000	0.0712766 	0.350000	0.0733645 	0.350000	0.0733645 	0.350000	0.0712147 	0.350000	6.18759e-05	
0.400000	0.0666273 	0.400000	0.0666273 	0.400000	0.0685054 	0.400000	0.0685054 	0.400000	0.0665723 	0.400000	5.50943e-05	
0.450000	0.0627145 	0.450000	0.0627145 	0.450000	0.0644005 	0.450000	0.0644005 	0.450000	0.0626648 	0.450000	4.97199e-05	
0.500000	0.0593374 	0.500000	0.0593374 	0.500000	0.0608651 	0.500000	0.0608651 	0.500000	0.059292  	0.500000	4.53494e-05	
0.600000	0.0537311 	0.600000	0.0537311 	0.600000	0.0550368 	0.600000	0.0550368 	0.600000	0.0536924 	0.600000	3.86586e-05	
0.700000	0.0492124 	0.700000	0.0492124 	0.700000	0.0503848 	0.700000	0.0503848 	0.700000	0.0491786 	0.700000	3.37645e-05	
0.800000	0.0454645 	0.800000	0.0454645 	0.800000	0.046556  	0.800000	0.046556  	0.800000	0.0454344 	0.800000	3.00204e-05	
0.900000	0.0422932 	0.900000	0.0422932 	0.900000	0.0433337 	0.900000	0.0433337 	0.900000	0.0422662 	0.900000	2.70584e-05	
1.000000	0.0395689 	1.000000	0.0395689 	1.000000	0.0405754 	1.000000	0.0405754 	1.000000	0.0395443 	1.000000	2.46533e-05	
1.250000	0.0341692 	1.250000	0.0341692 	1.250000	0.0351244 	1.250000	0.0351244 	1.250000	0.0341489 	1.250000	2.02322e-05	
1.500000	0.0301464 	1.500000	0.0301464 	1.500000	0.0310678 	1.500000	0.0310678 	1.500000	0.0301292 	1.500000	1.72071e-05	
1.750000	0.0270236 	1.750000	0.0270236 	1.750000	0.0279158 	1.750000	0.0279158 	1.750000	0.0270086 	1.750000	1.50004e-05	
2.000000	0.0245237 	2.000000	0.0245237 	2.000000	0.025388  	2.000000	0.025388  	2.000000	0.0245104 	2.000000	1.33159e-05	
2.250000	0.0224737 	2.250000	0.0224737 	2.250000	0.023311  	2.250000	0.023311  	2.250000	0.0224617 	2.250000	1.19858e-05	
2.500000	0.0206701 	2.500000	0.0207598 	2.500000	0.021571  	2.500000	0.021571  	2.500000	0.0207489 	2.500000	1.09075e-05	
3.000000	0.0180487 	3.000000	0.018051  	3.000000	0.0188133 	3.000000	0.0188133 	3.000000	0.0180418 	3.000000	9.26309e-06	
3.500000	0.0160592 	3.500000	0.0160015 	3.500000	0.0167197 	3.500000	0.0167197 	3.500000	0.0159935 	3.500000	8.06551e-06	
4.000000	0.0144934 	4.000000	0.0143929 	4.000000	0.0150715 	4.000000	0.0150715 	4.000000	0.0143857 	4.000000	7.15262e-06	
4.500000	0.0132263 	4.500000	0.0130942 	4.500000	0.0137376 	4.500000	0.0137376 	4.500000	0.0130878 	4.500000	6.43259e-06	
