*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.15694e-06	0.001000	1.39571e-06	0.001000	1.73453e-06	0.001000	1.73453e-06	0.001000	7.36313e-07	0.001000	6.59395e-07	
0.002000	1.47832e-06	0.002000	1.62368e-06	0.002000	2.05449e-06	0.002000	2.05449e-06	0.002000	1.18887e-06	0.002000	4.34809e-07	
0.005000	2.28716e-06	0.005000	2.35551e-06	0.005000	2.87205e-06	0.005000	2.87205e-06	0.005000	2.125e-06 	0.005000	2.30507e-07	
0.008000	2.89336e-06	0.008000	2.94012e-06	0.008000	3.45665e-06	0.008000	3.45665e-06	0.008000	2.77696e-06	0.008000	1.6316e-07	
0.010000	3.22778e-06	0.010000	3.26604e-06	0.010000	3.76603e-06	0.010000	3.76603e-06	0.010000	3.12826e-06	0.010000	1.3778e-07	
0.015000	4.11821e-06	0.015000	4.13199e-06	0.015000	4.37761e-06	0.015000	4.37761e-06	0.015000	4.03135e-06	0.015000	1.00638e-07	
0.020000	4.86315e-06	0.020000	4.7452e-06	0.020000	4.85445e-06	0.020000	4.85445e-06	0.020000	4.66505e-06	0.020000	8.0153e-08	
0.025000	5.49833e-06	0.025000	5.27712e-06	0.025000	5.25603e-06	0.025000	5.25603e-06	0.025000	5.2101e-06	0.025000	6.70231e-08	
0.030000	6.04286e-06	0.030000	5.82187e-06	0.030000	5.70352e-06	0.030000	5.70352e-06	0.030000	5.76404e-06	0.030000	5.78276e-08	
0.035000	6.50826e-06	0.035000	6.37703e-06	0.035000	6.10637e-06	0.035000	6.10637e-06	0.035000	6.32603e-06	0.035000	5.09979e-08	
0.040000	6.90253e-06	0.040000	6.91962e-06	0.040000	6.47438e-06	0.040000	6.47438e-06	0.040000	6.87391e-06	0.040000	4.5708e-08	
0.045000	7.23204e-06	0.045000	7.43261e-06	0.045000	6.81391e-06	0.045000	6.81391e-06	0.045000	7.39113e-06	0.045000	4.148e-08 	
0.050000	7.50254e-06	0.050000	7.90698e-06	0.050000	7.12923e-06	0.050000	7.12923e-06	0.050000	7.86897e-06	0.050000	3.80168e-08	
0.055000	7.71959e-06	0.055000	8.3392e-06	0.055000	7.4233e-06	0.055000	7.4233e-06	0.055000	8.30408e-06	0.055000	3.51239e-08	
0.060000	7.88871e-06	0.060000	8.729e-06 	0.060000	7.69824e-06	0.060000	7.69824e-06	0.060000	8.69633e-06	0.060000	3.26682e-08	
0.070000	8.10501e-06	0.070000	9.38844e-06	0.070000	8.1965e-06	0.070000	8.1965e-06	0.070000	9.35972e-06	0.070000	2.8717e-08	
0.080000	8.19346e-06	0.080000	9.90593e-06	0.080000	8.63244e-06	0.080000	8.63244e-06	0.080000	9.88026e-06	0.080000	2.56698e-08	
0.090000	8.1913e-06	0.090000	1.0305e-05	0.090000	9.01151e-06	0.090000	9.01151e-06	0.090000	1.02818e-05	0.090000	2.32429e-08	
0.100000	8.129e-06 	0.100000	1.06072e-05	0.100000	9.33782e-06	0.100000	9.33782e-06	0.100000	1.05859e-05	0.100000	2.1261e-08	
0.120000	7.91041e-06	0.120000	1.09902e-05	0.120000	9.84629e-06	0.120000	9.84629e-06	0.120000	1.0972e-05	0.120000	1.82113e-08	
0.140000	7.65227e-06	0.140000	1.11635e-05	0.140000	1.01852e-05	0.140000	1.01852e-05	0.140000	1.11475e-05	0.140000	1.59675e-08	
0.160000	7.40335e-06	0.160000	1.11974e-05	0.160000	1.03815e-05	0.160000	1.03815e-05	0.160000	1.11831e-05	0.160000	1.42428e-08	
0.180000	7.17903e-06	0.180000	1.11377e-05	0.180000	1.04615e-05	0.180000	1.04615e-05	0.180000	1.11249e-05	0.180000	1.28729e-08	
0.200000	6.98044e-06	0.200000	1.1015e-05	0.200000	1.04495e-05	0.200000	1.04495e-05	0.200000	1.10032e-05	0.200000	1.17568e-08	
0.250000	6.57052e-06	0.250000	1.05529e-05	0.250000	1.0149e-05	0.250000	1.0149e-05	0.250000	1.05432e-05	0.250000	9.69552e-09	
0.300000	6.23574e-06	0.300000	9.99654e-06	0.300000	9.64494e-06	0.300000	9.64494e-06	0.300000	9.98826e-06	0.300000	8.2771e-09	
0.350000	5.94061e-06	0.350000	9.4268e-06	0.350000	9.07758e-06	0.350000	9.07758e-06	0.350000	9.41956e-06	0.350000	7.23779e-09	
0.400000	5.67029e-06	0.400000	8.87925e-06	0.400000	8.51721e-06	0.400000	8.51721e-06	0.400000	8.87281e-06	0.400000	6.44156e-09	
0.450000	5.41926e-06	0.450000	8.36867e-06	0.450000	7.99446e-06	0.450000	7.99446e-06	0.450000	8.36286e-06	0.450000	5.81089e-09	
0.500000	5.18539e-06	0.500000	7.89979e-06	0.500000	7.51971e-06	0.500000	7.51971e-06	0.500000	7.89449e-06	0.500000	5.29828e-09	
0.600000	4.76514e-06	0.600000	7.08423e-06	0.600000	6.71289e-06	0.600000	6.71289e-06	0.600000	7.07972e-06	0.600000	4.51399e-09	
0.700000	4.4023e-06	0.700000	6.41157e-06	0.700000	6.06758e-06	0.700000	6.06758e-06	0.700000	6.40763e-06	0.700000	3.9407e-09	
0.800000	4.08905e-06	0.800000	5.85407e-06	0.800000	5.54553e-06	0.800000	5.54553e-06	0.800000	5.85057e-06	0.800000	3.50236e-09	
0.900000	3.81751e-06	0.900000	5.38734e-06	0.900000	5.11582e-06	0.900000	5.11582e-06	0.900000	5.38419e-06	0.900000	3.15574e-09	
1.000000	3.58066e-06	1.000000	4.99204e-06	1.000000	4.75579e-06	1.000000	4.75579e-06	1.000000	4.98916e-06	1.000000	2.8744e-09	
1.250000	3.10405e-06	1.250000	4.22754e-06	1.250000	4.06495e-06	1.250000	4.06495e-06	1.250000	4.22518e-06	1.250000	2.35754e-09	
1.500000	2.74416e-06	1.500000	3.67552e-06	1.500000	3.56594e-06	1.500000	3.56594e-06	1.500000	3.67352e-06	1.500000	2.00411e-09	
1.750000	2.4623e-06	1.750000	3.25704e-06	1.750000	3.18482e-06	1.750000	3.18482e-06	1.750000	3.2553e-06	1.750000	1.74644e-09	
2.000000	2.23513e-06	2.000000	2.92801e-06	2.000000	2.88224e-06	2.000000	2.88224e-06	2.000000	2.92646e-06	2.000000	1.54983e-09	
2.250000	2.0479e-06	2.250000	2.66201e-06	2.250000	2.63519e-06	2.250000	2.63519e-06	2.250000	2.66062e-06	2.250000	1.39464e-09	
2.500000	1.85911e-06	2.500000	2.44223e-06	2.500000	2.42915e-06	2.500000	2.42915e-06	2.500000	2.44096e-06	2.500000	1.26887e-09	
3.000000	1.62272e-06	3.000000	2.0998e-06	3.000000	2.10428e-06	3.000000	2.10428e-06	3.000000	2.09873e-06	3.000000	1.07714e-09	
3.500000	1.44353e-06	3.500000	1.84494e-06	3.500000	1.85917e-06	3.500000	1.85917e-06	3.500000	1.844e-06 	3.500000	9.3758e-10	
4.000000	1.3026e-06	4.000000	1.64765e-06	4.000000	1.66736e-06	4.000000	1.66736e-06	4.000000	1.64682e-06	4.000000	8.31231e-10	
4.500000	1.18861e-06	4.500000	1.49027e-06	4.500000	1.51302e-06	4.500000	1.51302e-06	4.500000	1.48953e-06	4.500000	7.47378e-10	
5.000000	1.09436e-06	5.000000	1.36171e-06	5.000000	1.38606e-06	5.000000	1.38606e-06	5.000000	1.36103e-06	5.000000	6.79489e-10	
5.500000	1.01502e-06	5.500000	1.25463e-06	5.500000	1.2797e-06	5.500000	1.2797e-06	5.500000	1.25401e-06	5.500000	6.23349e-10	
6.000000	9.47247e-07	6.000000	1.16401e-06	6.000000	1.18924e-06	6.000000	1.18924e-06	6.000000	1.16343e-06	6.000000	5.76116e-10	
6.500000	8.88627e-07	6.500000	1.08626e-06	6.500000	1.11133e-06	6.500000	1.11133e-06	6.500000	1.08573e-06	6.500000	5.35801e-10	
7.000000	8.37389e-07	7.000000	1.0188e-06	7.000000	1.04348e-06	7.000000	1.04348e-06	7.000000	1.01829e-06	7.000000	5.0097e-10	
7.500000	7.92192e-07	7.500000	9.59658e-07	7.500000	9.83823e-07	7.500000	9.83823e-07	7.500000	9.59188e-07	7.500000	4.70562e-10	
8.000000	7.52007e-07	8.000000	9.07372e-07	8.000000	9.30945e-07	8.000000	9.30945e-07	8.000000	9.06928e-07	8.000000	4.43773e-10	
8.500000	7.16027e-07	8.500000	8.6079e-07	8.500000	8.83728e-07	8.500000	8.83728e-07	8.500000	8.6037e-07	8.500000	4.19987e-10	
9.000000	6.83613e-07	9.000000	8.1901e-07	9.000000	8.41294e-07	9.000000	8.41294e-07	9.000000	8.18611e-07	9.000000	3.98718e-10	
9.500000	6.54248e-07	9.500000	7.8131e-07	9.500000	8.02936e-07	9.500000	8.02936e-07	9.500000	7.8093e-07	9.500000	3.79583e-10	
10.000000	6.27514e-07	10.000000	7.24512e-07	10.000000	7.68085e-07	10.000000	7.68085e-07	10.000000	7.24149e-07	10.000000	3.6227e-10	
11.000000	5.80615e-07	11.000000	6.73434e-07	11.000000	7.06419e-07	11.000000	7.06456e-07	11.000000	6.73101e-07	11.000000	3.32153e-10	
12.000000	5.40786e-07	12.000000	6.29538e-07	12.000000	6.5448e-07	12.000000	6.54542e-07	12.000000	6.29231e-07	12.000000	3.0683e-10	
13.000000	5.06514e-07	13.000000	5.91397e-07	13.000000	6.10157e-07	13.000000	6.10226e-07	13.000000	5.91112e-07	13.000000	2.85228e-10	
14.000000	4.76692e-07	14.000000	5.57937e-07	14.000000	5.71901e-07	14.000000	5.71967e-07	14.000000	5.57671e-07	14.000000	2.66575e-10	
15.000000	4.50492e-07	15.000000	5.28338e-07	15.000000	5.38551e-07	15.000000	5.38616e-07	15.000000	5.28087e-07	15.000000	2.50298e-10	
16.000000	4.27281e-07	16.000000	5.01959e-07	16.000000	5.09237e-07	16.000000	5.093e-07 	16.000000	5.01723e-07	16.000000	2.35965e-10	
17.000000	4.06565e-07	17.000000	4.78295e-07	17.000000	4.83287e-07	17.000000	4.83342e-07	17.000000	4.78072e-07	17.000000	2.23244e-10	
18.000000	3.87955e-07	18.000000	4.56943e-07	18.000000	4.60168e-07	18.000000	4.6021e-07	18.000000	4.56731e-07	18.000000	2.11874e-10	
19.000000	3.71141e-07	19.000000	4.37575e-07	19.000000	4.39448e-07	19.000000	4.39479e-07	19.000000	4.37373e-07	19.000000	2.01647e-10	
20.000000	3.5587e-07	20.000000	4.19923e-07	20.000000	4.20775e-07	20.000000	4.20806e-07	20.000000	4.19731e-07	20.000000	1.92398e-10	
21.000000	3.41935e-07	21.000000	4.03766e-07	21.000000	4.03876e-07	21.000000	4.0391e-07	21.000000	4.03582e-07	21.000000	1.83992e-10	
22.000000	3.29164e-07	22.000000	3.88919e-07	22.000000	3.88534e-07	22.000000	3.88559e-07	22.000000	3.88742e-07	22.000000	1.76315e-10	
23.000000	3.17416e-07	23.000000	3.75226e-07	23.000000	3.74555e-07	23.000000	3.74562e-07	23.000000	3.75057e-07	23.000000	1.69278e-10	
24.000000	3.06569e-07	24.000000	3.62557e-07	24.000000	3.61767e-07	24.000000	3.61756e-07	24.000000	3.62394e-07	24.000000	1.62801e-10	
25.000000	2.96522e-07	25.000000	3.50798e-07	25.000000	3.50031e-07	25.000000	3.50005e-07	25.000000	3.50641e-07	25.000000	1.56819e-10	
27.000000	2.78492e-07	27.000000	3.29643e-07	27.000000	3.29281e-07	27.000000	3.29215e-07	27.000000	3.29496e-07	27.000000	1.46129e-10	
