*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.750000	2.20392   	1.750000	0.78704   	1.750000	0.784137  	1.750000	0.784137  	1.750000	0.784137  	1.750000	0.786351  	1.750000	0.000689238	
2.000000	1.99062   	2.000000	0.733458  	2.000000	0.740699  	2.000000	0.740699  	2.000000	0.7407    	2.000000	0.732843  	2.000000	0.0006158 	
2.250000	1.82222   	2.250000	0.688785  	2.250000	0.700926  	2.250000	0.700926  	2.250000	0.700927  	2.250000	0.688227  	2.250000	0.000557348	
2.500000	1.62631   	2.500000	0.650606  	2.500000	0.664713  	2.500000	0.664713  	2.500000	0.664713  	2.500000	0.650096  	2.500000	0.00050964	
3.000000	1.42898   	3.000000	0.588069  	3.000000	0.60201   	3.000000	0.60201   	3.000000	0.60201   	3.000000	0.587633  	3.000000	0.000436275	
3.500000	1.27691   	3.500000	0.53844   	3.500000	0.550341  	3.500000	0.550341  	3.500000	0.550341  	3.500000	0.538058  	3.500000	0.000382338	
4.000000	1.15594   	4.000000	0.497827  	4.000000	0.507483  	4.000000	0.507483  	4.000000	0.507483  	4.000000	0.497486  	4.000000	0.000340904	
4.500000	1.05728   	4.500000	0.463894  	4.500000	0.471574  	4.500000	0.471574  	4.500000	0.471574  	4.500000	0.463586  	4.500000	0.000308011	
5.000000	0.975177  	5.000000	0.43509   	5.000000	0.441146  	5.000000	0.441146  	5.000000	0.441146  	5.000000	0.434809  	5.000000	0.000281223	
5.500000	0.905732  	5.500000	0.410319  	5.500000	0.415071  	5.500000	0.415071  	5.500000	0.415071  	5.500000	0.41006   	5.500000	0.000258958	
6.000000	0.846179  	6.000000	0.388775  	6.000000	0.392485  	6.000000	0.392485  	6.000000	0.392486  	6.000000	0.388535  	6.000000	0.00024014	
6.500000	0.794512  	6.500000	0.369851  	6.500000	0.372727  	6.500000	0.372727  	6.500000	0.372727  	6.500000	0.369627  	6.500000	0.000224013	
7.000000	0.749237  	7.000000	0.35308   	7.000000	0.355284  	7.000000	0.355284  	7.000000	0.355285  	7.000000	0.35287   	7.000000	0.000210029	
7.500000	0.709217  	7.500000	0.338102  	7.500000	0.33976   	7.500000	0.33976   	7.500000	0.33976   	7.500000	0.337904  	7.500000	0.000197779	
8.000000	0.673572  	8.000000	0.324629  	8.000000	0.325841  	8.000000	0.325841  	8.000000	0.325841  	8.000000	0.324442  	8.000000	0.000186954	
8.500000	0.641611  	8.500000	0.312435  	8.500000	0.313278  	8.500000	0.313278  	8.500000	0.313278  	8.500000	0.312257  	8.500000	0.000177315	
9.000000	0.61278   	9.000000	0.301335  	9.000000	0.301871  	9.000000	0.301871  	9.000000	0.301871  	9.000000	0.301166  	9.000000	0.000168674	
9.500000	0.586634  	9.500000	0.291179  	9.500000	0.291458  	9.500000	0.291458  	9.500000	0.291458  	9.500000	0.291019  	9.500000	0.000160881	
10.000000	0.562808  	10.000000	0.282743  	10.000000	0.281907  	10.000000	0.281907  	10.000000	0.281907  	10.000000	0.282589  	10.000000	0.000153813	
11.000000	0.520962  	11.000000	0.267434  	11.000000	0.265111  	11.000000	0.265184  	11.000000	0.265111  	11.000000	0.267292  	11.000000	0.000141481	
12.000000	0.48538   	12.000000	0.253612  	12.000000	0.250447  	12.000000	0.250566  	12.000000	0.25045   	12.000000	0.253481  	12.000000	0.000131072	
13.000000	0.454733  	13.000000	0.24113   	13.000000	0.237493  	13.000000	0.237639  	13.000000	0.237498  	13.000000	0.241008  	13.000000	0.000122162	
14.000000	0.428044  	14.000000	0.229834  	14.000000	0.225946  	14.000000	0.226103  	14.000000	0.225948  	14.000000	0.22972   	14.000000	0.000114444	
15.000000	0.404582  	15.000000	0.219582  	15.000000	0.215573  	15.000000	0.21573   	15.000000	0.215569  	15.000000	0.219475  	15.000000	0.000107691	
16.000000	0.383785  	16.000000	0.210248  	16.000000	0.206186  	16.000000	0.206341  	16.000000	0.206181  	16.000000	0.210146  	16.000000	0.000101728	
17.000000	0.365216  	17.000000	0.201719  	17.000000	0.197646  	17.000000	0.197798  	17.000000	0.197642  	17.000000	0.201623  	17.000000	9.64234e-05	
18.000000	0.348529  	18.000000	0.193901  	18.000000	0.189839  	18.000000	0.189981  	18.000000	0.189833  	18.000000	0.193809  	18.000000	9.16714e-05	
19.000000	0.333448  	19.000000	0.186711  	19.000000	0.182665  	19.000000	0.182794  	19.000000	0.182656  	19.000000	0.186624  	19.000000	8.73885e-05	
20.000000	0.319747  	20.000000	0.180078  	20.000000	0.176035  	20.000000	0.176159  	20.000000	0.176032  	20.000000	0.179994  	20.000000	8.35076e-05	
21.000000	0.307243  	21.000000	0.173941  	21.000000	0.169889  	21.000000	0.170009  	21.000000	0.169894  	21.000000	0.173861  	21.000000	7.99735e-05	
22.000000	0.295781  	22.000000	0.168247  	22.000000	0.164183  	22.000000	0.164288  	22.000000	0.164186  	22.000000	0.16817   	22.000000	7.67411e-05	
23.000000	0.285234  	23.000000	0.16295   	23.000000	0.158865  	23.000000	0.15895   	23.000000	0.158861  	23.000000	0.162876  	23.000000	7.37726e-05	
24.000000	0.275496  	24.000000	0.15801   	24.000000	0.153884  	24.000000	0.153952  	24.000000	0.153877  	24.000000	0.157939  	24.000000	7.10365e-05	
25.000000	0.266475  	25.000000	0.153393  	25.000000	0.149202  	25.000000	0.149262  	25.000000	0.1492    	25.000000	0.153325  	25.000000	6.85061e-05	
27.000000	0.250284  	27.000000	0.145008  	27.000000	0.140642  	27.000000	0.140684  	27.000000	0.140649  	27.000000	0.144944  	27.000000	6.39744e-05	
29.000000	0.236158  	29.000000	0.137591  	29.000000	0.132974  	29.000000	0.132992  	29.000000	0.132984  	29.000000	0.137531  	29.000000	6.00317e-05	
31.000000	0.22372   	31.000000	0.130984  	31.000000	0.12646   	31.000000	0.126455  	31.000000	0.126472  	31.000000	0.130927  	31.000000	5.65684e-05	
33.000000	0.212679  	33.000000	0.125059  	33.000000	0.120953  	33.000000	0.120928  	33.000000	0.120966  	33.000000	0.125006  	33.000000	5.35009e-05	
