*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	7.68949   	4.000000	2.96297   	4.000000	2.94839   	4.000000	2.94839   	4.000000	2.96079   	4.000000	0.00218478	
4.500000	7.13858   	4.500000	2.8258    	4.500000	2.81961   	4.500000	2.81961   	4.500000	2.82383   	4.500000	0.00197817	
5.000000	6.66523   	5.000000	2.70228   	5.000000	2.70116   	5.000000	2.70116   	5.000000	2.70047   	5.000000	0.00180946	
5.500000	6.25413   	5.500000	2.59028   	5.500000	2.59223   	5.500000	2.59223   	5.500000	2.58861   	5.500000	0.00166889	
6.000000	5.89371   	6.000000	2.48819   	6.000000	2.49194   	6.000000	2.49194   	6.000000	2.48664   	6.000000	0.00154984	
6.500000	5.57507   	6.500000	2.39462   	6.500000	2.39945   	6.500000	2.39945   	6.500000	2.39318   	6.500000	0.00144763	
7.000000	5.29128   	7.000000	2.30857   	7.000000	2.31396   	7.000000	2.31396   	7.000000	2.30721   	7.000000	0.00135885	
7.500000	5.03686   	7.500000	2.2292    	7.500000	2.23476   	7.500000	2.23476   	7.500000	2.22792   	7.500000	0.00128096	
8.000000	4.80742   	8.000000	2.15575   	8.000000	2.1612    	8.000000	2.1612    	8.000000	2.15453   	8.000000	0.00121204	
8.500000	4.59942   	8.500000	2.08755   	8.500000	2.09272   	8.500000	2.09272   	8.500000	2.0864    	8.500000	0.00115059	
9.000000	4.40995   	9.000000	2.02405   	9.000000	2.02883   	9.000000	2.02883   	9.000000	2.02295   	9.000000	0.00109544	
9.500000	4.2366    	9.500000	1.96476   	9.500000	1.96908   	9.500000	1.96908   	9.500000	1.96372   	9.500000	0.00104564	
10.000000	4.07737   	10.000000	1.91562   	10.000000	1.91309   	10.000000	1.91309   	10.000000	1.91462   	10.000000	0.00100045	
11.000000	3.79481   	11.000000	1.83051   	11.000000	1.81425   	11.000000	1.82019   	11.000000	1.82959   	11.000000	0.000921461	
12.000000	3.55165   	12.000000	1.75018   	12.000000	1.72455   	12.000000	1.73461   	12.000000	1.74933   	12.000000	0.000854686	
13.000000	3.34008   	13.000000	1.67516   	13.000000	1.64295   	13.000000	1.65582   	13.000000	1.67436   	13.000000	0.000797443	
14.000000	3.15424   	14.000000	1.60546   	14.000000	1.56853   	14.000000	1.58334   	14.000000	1.60472   	14.000000	0.000747793	
15.000000	2.98965   	15.000000	1.54086   	15.000000	1.50051   	15.000000	1.51665   	15.000000	1.54016   	15.000000	0.000704291	
16.000000	2.8428    	16.000000	1.48102   	16.000000	1.43827   	16.000000	1.45523   	16.000000	1.48035   	16.000000	0.000665843	
17.000000	2.71095   	17.000000	1.42556   	17.000000	1.38123   	17.000000	1.39859   	17.000000	1.42493   	17.000000	0.000631601	
18.000000	2.59187   	18.000000	1.37411   	18.000000	1.32872   	18.000000	1.34625   	18.000000	1.37351   	18.000000	0.000600897	
19.000000	2.48376   	19.000000	1.32631   	19.000000	1.28032   	19.000000	1.2979    	19.000000	1.32574   	19.000000	0.0005732 	
20.000000	2.38516   	20.000000	1.28183   	20.000000	1.23556   	20.000000	1.25306   	20.000000	1.28129   	20.000000	0.000548082	
21.000000	2.29484   	21.000000	1.24037   	21.000000	1.19408   	21.000000	1.21138   	21.000000	1.23985   	21.000000	0.000525191	
22.000000	2.21179   	22.000000	1.20165   	22.000000	1.15555   	22.000000	1.17255   	22.000000	1.20115   	22.000000	0.000504239	
23.000000	2.13516   	23.000000	1.16543   	23.000000	1.11967   	23.000000	1.1363    	23.000000	1.16494   	23.000000	0.000484984	
24.000000	2.0642    	24.000000	1.13148   	24.000000	1.08619   	24.000000	1.10239   	24.000000	1.13101   	24.000000	0.000467225	
25.000000	1.99832   	25.000000	1.09961   	25.000000	1.05488   	25.000000	1.0706    	25.000000	1.09916   	25.000000	0.000450791	
27.000000	1.87969   	27.000000	1.0414    	27.000000	0.997954  	27.000000	1.01267   	27.000000	1.04098   	27.000000	0.000421335	
