*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
17883.895773	1.46264e+07	1.74714e+07	2.35898e+07	2.3682e+07	39927.2   	101597    	16461     	17436.2   	25641.1   
17977.528730	1.46628e+07	1.75322e+07	2.37073e+07	2.37998e+07	40028.1   	102273    	16511.9   	17489.8   	25722.7   
18071.161687	1.46975e+07	1.75913e+07	2.38243e+07	2.39172e+07	40126.5   	102959    	16562.2   	17542.5   	25803     
18164.794644	1.47316e+07	1.76499e+07	2.39411e+07	2.40345e+07	40224     	103648    	16612.4   	17594.9   	25882.9   
18258.427601	1.47657e+07	1.77085e+07	2.4058e+07	2.41517e+07	40321.6   	104337    	16662.5   	17647.3   	25962.8   
18352.060558	1.47998e+07	1.77671e+07	2.41748e+07	2.4269e+07	40419.1   	105026    	16712.6   	17699.7   	26042.7   
18445.693515	1.48339e+07	1.78257e+07	2.42917e+07	2.43862e+07	40516.7   	105715    	16762.7   	17752.2   	26122.5   
18539.326472	1.48681e+07	1.78843e+07	2.44086e+07	2.45035e+07	40614.2   	106404    	16812.8   	17804.6   	26202.4   
18632.959429	1.49022e+07	1.79429e+07	2.45254e+07	2.46207e+07	40711.7   	107093    	16862.9   	17857     	26282.3   
18726.592386	1.49363e+07	1.80014e+07	2.46423e+07	2.4738e+07	40809.3   	107781    	16913     	17909.4   	26362.2   
18820.225343	1.49704e+07	1.806e+07 	2.47591e+07	2.48552e+07	40906.8   	108470    	16963.1   	17961.8   	26442     
18913.858300	1.50045e+07	1.81186e+07	2.4876e+07	2.49725e+07	41004.4   	109159    	17013.2   	18014.2   	26521.9   
19007.491257	1.50385e+07	1.8177e+07	2.49928e+07	2.50897e+07	41101.7   	109849    	17063.3   	18066.6   	26601.7   
19101.124213	1.50705e+07	1.82336e+07	2.51091e+07	2.52063e+07	41196.1   	110549    	17112.6   	18117.9   	26679.9   
19194.757170	1.51026e+07	1.82902e+07	2.52254e+07	2.5323e+07	41290.5   	111249    	17162     	18169.2   	26758.2   
19288.390127	1.51346e+07	1.83467e+07	2.53417e+07	2.54397e+07	41385     	111950    	17211.4   	18220.6   	26836.5   
19382.023084	1.51667e+07	1.84033e+07	2.5458e+07	2.55564e+07	41479.4   	112650    	17260.7   	18271.9   	26914.8   
19475.656041	1.51987e+07	1.84599e+07	2.55743e+07	2.56731e+07	41573.8   	113350    	17310.1   	18323.2   	26993.1   
19569.288998	1.52308e+07	1.85164e+07	2.56906e+07	2.57897e+07	41668.3   	114051    	17359.4   	18374.6   	27071.3   
19662.921955	1.52628e+07	1.8573e+07	2.58068e+07	2.59064e+07	41762.7   	114751    	17408.8   	18425.9   	27149.6   
19756.554912	1.52949e+07	1.86295e+07	2.59231e+07	2.60231e+07	41857.1   	115451    	17458.1   	18477.3   	27227.9   
19850.187869	1.53269e+07	1.86861e+07	2.60394e+07	2.61398e+07	41951.6   	116152    	17507.5   	18528.6   	27306.2   
19943.820826	1.5359e+07	1.87427e+07	2.61557e+07	2.62565e+07	42046     	116852    	17556.8   	18579.9   	27384.5   
20037.453783	1.53903e+07	1.87985e+07	2.62718e+07	2.63729e+07	42139.3   	117557    	17605.9   	18630.9   	27462.2   
20131.086740	1.54204e+07	1.88531e+07	2.63876e+07	2.64891e+07	42230.9   	118268    	17654.6   	18681.2   	27539     
20224.719697	1.54506e+07	1.89078e+07	2.65033e+07	2.66052e+07	42322.4   	118979    	17703.2   	18731.6   	27615.9   
20318.352654	1.54808e+07	1.89625e+07	2.66191e+07	2.67214e+07	42414     	119691    	17751.9   	18782     	27692.7   
20411.985610	1.55109e+07	1.90172e+07	2.67349e+07	2.68375e+07	42505.6   	120402    	17800.6   	18832.3   	27769.6   
20505.618567	1.55411e+07	1.90718e+07	2.68506e+07	2.69537e+07	42597.2   	121113    	17849.2   	18882.7   	27846.4   
20599.251524	1.55713e+07	1.91265e+07	2.69664e+07	2.70698e+07	42688.8   	121825    	17897.9   	18933.1   	27923.2   
20692.884481	1.56014e+07	1.91812e+07	2.70822e+07	2.71859e+07	42780.4   	122536    	17946.6   	18983.4   	28000.1   
20786.517438	1.56316e+07	1.92359e+07	2.71979e+07	2.73021e+07	42872     	123247    	17995.2   	19033.8   	28076.9   
20880.150395	1.56618e+07	1.92905e+07	2.73137e+07	2.74182e+07	42963.5   	123959    	18043.9   	19084.2   	28153.8   
20973.783352	1.56919e+07	1.93452e+07	2.74295e+07	2.75344e+07	43055.1   	124670    	18092.6   	19134.5   	28230.6   
21067.416309	1.57208e+07	1.93986e+07	2.75449e+07	2.76502e+07	43144.8   	125390    	18140.8   	19184.3   	28306.5   
21161.049266	1.57493e+07	1.94515e+07	2.76601e+07	2.77658e+07	43233.8   	126113    	18188.8   	19233.8   	28382.1   
21254.682223	1.57777e+07	1.95044e+07	2.77754e+07	2.78815e+07	43322.8   	126835    	18236.9   	19283.2   	28457.6   
21348.315180	1.58062e+07	1.95573e+07	2.78907e+07	2.79971e+07	43411.8   	127558    	18284.9   	19332.7   	28533.2   
21441.948137	1.58346e+07	1.96103e+07	2.8006e+07	2.81127e+07	43500.7   	128281    	18332.9   	19382.2   	28608.7   
21535.581094	1.5863e+07	1.96632e+07	2.81212e+07	2.82284e+07	43589.7   	129004    	18381     	19431.7   	28684.3   
21629.214051	1.58915e+07	1.97161e+07	2.82365e+07	2.8344e+07	43678.7   	129727    	18429     	19481.2   	28759.8   
21722.847007	1.59199e+07	1.9769e+07	2.83518e+07	2.84597e+07	43767.7   	130449    	18477.1   	19530.7   	28835.4   
21816.479964	1.59484e+07	1.98219e+07	2.8467e+07	2.85753e+07	43856.6   	131172    	18525.1   	19580.2   	28910.9   
21910.112921	1.59768e+07	1.98748e+07	2.85823e+07	2.8691e+07	43945.6   	131895    	18573.2   	19629.7   	28986.5   
22003.745878	1.60052e+07	1.99277e+07	2.86976e+07	2.88066e+07	44034.5   	132618    	18621.2   	19679.1   	29062     
22097.378835	1.6032e+07	1.99789e+07	2.88124e+07	2.89218e+07	44121.1   	133353    	18668.7   	19727.8   	29136.4   
22191.011792	1.60589e+07	2.00302e+07	2.89272e+07	2.90369e+07	44207.6   	134087    	18716.1   	19776.5   	29210.8   
22284.644749	1.60858e+07	2.00814e+07	2.9042e+07	2.91521e+07	44294.2   	134822    	18763.6   	19825.2   	29285.1   
22378.277706	1.61126e+07	2.01327e+07	2.91568e+07	2.92673e+07	44380.7   	135556    	18811.1   	19873.9   	29359.5   
22471.910663	1.61395e+07	2.0184e+07	2.92716e+07	2.93824e+07	44467.3   	136290    	18858.6   	19922.6   	29433.9   
22565.543620	1.61663e+07	2.02352e+07	2.93864e+07	2.94976e+07	44553.9   	137025    	18906     	19971.3   	29508.3   
22659.176577	1.61932e+07	2.02865e+07	2.95012e+07	2.96128e+07	44640.4   	137759    	18953.5   	20020     	29582.7   
22752.809534	1.622e+07 	2.03377e+07	2.9616e+07	2.97279e+07	44727     	138494    	19001     	20068.7   	29657     
22846.442491	1.62469e+07	2.0389e+07	2.97308e+07	2.98431e+07	44813.6   	139228    	19048.5   	20117.4   	29731.4   
22940.075448	1.62738e+07	2.04403e+07	2.98456e+07	2.99583e+07	44900.1   	139962    	19095.9   	20166.1   	29805.8   
23033.708404	1.63001e+07	2.0491e+07	2.99603e+07	3.00733e+07	44985.9   	140701    	19143.2   	20214.6   	29879.8   
23127.341361	1.63255e+07	2.05407e+07	3.00746e+07	3.0188e+07	45070.2   	141446    	19190.2   	20262.5   	29953.1   
23220.974318	1.63509e+07	2.05904e+07	3.0189e+07	3.03027e+07	45154.5   	142192    	19237.1   	20310.5   	30026.4   
23314.607275	1.63763e+07	2.06401e+07	3.03033e+07	3.04174e+07	45238.9   	142937    	19284.1   	20358.5   	30099.7   
23408.240232	1.64017e+07	2.06898e+07	3.04177e+07	3.05322e+07	45323.2   	143682    	19331     	20406.4   	30173     
23501.873189	1.64271e+07	2.07395e+07	3.05321e+07	3.06469e+07	45407.5   	144428    	19378     	20454.4   	30246.3   
23595.506146	1.64525e+07	2.07892e+07	3.06464e+07	3.07616e+07	45491.8   	145173    	19424.9   	20502.4   	30319.6   
23689.139103	1.64779e+07	2.08389e+07	3.07608e+07	3.08763e+07	45576.2   	145918    	19471.8   	20550.4   	30392.9   
23782.772060	1.65033e+07	2.08887e+07	3.08751e+07	3.0991e+07	45660.5   	146664    	19518.8   	20598.3   	30466.2   
23876.405017	1.65288e+07	2.09384e+07	3.09895e+07	3.11057e+07	45744.8   	147409    	19565.7   	20646.3   	30539.5   
23970.037974	1.65542e+07	2.09881e+07	3.11039e+07	3.12205e+07	45829.1   	148154    	19612.7   	20694.3   	30612.8   
24063.670931	1.65787e+07	2.10368e+07	3.12179e+07	3.13349e+07	45912     	148907    	19659.3   	20741.8   	30685.5   
24157.303888	1.66027e+07	2.10851e+07	3.13319e+07	3.14492e+07	45994.3   	149663    	19705.7   	20789.1   	30757.8   
24250.936845	1.66268e+07	2.11333e+07	3.14458e+07	3.15635e+07	46076.5   	150419    	19752.2   	20836.4   	30830.1   
24344.569801	1.66509e+07	2.11816e+07	3.15597e+07	3.16778e+07	46158.7   	151175    	19798.7   	20883.7   	30902.5   
24438.202758	1.66749e+07	2.12298e+07	3.16737e+07	3.17921e+07	46241     	151932    	19845.1   	20931     	30974.8   
24531.835715	1.6699e+07	2.12781e+07	3.17876e+07	3.19064e+07	46323.2   	152688    	19891.6   	20978.3   	31047.1   
24625.468672	1.67231e+07	2.13264e+07	3.19015e+07	3.20206e+07	46405.5   	153444    	19938     	21025.6   	31119.4   
24719.101629	1.67471e+07	2.13746e+07	3.20155e+07	3.21349e+07	46487.7   	154200    	19984.5   	21072.9   	31191.8   
24812.734586	1.67712e+07	2.14229e+07	3.21294e+07	3.22492e+07	46569.9   	154956    	20030.9   	21120.2   	31264.1   
24906.367543	1.67953e+07	2.14711e+07	3.22434e+07	3.23635e+07	46652.2   	155712    	20077.4   	21167.5   	31336.4   
25000.000500	1.68193e+07	2.15194e+07	3.23573e+07	3.24778e+07	46734.4   	156468    	20123.8   	21214.8   	31408.7   
25093.633457	1.68422e+07	2.15663e+07	3.24708e+07	3.25917e+07	46814.7   	157235    	20169.8   	21261.5   	31480.2   
25187.266414	1.6865e+07	2.16132e+07	3.25844e+07	3.27056e+07	46895     	158002    	20215.8   	21308.2   	31551.6   
25280.899371	1.68878e+07	2.166e+07 	3.26979e+07	3.28195e+07	46975.3   	158769    	20261.8   	21354.9   	31623     
25374.532328	1.69106e+07	2.17069e+07	3.28114e+07	3.29333e+07	47055.6   	159536    	20307.8   	21401.6   	31694.4   
25468.165285	1.69335e+07	2.17538e+07	3.2925e+07	3.30472e+07	47135.9   	160303    	20353.8   	21448.3   	31765.8   
25561.798242	1.69563e+07	2.18007e+07	3.30385e+07	3.31611e+07	47216.2   	161069    	20399.8   	21495     	31837.2   
25655.431199	1.69791e+07	2.18476e+07	3.31521e+07	3.3275e+07	47296.5   	161836    	20445.8   	21541.6   	31908.7   
25749.064155	1.7002e+07	2.18945e+07	3.32656e+07	3.33889e+07	47376.8   	162603    	20491.8   	21588.3   	31980.1   
25842.697112	1.70248e+07	2.19414e+07	3.33791e+07	3.35028e+07	47457.1   	163370    	20537.8   	21635     	32051.5   
25936.330069	1.70476e+07	2.19883e+07	3.34927e+07	3.36166e+07	47537.4   	164137    	20583.7   	21681.7   	32122.9   
26029.963026	1.70701e+07	2.20347e+07	3.36061e+07	3.37304e+07	47617.1   	164907    	20629.6   	21728.2   	32194.1   
26123.595983	1.70918e+07	2.20803e+07	3.37192e+07	3.38439e+07	47695.6   	165684    	20675.2   	21774.3   	32264.7   
26217.228940	1.71135e+07	2.21259e+07	3.38324e+07	3.39574e+07	47774.1   	166461    	20720.7   	21820.4   	32335.2   
26310.861897	1.71352e+07	2.21715e+07	3.39456e+07	3.40709e+07	47852.6   	167239    	20766.3   	21866.6   	32405.8   
26404.494854	1.71568e+07	2.22171e+07	3.40587e+07	3.41844e+07	47931     	168016    	20811.8   	21912.7   	32476.4   
26498.127811	1.71785e+07	2.22627e+07	3.41719e+07	3.42979e+07	48009.5   	168793    	20857.4   	21958.8   	32547     
26591.760768	1.72002e+07	2.23083e+07	3.4285e+07	3.44114e+07	48088     	169570    	20902.9   	22004.9   	32617.6   
26685.393725	1.72219e+07	2.23539e+07	3.43982e+07	3.45249e+07	48166.5   	170348    	20948.5   	22051     	32688.2   
26779.026682	1.72436e+07	2.23995e+07	3.45113e+07	3.46384e+07	48245     	171125    	20994     	22097.2   	32758.8   
26872.659639	1.72653e+07	2.24451e+07	3.46245e+07	3.47519e+07	48323.5   	171902    	21039.6   	22143.3   	32829.3   
26966.292596	1.7287e+07	2.24907e+07	3.47377e+07	3.48654e+07	48401.9   	172679    	21085.2   	22189.4   	32899.9   
27059.925552	1.7308e+07	2.25355e+07	3.48506e+07	3.49786e+07	48479.3   	173463    	21130.4   	22235.2   	32970     
27153.558509	1.73286e+07	2.25799e+07	3.49634e+07	3.50918e+07	48556.1   	174250    	21175.6   	22280.8   	33039.8   
27247.191466	1.73492e+07	2.26242e+07	3.50762e+07	3.52049e+07	48632.9   	175038    	21220.7   	22326.3   	33109.6   
27340.824423	1.73699e+07	2.26686e+07	3.5189e+07	3.5318e+07	48709.7   	175825    	21265.9   	22371.9   	33179.4   
27434.457380	1.73905e+07	2.2713e+07	3.53018e+07	3.54311e+07	48786.5   	176612    	21311     	22417.5   	33249.2   
27528.090337	1.74111e+07	2.27574e+07	3.54146e+07	3.55443e+07	48863.2   	177399    	21356.2   	22463.1   	33319     
27621.723294	1.74317e+07	2.28017e+07	3.55274e+07	3.56574e+07	48940     	178187    	21401.3   	22508.7   	33388.8   
27715.356251	1.74524e+07	2.28461e+07	3.56401e+07	3.57705e+07	49016.8   	178974    	21446.4   	22554.3   	33458.7   
27808.989208	1.7473e+07	2.28905e+07	3.57529e+07	3.58836e+07	49093.6   	179761    	21491.6   	22599.9   	33528.5   
27902.622165	1.74936e+07	2.29348e+07	3.58657e+07	3.59968e+07	49170.4   	180549    	21536.7   	22645.4   	33598.3   
27996.255122	1.75142e+07	2.29792e+07	3.59785e+07	3.61099e+07	49247.1   	181336    	21581.9   	22691     	33668.1   
28089.888079	1.75339e+07	2.30225e+07	3.6091e+07	3.62227e+07	49322.4   	182133    	21626.6   	22736.1   	33737.2   
28183.521036	1.75536e+07	2.30657e+07	3.62034e+07	3.63355e+07	49397.6   	182930    	21671.4   	22781.2   	33806.3   
28277.153993	1.75732e+07	2.31089e+07	3.63159e+07	3.64482e+07	49472.7   	183727    	21716.1   	22826.3   	33875.3   
28370.786949	1.75928e+07	2.31521e+07	3.64283e+07	3.6561e+07	49547.9   	184524    	21760.9   	22871.4   	33944.4   
28464.419906	1.76125e+07	2.31954e+07	3.65408e+07	3.66738e+07	49623.1   	185322    	21805.6   	22916.5   	34013.5   
28558.052863	1.76321e+07	2.32386e+07	3.66532e+07	3.67866e+07	49698.3   	186119    	21850.3   	22961.6   	34082.6   
28651.685820	1.76518e+07	2.32818e+07	3.67657e+07	3.68993e+07	49773.5   	186916    	21895.1   	23006.7   	34151.7   
28745.318777	1.76714e+07	2.3325e+07	3.68781e+07	3.70121e+07	49848.6   	187713    	21939.8   	23051.8   	34220.8   
28838.951734	1.76911e+07	2.33682e+07	3.69906e+07	3.71249e+07	49923.8   	188510    	21984.6   	23096.9   	34289.8   
28932.584691	1.77107e+07	2.34114e+07	3.7103e+07	3.72376e+07	49999     	189308    	22029.3   	23141.9   	34358.9   
29026.217648	1.77301e+07	2.34544e+07	3.72154e+07	3.73503e+07	50073.8   	190108    	22074     	23186.9   	34427.8   
29119.850605	1.77488e+07	2.34965e+07	3.73275e+07	3.74628e+07	50147.4   	190915    	22118.3   	23231.5   	34496.2   
29213.483562	1.77675e+07	2.35386e+07	3.74396e+07	3.75752e+07	50221.1   	191722    	22162.7   	23276.1   	34564.6   
29307.116519	1.77862e+07	2.35807e+07	3.75517e+07	3.76876e+07	50294.8   	192528    	22207.1   	23320.8   	34633     
29400.749476	1.7805e+07	2.36228e+07	3.76639e+07	3.78001e+07	50368.4   	193335    	22251.4   	23365.4   	34701.4   
29494.382433	1.78237e+07	2.3665e+07	3.7776e+07	3.79125e+07	50442.1   	194142    	22295.8   	23410     	34769.8   
29588.015390	1.78424e+07	2.37071e+07	3.78881e+07	3.80249e+07	50515.8   	194949    	22340.2   	23454.6   	34838.2   
29681.648346	1.78611e+07	2.37492e+07	3.80002e+07	3.81374e+07	50589.5   	195756    	22384.5   	23499.2   	34906.6   
29775.281303	1.78799e+07	2.37913e+07	3.81123e+07	3.82498e+07	50663.1   	196563    	22428.9   	23543.9   	34975     
29868.914260	1.78986e+07	2.38335e+07	3.82244e+07	3.83622e+07	50736.8   	197370    	22473.2   	23588.5   	35043.4   
29962.547217	1.79173e+07	2.38756e+07	3.83366e+07	3.84747e+07	50810.5   	198177    	22517.6   	23633.1   	35111.8   
30056.180174	1.79353e+07	2.39168e+07	3.84484e+07	3.85868e+07	50882.9   	198993    	22561.6   	23677.3   	35179.7   
30149.813131	1.79528e+07	2.39574e+07	3.856e+07 	3.86988e+07	50954.5   	199814    	22605.5   	23721.3   	35247.1   
30243.446088	1.79702e+07	2.3998e+07	3.86717e+07	3.88107e+07	51026     	200635    	22649.3   	23765.3   	35314.6   
30337.079045	1.79877e+07	2.40385e+07	3.87833e+07	3.89227e+07	51097.6   	201456    	22693.1   	23809.2   	35382     
30430.712002	1.80052e+07	2.40791e+07	3.8895e+07	3.90346e+07	51169.2   	202277    	22736.9   	23853.2   	35449.5   
30524.344959	1.80226e+07	2.41197e+07	3.90066e+07	3.91466e+07	51240.8   	203098    	22780.7   	23897.2   	35516.9   
30617.977916	1.80401e+07	2.41603e+07	3.91183e+07	3.92585e+07	51312.3   	203920    	22824.6   	23941.2   	35584.4   
30711.610873	1.80576e+07	2.42009e+07	3.92299e+07	3.93705e+07	51383.9   	204741    	22868.4   	23985.1   	35651.9   
30805.243830	1.8075e+07	2.42415e+07	3.93416e+07	3.94824e+07	51455.5   	205562    	22912.2   	24029.1   	35719.3   
30898.876787	1.80925e+07	2.42821e+07	3.94532e+07	3.95944e+07	51527     	206383    	22956     	24073.1   	35786.8   
30992.509743	1.811e+07 	2.43227e+07	3.95649e+07	3.97063e+07	51598.6   	207204    	22999.8   	24117     	35854.2   
31086.142700	1.81274e+07	2.43633e+07	3.96765e+07	3.98183e+07	51670.2   	208025    	23043.7   	24161     	35921.7   
31179.775657	1.81449e+07	2.44038e+07	3.97881e+07	3.99302e+07	51741.8   	208847    	23087.5   	24205     	35989.1   
31273.408614	1.81624e+07	2.44444e+07	3.98998e+07	4.00422e+07	51813.3   	209668    	23131.3   	24248.9   	36056.6   
31367.041571	1.81799e+07	2.4485e+07	4.00114e+07	4.01541e+07	51884.9   	210489    	23175.1   	24292.9   	36124.1   
31460.674528	1.81973e+07	2.45256e+07	4.01231e+07	4.02661e+07	51956.5   	211310    	23218.9   	24336.9   	36191.5   
31554.307485	1.82148e+07	2.45662e+07	4.02347e+07	4.0378e+07	52028.1   	212131    	23262.7   	24380.8   	36259     
31647.940442	1.82323e+07	2.46068e+07	4.03464e+07	4.049e+07 	52099.6   	212952    	23306.6   	24424.8   	36326.4   
31741.573399	1.82497e+07	2.46474e+07	4.0458e+07	4.06019e+07	52171.2   	213774    	23350.4   	24468.8   	36393.9   
31835.206356	1.82672e+07	2.4688e+07	4.05697e+07	4.07139e+07	52242.8   	214595    	23394.2   	24512.8   	36461.3   
31928.839313	1.82847e+07	2.47286e+07	4.06813e+07	4.08258e+07	52314.3   	215416    	23438     	24556.7   	36528.8   
32022.472270	1.83018e+07	2.47687e+07	4.07928e+07	4.09377e+07	52385.3   	216241    	23481.7   	24600.5   	36596     
32116.105227	1.83177e+07	2.48074e+07	4.09039e+07	4.1049e+07	52454.3   	217081    	23524.8   	24643.7   	36662.3   
32209.738184	1.83337e+07	2.48461e+07	4.10149e+07	4.11604e+07	52523.3   	217920    	23567.9   	24686.9   	36728.6   
32303.371140	1.83497e+07	2.48848e+07	4.1126e+07	4.12717e+07	52592.3   	218759    	23611.1   	24730     	36794.9   
32397.004097	1.83657e+07	2.49235e+07	4.12371e+07	4.13831e+07	52661.3   	219599    	23654.2   	24773.2   	36861.2   
32490.637054	1.83816e+07	2.49622e+07	4.13481e+07	4.14944e+07	52730.4   	220438    	23697.3   	24816.4   	36927.5   
32584.270011	1.83976e+07	2.50009e+07	4.14592e+07	4.16058e+07	52799.4   	221277    	23740.4   	24859.5   	36993.8   
32677.902968	1.84136e+07	2.50396e+07	4.15702e+07	4.17171e+07	52868.4   	222117    	23783.6   	24902.7   	37060.1   
32771.535925	1.84296e+07	2.50783e+07	4.16813e+07	4.18285e+07	52937.4   	222956    	23826.7   	24945.9   	37126.4   
32865.168882	1.84455e+07	2.5117e+07	4.17924e+07	4.19398e+07	53006.4   	223796    	23869.8   	24989.1   	37192.8   
32958.801839	1.84615e+07	2.51557e+07	4.19034e+07	4.20512e+07	53075.4   	224635    	23912.9   	25032.2   	37259.1   
33052.434796	1.84775e+07	2.51945e+07	4.20145e+07	4.21625e+07	53144.4   	225474    	23956.1   	25075.4   	37325.4   
33146.067753	1.84934e+07	2.52332e+07	4.21255e+07	4.22739e+07	53213.4   	226314    	23999.2   	25118.6   	37391.7   
33239.700710	1.85094e+07	2.52719e+07	4.22366e+07	4.23852e+07	53282.4   	227153    	24042.3   	25161.7   	37458     
33333.333667	1.85254e+07	2.53106e+07	4.23477e+07	4.24966e+07	53351.5   	227992    	24085.5   	25204.9   	37524.3   
33426.966624	1.85414e+07	2.53493e+07	4.24587e+07	4.26079e+07	53420.5   	228832    	24128.6   	25248.1   	37590.6   
33520.599581	1.85573e+07	2.5388e+07	4.25698e+07	4.27193e+07	53489.5   	229671    	24171.7   	25291.3   	37656.9   
33614.232537	1.85733e+07	2.54267e+07	4.26808e+07	4.28306e+07	53558.5   	230510    	24214.8   	25334.4   	37723.2   
33707.865494	1.85893e+07	2.54654e+07	4.27919e+07	4.2942e+07	53627.5   	231350    	24258     	25377.6   	37789.5   
33801.498451	1.86053e+07	2.55041e+07	4.2903e+07	4.30533e+07	53696.5   	232189    	24301.1   	25420.8   	37855.8   
33895.131408	1.86212e+07	2.55428e+07	4.3014e+07	4.31647e+07	53765.5   	233028    	24344.2   	25463.9   	37922.1   
33988.764365	1.86372e+07	2.55815e+07	4.31251e+07	4.3276e+07	53834.5   	233868    	24387.3   	25507.1   	37988.4   
34082.397322	1.8652e+07	2.56187e+07	4.32357e+07	4.33869e+07	53901.5   	234722    	24429.9   	25549.6   	38053.8   
34176.030279	1.86667e+07	2.56557e+07	4.33462e+07	4.34977e+07	53968.2   	235579    	24472.4   	25592.1   	38119.1   
34269.663236	1.86813e+07	2.56927e+07	4.34567e+07	4.36085e+07	54034.9   	236436    	24514.8   	25634.5   	38184.3   
34363.296193	1.8696e+07	2.57297e+07	4.35672e+07	4.37193e+07	54101.6   	237292    	24557.3   	25677     	38249.6   
34456.929150	1.87106e+07	2.57667e+07	4.36777e+07	4.38301e+07	54168.3   	238149    	24599.8   	25719.4   	38314.9   
34550.562107	1.87253e+07	2.58037e+07	4.37882e+07	4.39409e+07	54235     	239006    	24642.2   	25761.9   	38380.1   
34644.195064	1.874e+07 	2.58407e+07	4.38988e+07	4.40517e+07	54301.7   	239862    	24684.7   	25804.3   	38445.4   
34737.828021	1.87546e+07	2.58777e+07	4.40093e+07	4.41624e+07	54368.4   	240719    	24727.2   	25846.7   	38510.7   
34831.460978	1.87693e+07	2.59147e+07	4.41198e+07	4.42732e+07	54435.1   	241576    	24769.6   	25889.2   	38575.9   
34925.093934	1.87839e+07	2.59517e+07	4.42303e+07	4.4384e+07	54501.8   	242432    	24812.1   	25931.6   	38641.2   
35018.726891	1.87986e+07	2.59887e+07	4.43408e+07	4.44948e+07	54568.5   	243289    	24854.6   	25974.1   	38706.4   
35112.359848	1.88132e+07	2.60256e+07	4.44513e+07	4.46056e+07	54635.2   	244145    	24897     	26016.5   	38771.7   
35205.992805	1.88279e+07	2.60626e+07	4.45619e+07	4.47164e+07	54701.9   	245002    	24939.5   	26059     	38837     
35299.625762	1.88426e+07	2.60996e+07	4.46724e+07	4.48272e+07	54768.6   	245859    	24982     	26101.4   	38902.2   
35393.258719	1.88572e+07	2.61366e+07	4.47829e+07	4.4938e+07	54835.3   	246715    	25024.4   	26143.8   	38967.5   
35486.891676	1.88719e+07	2.61736e+07	4.48934e+07	4.50488e+07	54902     	247572    	25066.9   	26186.3   	39032.7   
35580.524633	1.88865e+07	2.62106e+07	4.50039e+07	4.51596e+07	54968.7   	248429    	25109.4   	26228.7   	39098     
35674.157590	1.89012e+07	2.62476e+07	4.51144e+07	4.52704e+07	55035.4   	249285    	25151.8   	26271.2   	39163.3   
35767.790547	1.89158e+07	2.62846e+07	4.5225e+07	4.53812e+07	55102.1   	250142    	25194.3   	26313.6   	39228.5   
35861.423504	1.89305e+07	2.63216e+07	4.53355e+07	4.5492e+07	55168.8   	250999    	25236.8   	26356     	39293.8   
35955.056461	1.89452e+07	2.63586e+07	4.5446e+07	4.56028e+07	55235.5   	251855    	25279.2   	26398.5   	39359     
36048.689418	1.89592e+07	2.63948e+07	4.55562e+07	4.57133e+07	55301.1   	252721    	25321.4   	26440.6   	39423.8   
36142.322375	1.89727e+07	2.64302e+07	4.56662e+07	4.58236e+07	55365.7   	253594    	25363.2   	26482.3   	39488.1   
36235.955331	1.89862e+07	2.64656e+07	4.57763e+07	4.59338e+07	55430.3   	254467    	25405     	26524.1   	39552.4   
36329.588288	1.89997e+07	2.65011e+07	4.58863e+07	4.60441e+07	55494.9   	255340    	25446.8   	26565.9   	39616.7   
36423.221245	1.90132e+07	2.65365e+07	4.59963e+07	4.61544e+07	55559.5   	256214    	25488.7   	26607.6   	39681     
36516.854202	1.90267e+07	2.65719e+07	4.61063e+07	4.62647e+07	55624.1   	257087    	25530.5   	26649.4   	39745.2   
36610.487159	1.90402e+07	2.66074e+07	4.62163e+07	4.63749e+07	55688.7   	257960    	25572.3   	26691.1   	39809.5   
36704.120116	1.90537e+07	2.66428e+07	4.63263e+07	4.64852e+07	55753.2   	258833    	25614.1   	26732.9   	39873.8   
36797.753073	1.90672e+07	2.66782e+07	4.64363e+07	4.65955e+07	55817.8   	259707    	25656     	26774.7   	39938.1   
36891.386030	1.90807e+07	2.67137e+07	4.65463e+07	4.67057e+07	55882.4   	260580    	25697.8   	26816.4   	40002.4   
36985.018987	1.90942e+07	2.67491e+07	4.66564e+07	4.6816e+07	55947     	261453    	25739.6   	26858.2   	40066.7   
37078.651944	1.91077e+07	2.67845e+07	4.67664e+07	4.69263e+07	56011.6   	262326    	25781.4   	26899.9   	40131     
37172.284901	1.91211e+07	2.682e+07 	4.68764e+07	4.70366e+07	56076.2   	263200    	25823.3   	26941.7   	40195.3   
37265.917858	1.91346e+07	2.68554e+07	4.69864e+07	4.71468e+07	56140.8   	264073    	25865.1   	26983.5   	40259.6   
37359.550815	1.91481e+07	2.68908e+07	4.70964e+07	4.72571e+07	56205.4   	264946    	25906.9   	27025.2   	40323.8   
37453.183772	1.91616e+07	2.69263e+07	4.72064e+07	4.73674e+07	56270     	265819    	25948.7   	27067     	40388.1   
37546.816728	1.91751e+07	2.69617e+07	4.73164e+07	4.74777e+07	56334.6   	266693    	25990.6   	27108.7   	40452.4   
