*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.249135  	0.001000	0.230692  	0.001000	0.195045  	0.001000	0.195045  	0.001000	0.195019  	0.001000	0.149835  	0.001000	0.0808568 	
0.002000	0.274931  	0.002000	0.252556  	0.002000	0.219728  	0.002000	0.219728  	0.002000	0.219713  	0.002000	0.194313  	0.002000	0.058243  	
0.005000	0.339262  	0.005000	0.307942  	0.005000	0.289286  	0.005000	0.289286  	0.005000	0.289279  	0.005000	0.273986  	0.005000	0.0339564 	
0.008000	0.389217  	0.008000	0.351632  	0.008000	0.347807  	0.008000	0.347807  	0.008000	0.347803  	0.008000	0.326793  	0.008000	0.0248388 	
0.010000	0.417385  	0.010000	0.376583  	0.010000	0.382356  	0.010000	0.382356  	0.010000	0.382353  	0.010000	0.355316  	0.010000	0.0212668 	
0.015000	0.488919  	0.015000	0.436213  	0.015000	0.440522  	0.015000	0.440522  	0.015000	0.44052   	0.015000	0.420469  	0.015000	0.015744  	
0.020000	0.546204  	0.020000	0.494322  	0.020000	0.489378  	0.020000	0.489378  	0.020000	0.489377  	0.020000	0.481608  	0.020000	0.0127142 	
0.025000	0.610627  	0.025000	0.550332  	0.025000	0.535986  	0.025000	0.535986  	0.025000	0.535985  	0.025000	0.539598  	0.025000	0.0107336 	
0.030000	0.665346  	0.030000	0.602807  	0.030000	0.587431  	0.030000	0.587431  	0.030000	0.587431  	0.030000	0.59348   	0.030000	0.00932756	
0.035000	0.710385  	0.035000	0.651905  	0.035000	0.635678  	0.035000	0.635678  	0.035000	0.635678  	0.035000	0.643632  	0.035000	0.00827252	
0.040000	0.745899  	0.040000	0.697719  	0.040000	0.68082   	0.040000	0.68082   	0.040000	0.68082   	0.040000	0.69027   	0.040000	0.00744876	
0.045000	0.772069  	0.045000	0.740331  	0.045000	0.722931  	0.045000	0.722931  	0.045000	0.722931  	0.045000	0.733545  	0.045000	0.00678602	
0.050000	0.788241  	0.050000	0.778322  	0.050000	0.762078  	0.050000	0.762078  	0.050000	0.762078  	0.050000	0.772081  	0.050000	0.00624017	
0.055000	0.821629  	0.055000	0.813326  	0.055000	0.798334  	0.055000	0.798334  	0.055000	0.798333  	0.055000	0.807544  	0.055000	0.00578205	
0.060000	0.849775  	0.060000	0.845506  	0.060000	0.831777  	0.060000	0.831777  	0.060000	0.831777  	0.060000	0.840115  	0.060000	0.00539157	
0.070000	0.891906  	0.070000	0.901832  	0.070000	0.890597  	0.070000	0.890597  	0.070000	0.890597  	0.070000	0.897071  	0.070000	0.00476008	
0.080000	0.936868  	0.080000	0.948233  	0.080000	0.93937   	0.080000	0.93937   	0.080000	0.93937   	0.080000	0.943963  	0.080000	0.00427023	
