*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
1.750000	1.22761   	1.750000	0.996857  	1.750000	0.962311  	1.750000	0.962311  	1.750000	0.962312  	1.750000	0.996098  	1.750000	0.000759127
2.000000	1.13001   	2.000000	0.93161   	2.000000	0.90463   	2.000000	0.90463   	2.000000	0.90463   	2.000000	0.930934  	2.000000	0.000676044
2.250000	1.04884   	2.250000	0.869792  	2.250000	0.853527  	2.250000	0.853527  	2.250000	0.853527  	2.250000	0.869182  	2.250000	0.000610186
2.500000	0.976789  	2.500000	0.817719  	2.500000	0.80794   	2.500000	0.80794   	2.500000	0.807941  	2.500000	0.817163  	2.500000	0.000556621
3.000000	0.870456  	3.000000	0.733603  	3.000000	0.730168  	3.000000	0.730168  	3.000000	0.730169  	3.000000	0.733128  	3.000000	0.000474599
3.500000	0.785977  	3.500000	0.667247  	3.500000	0.66639   	3.500000	0.66639   	3.500000	0.666391  	3.500000	0.666833  	3.500000	0.000414589
4.000000	0.717228  	4.000000	0.613324  	4.000000	0.613225  	4.000000	0.613225  	4.000000	0.613226  	4.000000	0.612955  	4.000000	0.000368669
4.500000	0.660162  	4.500000	0.568424  	4.500000	0.56827   	4.500000	0.56827   	4.500000	0.568271  	4.500000	0.568092  	4.500000	0.000332335
5.000000	0.612008  	5.000000	0.530277  	5.000000	0.529778  	5.000000	0.529778  	5.000000	0.529778  	5.000000	0.529974  	5.000000	0.000302828
5.500000	0.570808  	5.500000	0.497376  	5.500000	0.496453  	5.500000	0.496453  	5.500000	0.496453  	5.500000	0.497097  	5.500000	0.000278363
6.000000	0.535139  	6.000000	0.468658  	6.000000	0.467319  	6.000000	0.467319  	6.000000	0.467319  	6.000000	0.4684    	6.000000	0.000257731
6.500000	0.503945  	6.500000	0.443344  	6.500000	0.441629  	6.500000	0.441629  	6.500000	0.441629  	6.500000	0.443104  	6.500000	0.000240084
7.000000	0.476423  	7.000000	0.420846  	7.000000	0.4188    	7.000000	0.4188    	7.000000	0.4188    	7.000000	0.420621  	7.000000	0.000224807
7.500000	0.451952  	7.500000	0.400706  	7.500000	0.398376  	7.500000	0.398376  	7.500000	0.398376  	7.500000	0.400494  	7.500000	0.000211447
8.000000	0.430044  	8.000000	0.382563  	8.000000	0.37999   	8.000000	0.37999   	8.000000	0.379991  	8.000000	0.382363  	8.000000	0.000199658
8.500000	0.410311  	8.500000	0.366127  	8.500000	0.363349  	8.500000	0.363349  	8.500000	0.363349  	8.500000	0.365938  	8.500000	0.000189175
9.000000	0.392441  	9.000000	0.351164  	9.000000	0.34821   	9.000000	0.34821   	9.000000	0.34821   	9.000000	0.350984  	9.000000	0.000179789
9.500000	0.376177  	9.500000	0.337479  	9.500000	0.334377  	9.500000	0.334377  	9.500000	0.334377  	9.500000	0.337308  	9.500000	0.000171333
10.000000	0.361309  	10.000000	0.326467  	10.000000	0.321684  	10.000000	0.321684  	10.000000	0.321684  	10.000000	0.326303  	10.000000	0.000163673
11.000000	0.335092  	11.000000	0.30493   	11.000000	0.299306  	11.000000	0.29955   	11.000000	0.29938   	11.000000	0.304779  	11.000000	0.000150326
12.000000	0.312694  	12.000000	0.286157  	12.000000	0.280104  	12.000000	0.280507  	12.000000	0.28021   	12.000000	0.286018  	12.000000	0.000139081
13.000000	0.293329  	13.000000	0.269662  	13.000000	0.263441  	13.000000	0.263948  	13.000000	0.263557  	13.000000	0.269533  	13.000000	0.000129472
14.000000	0.276411  	14.000000	0.255062  	14.000000	0.24884   	14.000000	0.249414  	14.000000	0.248955  	14.000000	0.254941  	14.000000	0.00012116
15.000000	0.261497  	15.000000	0.242053  	15.000000	0.235935  	15.000000	0.236553  	15.000000	0.236047  	15.000000	0.241939  	15.000000	0.000113896
16.000000	0.248246  	16.000000	0.23039   	16.000000	0.224453  	16.000000	0.22509   	16.000000	0.224554  	16.000000	0.230282  	16.000000	0.000107491
17.000000	0.236391  	17.000000	0.219875  	17.000000	0.214171  	17.000000	0.21481   	17.000000	0.214257  	17.000000	0.219774  	17.000000	0.000101799
18.000000	0.225719  	18.000000	0.210349  	18.000000	0.2049    	18.000000	0.205536  	18.000000	0.204974  	18.000000	0.210252  	18.000000	9.67048e-05
19.000000	0.216059  	19.000000	0.201677  	19.000000	0.196498  	19.000000	0.197129  	19.000000	0.196568  	19.000000	0.201585  	19.000000	9.21183e-05
20.000000	0.207271  	20.000000	0.19375   	20.000000	0.188856  	20.000000	0.189472  	20.000000	0.188918  	20.000000	0.193662  	20.000000	8.7966e-05
21.000000	0.199241  	21.000000	0.186475  	21.000000	0.181878  	21.000000	0.18247   	21.000000	0.181926  	21.000000	0.186391  	21.000000	8.4188e-05
22.000000	0.191872  	22.000000	0.179775  	22.000000	0.175474  	22.000000	0.176043  	22.000000	0.175514  	22.000000	0.179694  	22.000000	8.07353e-05
23.000000	0.185086  	23.000000	0.173584  	23.000000	0.169577  	23.000000	0.170123  	23.000000	0.169611  	23.000000	0.173507  	23.000000	7.75669e-05
24.000000	0.178815  	24.000000	0.167846  	24.000000	0.164129  	24.000000	0.164654  	24.000000	0.164162  	24.000000	0.167771  	24.000000	7.46485e-05
25.000000	0.173     	25.000000	0.162513  	25.000000	0.159082  	25.000000	0.159586  	25.000000	0.159115  	25.000000	0.162441  	25.000000	7.19514e-05
27.000000	0.162554  	27.000000	0.152898  	27.000000	0.150036  	27.000000	0.150493  	27.000000	0.150067  	27.000000	0.152831  	27.000000	6.71258e-05
29.000000	0.15343   	29.000000	0.144469  	29.000000	0.142174  	29.000000	0.142573  	29.000000	0.142195  	29.000000	0.144406  	29.000000	6.29322e-05
31.000000	0.145389  	31.000000	0.137017  	31.000000	0.135099  	31.000000	0.135427  	31.000000	0.135112  	31.000000	0.136957  	31.000000	5.92525e-05
33.000000	0.138245  	33.000000	0.130379  	33.000000	0.128633  	33.000000	0.128894  	33.000000	0.128649  	33.000000	0.130323  	33.000000	5.59966e-05
35.000000	0.131854  	35.000000	0.124429  	35.000000	0.122839  	35.000000	0.123041  	35.000000	0.122854  	35.000000	0.124376  	35.000000	5.30941e-05
38.000000	0.123433  	38.000000	0.116573  	38.000000	0.115188  	38.000000	0.115316  	38.000000	0.115198  	38.000000	0.116524  	38.000000	4.92852e-05
