*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.155443  	0.001000	0.0854746 	0.001000	0.0998109 	0.001000	0.0998109 	0.001000	0.0997583 	0.001000	0.0449264 	0.001000	0.0405481 	
0.002000	0.180481  	0.002000	0.0969405 	0.002000	0.114974  	0.002000	0.114974  	0.002000	0.114941  	0.002000	0.0657762 	0.002000	0.0311644 	
0.005000	0.25285   	0.005000	0.128299  	0.005000	0.151936  	0.005000	0.151936  	0.005000	0.151921  	0.005000	0.108877  	0.005000	0.019422  	
0.008000	0.313856  	0.008000	0.155576  	0.008000	0.1822    	0.008000	0.1822    	0.008000	0.18219   	0.008000	0.140994  	0.008000	0.0145819 	
0.010000	0.350183  	0.010000	0.172024  	0.010000	0.200022  	0.010000	0.200022  	0.010000	0.200014  	0.010000	0.159405  	0.010000	0.0126193 	
0.015000	0.411132  	0.015000	0.208817  	0.015000	0.239109  	0.015000	0.239109  	0.015000	0.239103  	0.015000	0.199229  	0.015000	0.00958855	
0.020000	0.458937  	0.020000	0.239703  	0.020000	0.27698   	0.020000	0.27698   	0.020000	0.276977  	0.020000	0.231949  	0.020000	0.00775395	
0.025000	0.510951  	0.025000	0.270309  	0.025000	0.314019  	0.025000	0.314019  	0.025000	0.314016  	0.025000	0.263711  	0.025000	0.00659781	
0.030000	0.553125  	0.030000	0.29828   	0.030000	0.338587  	0.030000	0.338587  	0.030000	0.338585  	0.030000	0.292513  	0.030000	0.00576688	
0.035000	0.58686   	0.035000	0.322707  	0.035000	0.360349  	0.035000	0.360349  	0.035000	0.360347  	0.035000	0.317569  	0.035000	0.00513778	
0.040000	0.61274   	0.040000	0.344905  	0.040000	0.37959   	0.040000	0.37959   	0.040000	0.379588  	0.040000	0.340262  	0.040000	0.00464315	
0.045000	0.631181  	0.045000	0.365067  	0.045000	0.396551  	0.045000	0.396551  	0.045000	0.39655   	0.045000	0.360824  	0.045000	0.00424298	
0.050000	0.642708  	0.050000	0.383393  	0.050000	0.411454  	0.050000	0.411454  	0.050000	0.411452  	0.050000	0.379481  	0.050000	0.00391185	
0.055000	0.668279  	0.055000	0.398332  	0.055000	0.424505  	0.055000	0.424505  	0.055000	0.424504  	0.055000	0.394699  	0.055000	0.00363285	
0.060000	0.689541  	0.060000	0.411743  	0.060000	0.435902  	0.060000	0.435902  	0.060000	0.435901  	0.060000	0.408349  	0.060000	0.00339423	
0.070000	0.720515  	0.070000	0.434789  	0.070000	0.454456  	0.070000	0.454456  	0.070000	0.454455  	0.070000	0.431782  	0.070000	0.00300671	
0.080000	0.75372   	0.080000	0.453178  	0.080000	0.468427  	0.080000	0.468427  	0.080000	0.468427  	0.080000	0.450473  	0.080000	0.00270467	
0.090000	0.777652  	0.090000	0.468736  	0.090000	0.478902  	0.090000	0.478902  	0.090000	0.478902  	0.090000	0.466274  	0.090000	0.00246201	
0.100000	0.795318  	0.100000	0.482267  	0.100000	0.486741  	0.100000	0.486741  	0.100000	0.486741  	0.100000	0.480005  	0.100000	0.0022624 	
0.120000	0.806536  	0.120000	0.499089  	0.120000	0.496986  	0.120000	0.496986  	0.120000	0.496986  	0.120000	0.497136  	0.120000	0.00195251	
