*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	6.85913e-07	0.001000	8.2747e-07	0.001000	1.02835e-06	0.001000	1.02835e-06	0.001000	4.36536e-07	0.001000	3.90934e-07	
0.002000	8.76449e-07	0.002000	9.62625e-07	0.002000	1.21804e-06	0.002000	1.21804e-06	0.002000	7.04841e-07	0.002000	2.57784e-07	
0.005000	1.35598e-06	0.005000	1.3965e-06	0.005000	1.70274e-06	0.005000	1.70274e-06	0.005000	1.25984e-06	0.005000	1.3666e-07	
0.008000	1.71538e-06	0.008000	1.7431e-06	0.008000	2.04933e-06	0.008000	2.04933e-06	0.008000	1.64637e-06	0.008000	9.67322e-08	
0.010000	1.91364e-06	0.010000	1.93633e-06	0.010000	2.23276e-06	0.010000	2.23276e-06	0.010000	1.85464e-06	0.010000	8.16851e-08	
0.015000	2.44155e-06	0.015000	2.44972e-06	0.015000	2.59534e-06	0.015000	2.59534e-06	0.015000	2.39006e-06	0.015000	5.96649e-08	
0.020000	2.8832e-06	0.020000	2.81327e-06	0.020000	2.87805e-06	0.020000	2.87805e-06	0.020000	2.76575e-06	0.020000	4.75201e-08	
0.025000	3.25978e-06	0.025000	3.12863e-06	0.025000	3.11613e-06	0.025000	3.11613e-06	0.025000	3.0889e-06	0.025000	3.97358e-08	
0.030000	3.58261e-06	0.030000	3.45159e-06	0.030000	3.38143e-06	0.030000	3.38143e-06	0.030000	3.41731e-06	0.030000	3.42841e-08	
0.035000	3.85853e-06	0.035000	3.78073e-06	0.035000	3.62027e-06	0.035000	3.62027e-06	0.035000	3.7505e-06	0.035000	3.0235e-08	
0.040000	4.09228e-06	0.040000	4.10242e-06	0.040000	3.83845e-06	0.040000	3.83845e-06	0.040000	4.07532e-06	0.040000	2.70988e-08	
0.045000	4.28764e-06	0.045000	4.40655e-06	0.045000	4.03974e-06	0.045000	4.03974e-06	0.045000	4.38196e-06	0.045000	2.45921e-08	
0.050000	4.44801e-06	0.050000	4.68779e-06	0.050000	4.22668e-06	0.050000	4.22668e-06	0.050000	4.66525e-06	0.050000	2.25389e-08	
0.055000	4.57669e-06	0.055000	4.94404e-06	0.055000	4.40103e-06	0.055000	4.40103e-06	0.055000	4.92321e-06	0.055000	2.08238e-08	
0.060000	4.67696e-06	0.060000	5.17514e-06	0.060000	4.56404e-06	0.060000	4.56404e-06	0.060000	5.15577e-06	0.060000	1.93679e-08	
0.070000	4.8052e-06	0.070000	5.5661e-06	0.070000	4.85944e-06	0.070000	4.85944e-06	0.070000	5.54907e-06	0.070000	1.70253e-08	
0.080000	4.85763e-06	0.080000	5.8729e-06	0.080000	5.11789e-06	0.080000	5.11789e-06	0.080000	5.85768e-06	0.080000	1.52188e-08	
0.090000	4.85635e-06	0.090000	6.1095e-06	0.090000	5.34263e-06	0.090000	5.34263e-06	0.090000	6.09572e-06	0.090000	1.37799e-08	
0.100000	4.81942e-06	0.100000	6.28865e-06	0.100000	5.53609e-06	0.100000	5.53609e-06	0.100000	6.27605e-06	0.100000	1.26049e-08	
0.120000	4.68982e-06	0.120000	6.51574e-06	0.120000	5.83754e-06	0.120000	5.83754e-06	0.120000	6.50495e-06	0.120000	1.07969e-08	
0.140000	4.53678e-06	0.140000	6.61846e-06	0.140000	6.03845e-06	0.140000	6.03845e-06	0.140000	6.609e-06 	0.140000	9.4666e-09	
0.160000	4.3892e-06	0.160000	6.63855e-06	0.160000	6.15483e-06	0.160000	6.15483e-06	0.160000	6.63011e-06	0.160000	8.44407e-09	
0.180000	4.25621e-06	0.180000	6.60319e-06	0.180000	6.20226e-06	0.180000	6.20226e-06	0.180000	6.59556e-06	0.180000	7.63192e-09	
0.200000	4.13848e-06	0.200000	6.53043e-06	0.200000	6.19514e-06	0.200000	6.19514e-06	0.200000	6.52346e-06	0.200000	6.97022e-09	
0.250000	3.89544e-06	0.250000	6.25644e-06	0.250000	6.01704e-06	0.250000	6.01704e-06	0.250000	6.2507e-06	0.250000	5.74815e-09	
0.300000	3.69697e-06	0.300000	5.92662e-06	0.300000	5.71817e-06	0.300000	5.71817e-06	0.300000	5.92171e-06	0.300000	4.90722e-09	
0.350000	3.52199e-06	0.350000	5.58884e-06	0.350000	5.3818e-06	0.350000	5.3818e-06	0.350000	5.58455e-06	0.350000	4.29105e-09	
0.400000	3.36173e-06	0.400000	5.26422e-06	0.400000	5.04957e-06	0.400000	5.04957e-06	0.400000	5.2604e-06	0.400000	3.81899e-09	
0.450000	3.2129e-06	0.450000	4.96151e-06	0.450000	4.73965e-06	0.450000	4.73965e-06	0.450000	4.95807e-06	0.450000	3.44509e-09	
0.500000	3.07424e-06	0.500000	4.68352e-06	0.500000	4.45819e-06	0.500000	4.45819e-06	0.500000	4.68038e-06	0.500000	3.14118e-09	
0.600000	2.82509e-06	0.600000	4.20001e-06	0.600000	3.97985e-06	0.600000	3.97985e-06	0.600000	4.19733e-06	0.600000	2.67619e-09	
0.700000	2.60998e-06	0.700000	3.80121e-06	0.700000	3.59727e-06	0.700000	3.59727e-06	0.700000	3.79887e-06	0.700000	2.33631e-09	
0.800000	2.42426e-06	0.800000	3.47069e-06	0.800000	3.28776e-06	0.800000	3.28776e-06	0.800000	3.46861e-06	0.800000	2.07643e-09	
0.900000	2.26328e-06	0.900000	3.19398e-06	0.900000	3.033e-06 	0.900000	3.033e-06 	0.900000	3.19211e-06	0.900000	1.87093e-09	
1.000000	2.12286e-06	1.000000	2.95961e-06	1.000000	2.81955e-06	1.000000	2.81955e-06	1.000000	2.95791e-06	1.000000	1.70414e-09	
1.250000	1.84029e-06	1.250000	2.50637e-06	1.250000	2.40997e-06	1.250000	2.40997e-06	1.250000	2.50497e-06	1.250000	1.39771e-09	
1.500000	1.62692e-06	1.500000	2.1791e-06	1.500000	2.11413e-06	1.500000	2.11413e-06	1.500000	2.17791e-06	1.500000	1.18817e-09	
1.750000	1.45981e-06	1.750000	1.93099e-06	1.750000	1.88818e-06	1.750000	1.88818e-06	1.750000	1.92996e-06	1.750000	1.03541e-09	
