*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.165033  	0.001000	0.0401299 	0.001000	0.0433478 	0.001000	0.0433478 	0.001000	0.0433221 	0.001000	0.0363935 	0.001000	0.0037364 	
0.002000	0.200613  	0.002000	0.0532171 	0.002000	0.0576128 	0.002000	0.0576128 	0.002000	0.057592  	0.002000	0.049715  	0.002000	0.00350212	
0.005000	0.266569  	0.005000	0.0778676 	0.005000	0.0845065 	0.005000	0.0845065 	0.005000	0.0844936 	0.005000	0.0750862 	0.005000	0.00278137	
0.008000	0.311023  	0.008000	0.0950902 	0.008000	0.103293  	0.008000	0.103293  	0.008000	0.103284  	0.008000	0.0927714 	0.008000	0.00231881	
0.010000	0.33507   	0.010000	0.104668  	0.010000	0.113737  	0.010000	0.113737  	0.010000	0.11373   	0.010000	0.102571  	0.010000	0.00209765	
0.015000	0.404543  	0.015000	0.133434  	0.015000	0.135699  	0.015000	0.135699  	0.015000	0.135693  	0.015000	0.131721  	0.015000	0.00171248	
0.020000	0.461385  	0.020000	0.154563  	0.020000	0.153966  	0.020000	0.153966  	0.020000	0.153961  	0.020000	0.153102  	0.020000	0.00146128	
0.025000	0.508366  	0.025000	0.170526  	0.025000	0.169896  	0.025000	0.169896  	0.025000	0.169892  	0.025000	0.169243  	0.025000	0.00128241	
0.030000	0.546953  	0.030000	0.183261  	0.030000	0.187894  	0.030000	0.187894  	0.030000	0.187891  	0.030000	0.182113  	0.030000	0.0011475 	
0.035000	0.578106  	0.035000	0.193847  	0.035000	0.199005  	0.035000	0.199005  	0.035000	0.199003  	0.035000	0.192805  	0.035000	0.00104154	
