*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0495376 	0.001000	0.0560039 	0.001000	0.0706289 	0.001000	0.0706289 	0.001000	0.0706159 	0.001000	0.0483733 	0.001000	0.00763062	
0.002000	0.0583487 	0.002000	0.0667301 	0.002000	0.0799933 	0.002000	0.0799933 	0.002000	0.0799864 	0.002000	0.0616547 	0.002000	0.00507543	
0.005000	0.0761128 	0.005000	0.0876784 	0.005000	0.0969166 	0.005000	0.0969166 	0.005000	0.0969137 	0.005000	0.084966  	0.005000	0.0027124 	
0.008000	0.0884672 	0.008000	0.102085  	0.008000	0.107876  	0.008000	0.107876  	0.008000	0.107875  	0.008000	0.100158  	0.008000	0.00192657	
0.010000	0.0952086 	0.010000	0.109923  	0.010000	0.113657  	0.010000	0.113657  	0.010000	0.113656  	0.010000	0.108294  	0.010000	0.00162912	
0.015000	0.11477   	0.015000	0.124949  	0.015000	0.125172  	0.015000	0.125172  	0.015000	0.125171  	0.015000	0.123757  	0.015000	0.00119251	
0.020000	0.13081   	0.020000	0.136711  	0.020000	0.134176  	0.020000	0.134176  	0.020000	0.134175  	0.020000	0.13576   	0.020000	0.000951021	
0.025000	0.14408   	0.025000	0.146236  	0.025000	0.141664  	0.025000	0.141664  	0.025000	0.141664  	0.025000	0.14544   	0.025000	0.000795962	
0.030000	0.154984  	0.030000	0.154067  	0.030000	0.149782  	0.030000	0.149782  	0.030000	0.149782  	0.030000	0.15338   	0.030000	0.000687231	
0.035000	0.163789  	0.035000	0.160534  	0.035000	0.156552  	0.035000	0.156552  	0.035000	0.156552  	0.035000	0.159928  	0.035000	0.000606397	
0.040000	0.170706  	0.040000	0.165863  	0.040000	0.162189  	0.040000	0.162189  	0.040000	0.162189  	0.040000	0.165319  	0.040000	0.000543741	
0.045000	0.175925  	0.045000	0.170218  	0.045000	0.166851  	0.045000	0.166851  	0.045000	0.166851  	0.045000	0.169725  	0.045000	0.000493631	
0.050000	0.179628  	0.050000	0.17373   	0.050000	0.170662  	0.050000	0.170662  	0.050000	0.170662  	0.050000	0.173277  	0.050000	0.000452565	
0.055000	0.181996  	0.055000	0.176502  	0.055000	0.173724  	0.055000	0.173724  	0.055000	0.173724  	0.055000	0.176083  	0.055000	0.000418246	
0.060000	0.183205  	0.060000	0.178622  	0.060000	0.176123  	0.060000	0.176123  	0.060000	0.176123  	0.060000	0.178233  	0.060000	0.000389102	
