*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.286428  	0.001000	0.137599  	0.001000	0.141536  	0.001000	0.141536  	0.001000	0.141501  	0.001000	0.0762496 	0.001000	0.0613493 	
0.002000	0.316085  	0.002000	0.15421   	0.002000	0.161997  	0.002000	0.161997  	0.002000	0.161975  	0.002000	0.105614  	0.002000	0.0485964 	
0.005000	0.390046  	0.005000	0.193752  	0.005000	0.210591  	0.005000	0.210591  	0.005000	0.21058   	0.005000	0.162463  	0.005000	0.0312897 	
0.008000	0.447479  	0.008000	0.226423  	0.008000	0.2506    	0.008000	0.2506    	0.008000	0.250593  	0.008000	0.202623  	0.008000	0.0237997 	
0.010000	0.479863  	0.010000	0.245736  	0.010000	0.274277  	0.010000	0.274277  	0.010000	0.274272  	0.010000	0.225028  	0.010000	0.0207074 	
0.015000	0.562105  	0.015000	0.28814   	0.015000	0.326428  	0.015000	0.326428  	0.015000	0.326424  	0.015000	0.27227   	0.015000	0.0158697 	
0.020000	0.627965  	0.020000	0.328986  	0.020000	0.379326  	0.020000	0.379326  	0.020000	0.379323  	0.020000	0.315965  	0.020000	0.0130206 	
0.025000	0.702031  	0.025000	0.371261  	0.025000	0.431649  	0.025000	0.431649  	0.025000	0.431647  	0.025000	0.360246  	0.025000	0.0110148 	
0.030000	0.764941  	0.030000	0.411433  	0.030000	0.467275  	0.030000	0.467275  	0.030000	0.467274  	0.030000	0.401776  	0.030000	0.00965672	
0.035000	0.816722  	0.035000	0.448399  	0.035000	0.499146  	0.035000	0.499146  	0.035000	0.499144  	0.035000	0.439776  	0.035000	0.00862339	
0.040000	0.857552  	0.040000	0.482318  	0.040000	0.527598  	0.040000	0.527598  	0.040000	0.527597  	0.040000	0.47451   	0.040000	0.00780786	
0.045000	0.887639  	0.045000	0.513393  	0.045000	0.552931  	0.045000	0.552931  	0.045000	0.55293   	0.045000	0.506247  	0.045000	0.00714606	
0.050000	0.906232  	0.050000	0.541444  	0.050000	0.575426  	0.050000	0.575426  	0.050000	0.575425  	0.050000	0.534847  	0.050000	0.00659709	
0.055000	0.944618  	0.055000	0.563902  	0.055000	0.595353  	0.055000	0.595353  	0.055000	0.595352  	0.055000	0.557769  	0.055000	0.00613357	
0.060000	0.976977  	0.060000	0.584224  	0.060000	0.61297   	0.060000	0.61297   	0.060000	0.612969  	0.060000	0.578488  	0.060000	0.00573643	
0.070000	1.02541   	0.070000	0.619568  	0.070000	0.642245  	0.070000	0.642245  	0.070000	0.642245  	0.070000	0.614478  	0.070000	0.00509004	
0.080000	1.07711   	0.080000	0.648333  	0.080000	0.665028  	0.080000	0.665028  	0.080000	0.665027  	0.080000	0.643748  	0.080000	0.00458498	
0.090000	1.11563   	0.090000	0.673084  	0.090000	0.682806  	0.090000	0.682806  	0.090000	0.682806  	0.090000	0.668906  	0.090000	0.00417841	
0.100000	1.14429   	0.100000	0.694949  	0.100000	0.696772  	0.100000	0.696772  	0.100000	0.696772  	0.100000	0.691106  	0.100000	0.00384338	
0.120000	1.15456   	0.120000	0.715411  	0.120000	0.716731  	0.120000	0.716731  	0.120000	0.716731  	0.120000	0.712089  	0.120000	0.00332225	
0.140000	1.15327   	0.140000	0.730346  	0.140000	0.729845  	0.140000	0.729845  	0.140000	0.729845  	0.140000	0.727412  	0.140000	0.00293419	
0.160000	1.15491   	0.160000	0.744232  	0.160000	0.738805  	0.160000	0.738805  	0.160000	0.738805  	0.160000	0.741599  	0.160000	0.00263302	
0.180000	1.16171   	0.180000	0.760615  	0.180000	0.745053  	0.180000	0.745053  	0.180000	0.745053  	0.180000	0.758223  	0.180000	0.00239189	
0.200000	1.16773   	0.200000	0.773135  	0.200000	0.749383  	0.200000	0.749383  	0.200000	0.749383  	0.200000	0.770941  	0.200000	0.00219411	
0.250000	1.15346   	0.250000	0.786201  	0.250000	0.754436  	0.250000	0.754436  	0.250000	0.754436  	0.250000	0.784375  	0.250000	0.00182545	
0.300000	1.14871   	0.300000	0.793178  	0.300000	0.753813  	0.300000	0.753813  	0.300000	0.753813  	0.300000	0.791609  	0.300000	0.00156898	
0.350000	1.14211   	0.350000	0.792805  	0.350000	0.754155  	0.350000	0.754155  	0.350000	0.754156  	0.350000	0.791425  	0.350000	0.00137946	
0.400000	1.14058   	0.400000	0.792023  	0.400000	0.752023  	0.400000	0.752023  	0.400000	0.752023  	0.400000	0.79079   	0.400000	0.00123327	
0.450000	1.13257   	0.450000	0.785192  	0.450000	0.746186  	0.450000	0.746186  	0.450000	0.746186  	0.450000	0.784075  	0.450000	0.00111681	
0.500000	1.11821   	0.500000	0.772448  	0.500000	0.737674  	0.500000	0.737674  	0.500000	0.737675  	0.500000	0.771426  	0.500000	0.00102169	
0.600000	1.04158   	0.600000	0.748007  	0.600000	0.714911  	0.600000	0.714911  	0.600000	0.714911  	0.600000	0.747132  	0.600000	0.000875296	
0.700000	0.96134   	0.700000	0.717214  	0.700000	0.690599  	0.700000	0.690599  	0.700000	0.6906    	0.700000	0.716447  	0.700000	0.000767563	
0.800000	0.916146  	0.800000	0.692867  	0.800000	0.666245  	0.800000	0.666245  	0.800000	0.666246  	0.800000	0.692182  	0.800000	0.000684738	
0.900000	0.873361  	0.900000	0.669296  	0.900000	0.642559  	0.900000	0.642559  	0.900000	0.64256   	0.900000	0.668677  	0.900000	0.000618943	
1.000000	0.833385  	1.000000	0.647     	1.000000	0.619863  	1.000000	0.619863  	1.000000	0.619863  	1.000000	0.646435  	1.000000	0.00056533	
1.250000	0.740578  	1.250000	0.58395   	1.250000	0.565465  	1.250000	0.565465  	1.250000	0.565466  	1.250000	0.583484  	1.250000	0.000466296	
1.500000	0.665661  	1.500000	0.533133  	1.500000	0.519761  	1.500000	0.519761  	1.500000	0.519761  	1.500000	0.532735  	1.500000	0.000398134	
1.750000	0.604479  	1.750000	0.49179   	1.750000	0.480963  	1.750000	0.480963  	1.750000	0.480964  	1.750000	0.491442  	1.750000	0.000348182	
2.000000	0.550672  	2.000000	0.45463   	2.000000	0.447477  	2.000000	0.447477  	2.000000	0.447477  	2.000000	0.45432   	2.000000	0.000309907	
2.250000	0.506303  	2.250000	0.420281  	2.250000	0.418271  	2.250000	0.418271  	2.250000	0.418272  	2.250000	0.420001  	2.250000	0.000279588	
2.500000	0.459632  	2.500000	0.391972  	2.500000	0.392603  	2.500000	0.392603  	2.500000	0.392603  	2.500000	0.391717  	2.500000	0.000254942	
3.000000	0.405711  	3.000000	0.347304  	3.000000	0.349729  	3.000000	0.349729  	3.000000	0.349729  	3.000000	0.347086  	3.000000	0.000217228	
3.500000	0.36374   	3.500000	0.31304   	3.500000	0.315427  	3.500000	0.315427  	3.500000	0.315427  	3.500000	0.31285   	3.500000	0.000189658	
4.000000	0.330102  	4.000000	0.285601  	4.000000	0.287457  	4.000000	0.287457  	4.000000	0.287458  	4.000000	0.285432  	4.000000	0.000168575	
4.500000	0.30251   	4.500000	0.263005  	4.500000	0.264268  	4.500000	0.264268  	4.500000	0.264268  	4.500000	0.262854  	4.500000	0.000151901	
5.000000	0.279448  	5.000000	0.244023  	5.000000	0.244751  	5.000000	0.244751  	5.000000	0.244751  	5.000000	0.243885  	5.000000	0.000138368	
5.500000	0.25987   	5.500000	0.227827  	5.500000	0.228107  	5.500000	0.228107  	5.500000	0.228108  	5.500000	0.2277    	5.500000	0.000127151	
6.000000	0.243031  	6.000000	0.213832  	6.000000	0.213747  	6.000000	0.213747  	6.000000	0.213747  	6.000000	0.213714  	6.000000	0.000117695	
6.500000	0.228385  	6.500000	0.201608  	6.500000	0.201228  	6.500000	0.201228  	6.500000	0.201228  	6.500000	0.201499  	6.500000	0.000109609	
7.000000	0.215525  	7.000000	0.190834  	7.000000	0.190214  	7.000000	0.190214  	7.000000	0.190214  	7.000000	0.190731  	7.000000	0.000102612	
7.500000	0.204137  	7.500000	0.181259  	7.500000	0.180445  	7.500000	0.180445  	7.500000	0.180445  	7.500000	0.181163  	7.500000	9.64946e-05	
8.000000	0.193978  	8.000000	0.172691  	8.000000	0.171719  	8.000000	0.171719  	8.000000	0.171719  	8.000000	0.1726    	8.000000	9.10978e-05	
8.500000	0.184857  	8.500000	0.164975  	8.500000	0.163873  	8.500000	0.163873  	8.500000	0.163873  	8.500000	0.164889  	8.500000	8.62997e-05	
9.000000	0.17662   	9.000000	0.157986  	9.000000	0.156778  	9.000000	0.156778  	9.000000	0.156778  	9.000000	0.157904  	9.000000	8.20045e-05	
9.500000	0.169142  	9.500000	0.151625  	9.500000	0.150328  	9.500000	0.150328  	9.500000	0.150328  	9.500000	0.151547  	9.500000	7.81358e-05	
10.000000	0.162321  	10.000000	0.146505  	10.000000	0.144437  	10.000000	0.144437  	10.000000	0.144437  	10.000000	0.14643   	10.000000	7.46322e-05	
11.000000	0.150328  	11.000000	0.136576  	11.000000	0.134105  	11.000000	0.134152  	11.000000	0.13411   	11.000000	0.136507  	11.000000	6.85285e-05	
12.000000	0.140117  	12.000000	0.127977  	12.000000	0.125301  	12.000000	0.125378  	12.000000	0.125308  	12.000000	0.127914  	12.000000	6.33878e-05	
13.000000	0.131313  	13.000000	0.12046   	13.000000	0.117703  	13.000000	0.117798  	13.000000	0.117709  	13.000000	0.120401  	13.000000	5.89958e-05	
14.000000	0.123639  	14.000000	0.113833  	14.000000	0.111075  	14.000000	0.111181  	14.000000	0.111081  	14.000000	0.113778  	14.000000	5.51979e-05	
15.000000	0.116888  	15.000000	0.107948  	15.000000	0.105238  	15.000000	0.10535   	15.000000	0.105244  	15.000000	0.107896  	15.000000	5.18796e-05	
16.000000	0.1109    	16.000000	0.102687  	16.000000	0.100059  	16.000000	0.100173  	16.000000	0.100063  	16.000000	0.102638  	16.000000	4.89541e-05	
17.000000	0.10555   	17.000000	0.0979539 	17.000000	0.095431  	17.000000	0.0955418 	17.000000	0.0954329 	17.000000	0.0979075 	17.000000	4.63548e-05	
18.000000	0.100741  	18.000000	0.0936736 	18.000000	0.0912679 	18.000000	0.0913748 	18.000000	0.0912677 	18.000000	0.0936296 	18.000000	4.40291e-05	
19.000000	0.096393  	19.000000	0.0897835 	19.000000	0.0875009 	19.000000	0.0876045 	19.000000	0.0875009 	19.000000	0.0897416 	19.000000	4.19355e-05	
20.000000	0.0924414 	20.000000	0.086232  	20.000000	0.0840747 	20.000000	0.0841764 	20.000000	0.0840777 	20.000000	0.086192  	20.000000	4.00403e-05	
21.000000	0.0888337 	21.000000	0.0829765 	21.000000	0.0809468 	21.000000	0.0810458 	21.000000	0.0809521 	21.000000	0.0829382 	21.000000	3.83163e-05	
22.000000	0.085526  	22.000000	0.079981  	22.000000	0.0780832 	22.000000	0.0781755 	22.000000	0.0780877 	22.000000	0.0799442 	22.000000	3.67408e-05	
23.000000	0.0824819 	23.000000	0.0772152 	23.000000	0.0754513 	23.000000	0.0755344 	23.000000	0.0754527 	23.000000	0.0771799 	23.000000	3.52953e-05	
24.000000	0.0796704 	24.000000	0.0746534 	24.000000	0.0730207 	24.000000	0.0730961 	24.000000	0.0730209 	24.000000	0.0746194 	24.000000	3.39641e-05	
25.000000	0.0770655 	25.000000	0.0722736 	25.000000	0.0707687 	25.000000	0.0708385 	25.000000	0.0707699 	25.000000	0.0722409 	25.000000	3.27338e-05	
27.000000	0.072389  	27.000000	0.0679867 	27.000000	0.0667338 	27.000000	0.0667913 	27.000000	0.0667361 	27.000000	0.0679562 	27.000000	3.05332e-05	
29.000000	0.068308  	29.000000	0.0642311 	29.000000	0.063226  	29.000000	0.0632694 	29.000000	0.0632275 	29.000000	0.0642025 	29.000000	2.86211e-05	
31.000000	0.0647139 	31.000000	0.0609126 	31.000000	0.0600722 	31.000000	0.0600986 	31.000000	0.0600713 	31.000000	0.0608857 	31.000000	2.69437e-05	
33.000000	0.0615229 	33.000000	0.0579583 	33.000000	0.057195  	33.000000	0.0572054 	33.000000	0.0571917 	33.000000	0.0579329 	33.000000	2.54597e-05	
35.000000	0.0586697 	35.000000	0.0553106 	35.000000	0.0546092 	35.000000	0.0546126 	35.000000	0.05461   	35.000000	0.0552865 	35.000000	2.4137e-05	
38.000000	0.0549126 	38.000000	0.0518159 	38.000000	0.0512022 	38.000000	0.05119   	38.000000	0.0512003 	38.000000	0.0517935 	38.000000	2.24015e-05	
41.000000	0.0516666 	41.000000	0.0487896 	41.000000	0.0482467 	41.000000	0.048225  	41.000000	0.0482452 	41.000000	0.0487687 	41.000000	2.09081e-05	
44.000000	0.0488322 	44.000000	0.0461424 	44.000000	0.0456567 	44.000000	0.04563   	44.000000	0.0456578 	44.000000	0.0461228 	44.000000	1.96087e-05	
47.000000	0.0463345 	47.000000	0.0438064 	47.000000	0.0433704 	47.000000	0.0433387 	47.000000	0.0433723 	47.000000	0.043788  	47.000000	1.84674e-05	
50.000000	0.0441158 	50.000000	0.0417292 	50.000000	0.0413345 	50.000000	0.0412997 	50.000000	0.0413379 	50.000000	0.0417117 	50.000000	1.74566e-05	
55.000000	0.0409196 	55.000000	0.038734  	55.000000	0.038403  	55.000000	0.0383566 	55.000000	0.0384005 	55.000000	0.038718  	55.000000	1.60059e-05	
60.000000	0.0382207 	60.000000	0.036203  	60.000000	0.0359157 	60.000000	0.0358666 	60.000000	0.0359144 	60.000000	0.0361882 	60.000000	1.4786e-05	
65.000000	0.0359093 	65.000000	0.034035  	65.000000	0.0337788 	65.000000	0.033731  	65.000000	0.0337814 	65.000000	0.0340213 	65.000000	1.37454e-05	
70.000000	0.0339061 	70.000000	0.0321564 	70.000000	0.031929  	70.000000	0.0318781 	70.000000	0.0319304 	70.000000	0.0321435 	70.000000	1.28468e-05	
75.000000	0.0321521 	75.000000	0.0305121 	75.000000	0.0303075 	75.000000	0.0302545 	75.000000	0.030308  	75.000000	0.0305001 	75.000000	1.20627e-05	
80.000000	0.0306026 	80.000000	0.0290606 	80.000000	0.0288742 	80.000000	0.0288196 	80.000000	0.028874  	80.000000	0.0290492 	80.000000	1.13722e-05	
85.000000	0.0292231 	85.000000	0.0277694 	85.000000	0.0275978 	85.000000	0.0275419 	85.000000	0.0275967 	85.000000	0.0277586 	85.000000	1.07593e-05	
90.000000	0.0279865 	90.000000	0.026613  	90.000000	0.0264498 	90.000000	0.0263966 	90.000000	0.0264517 	90.000000	0.0266028 	90.000000	1.02115e-05	
95.000000	0.0268712 	95.000000	0.0255713 	95.000000	0.0254183 	95.000000	0.0253639 	95.000000	0.0254191 	95.000000	0.0255616 	95.000000	9.71876e-06	
100.000000	0.0258597 	100.000000	0.0246278 	100.000000	0.0244831 	100.000000	0.0244278 	100.000000	0.024483  	100.000000	0.0246186 	100.000000	9.27314e-06	
105.000000	0.024938  	105.000000	0.0237691 	105.000000	0.0236315 	105.000000	0.0235752 	105.000000	0.0236302 	105.000000	0.0237603 	105.000000	8.86809e-06	
110.000000	0.0240943 	110.000000	0.0229842 	110.000000	0.0228496 	110.000000	0.0227953 	110.000000	0.0228502 	110.000000	0.0229757 	110.000000	8.49824e-06	
115.000000	0.0233188 	115.000000	0.0222639 	115.000000	0.0221329 	115.000000	0.0220792 	115.000000	0.0221337 	115.000000	0.0222558 	115.000000	8.15913e-06	
120.000000	0.0226034 	120.000000	0.0216005 	120.000000	0.0214741 	120.000000	0.0214191 	120.000000	0.0214735 	120.000000	0.0215926 	120.000000	7.84704e-06	
125.000000	0.0219412 	125.000000	0.0209873 	125.000000	0.0208636 	125.000000	0.0208089 	125.000000	0.0208629 	125.000000	0.0209798 	125.000000	7.55883e-06	
130.000000	0.0213264 	130.000000	0.020419  	130.000000	0.0202957 	130.000000	0.0202429 	130.000000	0.0202966 	130.000000	0.0204117 	130.000000	7.29182e-06	
135.000000	0.0207539 	135.000000	0.0198906 	135.000000	0.0197694 	135.000000	0.0197166 	135.000000	0.0197699 	135.000000	0.0198836 	135.000000	7.04373e-06	
140.000000	0.0202194 	140.000000	0.0193981 	140.000000	0.0192796 	140.000000	0.0192258 	140.000000	0.0192788 	140.000000	0.0193913 	140.000000	6.81259e-06	
145.000000	0.019719  	145.000000	0.018938  	145.000000	0.0188206 	145.000000	0.0187671 	145.000000	0.0188197 	145.000000	0.0189314 	145.000000	6.59669e-06	
150.000000	0.0192497 	150.000000	0.0185071 	150.000000	0.0183893 	150.000000	0.0183374 	150.000000	0.0183897 	150.000000	0.0185007 	150.000000	6.39457e-06	
155.000000	0.0185888 	155.000000	0.0181028 	155.000000	0.0179859 	155.000000	0.0179341 	155.000000	0.0179859 	155.000000	0.0180966 	155.000000	6.20492e-06	
160.000000	0.0182014 	160.000000	0.0177225 	160.000000	0.0176066 	160.000000	0.0175547 	160.000000	0.0176062 	160.000000	0.0177165 	160.000000	6.02661e-06	
165.000000	0.0178361 	165.000000	0.0173643 	165.000000	0.0172478 	165.000000	0.0171973 	165.000000	0.0172485 	165.000000	0.0173585 	165.000000	5.85865e-06	
170.000000	0.0174911 	170.000000	0.0170263 	170.000000	0.0169098 	170.000000	0.0168599 	170.000000	0.0169107 	170.000000	0.0170206 	170.000000	5.70014e-06	
175.000000	0.0171646 	175.000000	0.0167067 	175.000000	0.0165914 	175.000000	0.0165409 	175.000000	0.0165914 	175.000000	0.0167012 	175.000000	5.5503e-06	
180.000000	0.0168551 	180.000000	0.0164042 	180.000000	0.0162899 	180.000000	0.016239  	180.000000	0.0162891 	180.000000	0.0163988 	180.000000	5.40842e-06	
185.000000	0.0165615 	185.000000	0.0161174 	185.000000	0.0160031 	185.000000	0.0159526 	185.000000	0.0160024 	185.000000	0.0161121 	185.000000	5.27389e-06	
190.000000	0.0162824 	190.000000	0.015845  	190.000000	0.0157301 	190.000000	0.0156807 	190.000000	0.0157302 	190.000000	0.0158399 	190.000000	5.14614e-06	
195.000000	0.0160168 	195.000000	0.0155861 	195.000000	0.0154712 	195.000000	0.0154222 	195.000000	0.0154714 	195.000000	0.0155811 	195.000000	5.02466e-06	
200.000000	0.0157637 	200.000000	0.0153397 	200.000000	0.0152254 	200.000000	0.0151762 	200.000000	0.015225  	200.000000	0.0153348 	200.000000	4.90899e-06	
210.000000	0.0152918 	210.000000	0.0148807 	210.000000	0.0147658 	210.000000	0.014718  	210.000000	0.0147662 	210.000000	0.014876  	210.000000	4.69349e-06	
220.000000	0.0148604 	220.000000	0.0144621 	220.000000	0.0143479 	220.000000	0.0143001 	220.000000	0.0143477 	220.000000	0.0144576 	220.000000	4.49677e-06	
230.000000	0.0144646 	230.000000	0.0140787 	230.000000	0.0139641 	230.000000	0.0139175 	230.000000	0.0139645 	230.000000	0.0140744 	230.000000	4.31645e-06	
240.000000	0.0141001 	240.000000	0.0137262 	240.000000	0.013612  	240.000000	0.0135658 	240.000000	0.0136124 	240.000000	0.0137221 	240.000000	4.15054e-06	
250.000000	0.0137633 	250.000000	0.0134012 	250.000000	0.0132884 	250.000000	0.0132417 	250.000000	0.0132877 	250.000000	0.0133972 	250.000000	3.99735e-06	
260.000000	0.0134511 	260.000000	0.0131005 	260.000000	0.0129879 	260.000000	0.0129419 	260.000000	0.0129874 	260.000000	0.0130967 	260.000000	3.85547e-06	
270.000000	0.013161  	270.000000	0.0128216 	270.000000	0.012709  	270.000000	0.0126639 	270.000000	0.012709  	270.000000	0.0128178 	270.000000	3.72366e-06	
280.000000	0.0128907 	280.000000	0.0125621 	280.000000	0.0124507 	280.000000	0.0124054 	280.000000	0.0124501 	280.000000	0.0125585 	280.000000	3.60088e-06	
290.000000	0.0126382 	290.000000	0.0123202 	290.000000	0.0122088 	290.000000	0.0121646 	290.000000	0.0122088 	290.000000	0.0123167 	290.000000	3.48622e-06	
300.000000	0.0124018 	300.000000	0.0120941 	300.000000	0.0119835 	300.000000	0.0119396 	300.000000	0.0119834 	300.000000	0.0120907 	300.000000	3.3789e-06	
310.000000	0.01218   	310.000000	0.0118823 	310.000000	0.011773  	310.000000	0.011729  	310.000000	0.0117725 	310.000000	0.011879  	310.000000	3.27822e-06	
320.000000	0.0119716 	320.000000	0.0116836 	320.000000	0.0115745 	320.000000	0.0115316 	320.000000	0.0115747 	320.000000	0.0116804 	320.000000	3.18357e-06	
330.000000	0.0117754 	330.000000	0.0114969 	330.000000	0.0113889 	330.000000	0.0113461 	330.000000	0.0113888 	330.000000	0.0114938 	330.000000	3.09443e-06	
340.000000	0.0115903 	340.000000	0.011321  	340.000000	0.0112143 	340.000000	0.0111715 	340.000000	0.0112139 	340.000000	0.011318  	340.000000	3.01032e-06	
350.000000	0.0114155 	350.000000	0.0111551 	350.000000	0.011049  	350.000000	0.011007  	350.000000	0.0110491 	350.000000	0.0111522 	350.000000	2.93082e-06	
360.000000	0.0112501 	360.000000	0.0109984 	360.000000	0.0108933 	360.000000	0.0108516 	360.000000	0.0108934 	360.000000	0.0109955 	360.000000	2.85556e-06	
370.000000	0.0110933 	370.000000	0.0108501 	370.000000	0.0107466 	370.000000	0.0107048 	370.000000	0.0107463 	370.000000	0.0108473 	370.000000	2.7842e-06	
380.000000	0.0109447 	380.000000	0.0107097 	380.000000	0.0106071 	380.000000	0.0105658 	380.000000	0.010607  	380.000000	0.010707  	380.000000	2.71645e-06	
390.000000	0.0108034 	390.000000	0.0105765 	390.000000	0.0104747 	390.000000	0.0104341 	390.000000	0.010475  	390.000000	0.0105738 	390.000000	2.65203e-06	
400.000000	0.0106691 	400.000000	0.01045   	400.000000	0.0103497 	400.000000	0.010309  	400.000000	0.0103497 	400.000000	0.0104474 	400.000000	2.59071e-06	
410.000000	0.0105413 	410.000000	0.0103297 	410.000000	0.010231  	410.000000	0.0101903 	410.000000	0.0102307 	410.000000	0.0103272 	410.000000	2.53225e-06	
420.000000	0.0104194 	420.000000	0.0102153 	420.000000	0.0101175 	420.000000	0.0100773 	420.000000	0.0101175 	420.000000	0.0102128 	420.000000	2.47647e-06	
430.000000	0.0103032 	430.000000	0.0101062 	430.000000	0.0100094 	430.000000	0.00996977	430.000000	0.0100097 	430.000000	0.0101038 	430.000000	2.42318e-06	
440.000000	0.0101922 	440.000000	0.0100022 	440.000000	0.00990691	440.000000	0.00986728	440.000000	0.00990702	440.000000	0.00999985	440.000000	2.37221e-06	
450.000000	0.0100861 	450.000000	0.00990295	450.000000	0.00980927	450.000000	0.00976952	450.000000	0.00980904	450.000000	0.00990063	450.000000	2.32342e-06	
460.000000	0.00998461	460.000000	0.0098081 	460.000000	0.00971565	460.000000	0.00967619	460.000000	0.0097155 	460.000000	0.00980582	460.000000	2.27667e-06	
470.000000	0.00988745	470.000000	0.0097174 	470.000000	0.00962591	470.000000	0.00958701	470.000000	0.00962612	470.000000	0.00971517	470.000000	2.23183e-06	
480.000000	0.00979435	480.000000	0.0096306 	480.000000	0.00954034	480.000000	0.00950172	480.000000	0.00954063	480.000000	0.00962841	480.000000	2.18878e-06	
490.000000	0.00970509	490.000000	0.00954747	490.000000	0.00945881	490.000000	0.00942009	490.000000	0.00945881	490.000000	0.00954532	490.000000	2.14742e-06	
500.000000	0.00961944	500.000000	0.00946779	500.000000	0.00938069	500.000000	0.00934191	500.000000	0.00938045	500.000000	0.00946569	500.000000	2.10764e-06	
520.000000	0.0094582 	520.000000	0.00931803	520.000000	0.00923311	520.000000	0.0091951 	520.000000	0.0092333 	520.000000	0.009316  	520.000000	2.03251e-06	
540.000000	0.00930917	540.000000	0.00917991	540.000000	0.00909764	540.000000	0.00905987	540.000000	0.00909774	540.000000	0.00917794	540.000000	1.96273e-06	
560.000000	0.00917112	560.000000	0.00905221	560.000000	0.00897278	560.000000	0.008935  	560.000000	0.00897257	560.000000	0.00905031	560.000000	1.89773e-06	
580.000000	0.00904296	580.000000	0.00893388	580.000000	0.0088565 	580.000000	0.00881942	580.000000	0.00885671	580.000000	0.00893204	580.000000	1.83705e-06	
600.000000	0.00892377	600.000000	0.00882402	600.000000	0.00874912	600.000000	0.00871222	600.000000	0.00874925	600.000000	0.00882224	600.000000	1.78026e-06	
620.000000	0.0088127 	620.000000	0.00872183	620.000000	0.00864959	620.000000	0.0086126 	620.000000	0.00864937	620.000000	0.0087201 	620.000000	1.72698e-06	
640.000000	0.00870905	640.000000	0.0086266 	640.000000	0.00855632	640.000000	0.00851984	640.000000	0.00855637	640.000000	0.00862493	640.000000	1.67692e-06	
660.000000	0.00861218	660.000000	0.00853773	660.000000	0.00846938	660.000000	0.00843333	660.000000	0.00846963	660.000000	0.0085361 	660.000000	1.62977e-06	
680.000000	0.0085215 	680.000000	0.00845467	680.000000	0.00838865	680.000000	0.00835251	680.000000	0.00838859	680.000000	0.00845308	680.000000	1.58528e-06	
