* 27Al energy loss (dE/dX) in Al
* apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.500000	4.12436   	1.500000	3.27959   	1.500000	3.32037   	1.500000	3.32037   	1.500000	3.32037   	1.500000	3.27573   	1.500000	0.00386581	
1.750000	3.90353   	1.750000	3.15552   	1.750000	3.18841   	1.750000	3.18841   	1.750000	3.18841   	1.750000	3.15213   	1.750000	0.00338669	
2.000000	3.70463   	2.000000	3.04389   	2.000000	3.06611   	2.000000	3.06611   	2.000000	3.06611   	2.000000	3.04087   	2.000000	0.00301878	
2.250000	3.53605   	2.250000	2.92542   	2.250000	2.95264   	2.250000	2.95264   	2.250000	2.95264   	2.250000	2.9227    	2.250000	0.00272682	
2.500000	3.69793   	2.500000	2.82054   	2.500000	2.84722   	2.500000	2.84722   	2.500000	2.84722   	2.500000	2.81805   	2.500000	0.00248913	
3.000000	3.38825   	3.000000	2.6376    	3.000000	2.65768   	3.000000	2.65768   	3.000000	2.65768   	3.000000	2.63547   	3.000000	0.00212473	
3.500000	3.12591   	3.500000	2.4787    	3.500000	2.49237   	3.500000	2.49237   	3.500000	2.49237   	3.500000	2.47684   	3.500000	0.00185777	
4.000000	2.90199   	4.000000	2.33897   	4.000000	2.34712   	4.000000	2.34712   	4.000000	2.34712   	4.000000	2.33732   	4.000000	0.00165326	
4.500000	2.7091    	4.500000	2.21497   	4.500000	2.21855   	4.500000	2.21855   	4.500000	2.21855   	4.500000	2.21348   	4.500000	0.0014913 	
5.000000	2.54137   	5.000000	2.10412   	5.000000	2.10397   	5.000000	2.10397   	5.000000	2.10397   	5.000000	2.10276   	5.000000	0.00135966	
5.500000	2.39425   	5.500000	2.00436   	5.500000	2.00121   	5.500000	2.00121   	5.500000	2.00121   	5.500000	2.00311   	5.500000	0.00125045	
6.000000	2.26419   	6.000000	1.91404   	6.000000	1.90852   	6.000000	1.90852   	6.000000	1.90852   	6.000000	1.91288   	6.000000	0.00115828	
6.500000	2.14837   	6.500000	1.83191   	6.500000	1.82448   	6.500000	1.82448   	6.500000	1.82448   	6.500000	1.83083   	6.500000	0.00107941	
7.000000	2.04457   	7.000000	1.75691   	7.000000	1.74792   	7.000000	1.74792   	7.000000	1.74792   	7.000000	1.7559    	7.000000	0.0010111 	
7.500000	1.95099   	7.500000	1.68816   	7.500000	1.67787   	7.500000	1.67787   	7.500000	1.67787   	7.500000	1.68721   	7.500000	0.000951328	
8.000000	1.86619   	8.000000	1.62489   	8.000000	1.61351   	8.000000	1.61351   	8.000000	1.61351   	8.000000	1.624     	8.000000	0.000898567	
8.500000	1.78897   	8.500000	1.56649   	8.500000	1.55418   	8.500000	1.55418   	8.500000	1.55418   	8.500000	1.56564   	8.500000	0.000851632	
9.000000	1.71835   	9.000000	1.51239   	9.000000	1.4993    	9.000000	1.4993    	9.000000	1.4993    	9.000000	1.51158   	9.000000	0.000809592	
9.500000	1.65351   	9.500000	1.46214   	9.500000	1.44837   	9.500000	1.44837   	9.500000	1.44837   	9.500000	1.46137   	9.500000	0.000771707	
10.000000	1.59375   	10.000000	1.4221    	10.000000	1.40098   	10.000000	1.40098   	10.000000	1.40098   	10.000000	1.42136   	10.000000	0.000737381	
11.000000	1.48723   	11.000000	1.34087   	11.000000	1.3149    	11.000000	1.3193    	11.000000	1.31687   	11.000000	1.34019   	11.000000	0.00067754	
12.000000	1.39509   	12.000000	1.26832   	12.000000	1.23955   	12.000000	1.2471    	12.000000	1.24309   	12.000000	1.26769   	12.000000	0.000627098	
13.000000	1.31457   	13.000000	1.20324   	13.000000	1.17304   	13.000000	1.18284   	13.000000	1.17777   	13.000000	1.20266   	13.000000	0.000583972	
14.000000	1.24355   	14.000000	1.14463   	14.000000	1.1139    	14.000000	1.12528   	14.000000	1.11949   	14.000000	1.14408   	14.000000	0.000546654	
15.000000	1.18045   	15.000000	1.0916    	15.000000	1.06098   	15.000000	1.07345   	15.000000	1.06713   	15.000000	1.09109   	15.000000	0.00051403	
16.000000	1.12397   	16.000000	1.04343   	16.000000	1.01333   	16.000000	1.02653   	16.000000	1.01982   	16.000000	1.04294   	16.000000	0.000485252	
17.000000	1.07312   	17.000000	0.9995    	17.000000	0.970174  	17.000000	0.983858  	17.000000	0.976851  	17.000000	0.99904   	17.000000	0.000459668	
18.000000	1.02708   	18.000000	0.959289  	18.000000	0.930923  	18.000000	0.9449    	18.000000	0.937625  	18.000000	0.958852  	18.000000	0.000436768	
19.000000	0.985195  	19.000000	0.922353  	19.000000	0.895079  	19.000000	0.909193  	19.000000	0.901712  	19.000000	0.921937  	19.000000	0.000416142	
20.000000	0.946913  	20.000000	0.888316  	20.000000	0.862229  	20.000000	0.876356  	20.000000	0.868724  	20.000000	0.887919  	20.000000	0.000397465	
21.000000	0.911783  	21.000000	0.856855  	21.000000	0.832021  	21.000000	0.846062  	21.000000	0.838275  	21.000000	0.856474  	21.000000	0.000380467	
22.000000	0.879426  	22.000000	0.827691  	22.000000	0.804151  	22.000000	0.818035  	22.000000	0.810154  	22.000000	0.827326  	22.000000	0.000364928	
23.000000	0.84952   	23.000000	0.800585  	23.000000	0.778358  	23.000000	0.792036  	23.000000	0.784074  	23.000000	0.800234  	23.000000	0.000350667	
24.000000	0.821793  	24.000000	0.775328  	24.000000	0.754419  	24.000000	0.76786   	24.000000	0.759854  	24.000000	0.774991  	24.000000	0.000337528	
25.000000	0.796011  	25.000000	0.75174   	25.000000	0.73215   	25.000000	0.745328  	25.000000	0.737302  	25.000000	0.751414  	25.000000	0.000325382	
27.000000	0.749507  	27.000000	0.708951  	27.000000	0.692052  	27.000000	0.704593  	27.000000	0.696601  	27.000000	0.708647  	27.000000	0.000303646	
29.000000	0.708697  	29.000000	0.671163  	29.000000	0.656917  	29.000000	0.668801  	29.000000	0.660929  	29.000000	0.670878  	29.000000	0.000284751	
31.000000	0.672581  	31.000000	0.637551  	31.000000	0.625278  	31.000000	0.635955  	31.000000	0.628648  	31.000000	0.637283  	31.000000	0.000268166	
33.000000	0.640381  	33.000000	0.607461  	33.000000	0.596461  	33.000000	0.605542  	33.000000	0.599102  	33.000000	0.607207  	33.000000	0.000253487	
35.000000	0.611483  	35.000000	0.580367  	35.000000	0.570431  	35.000000	0.578233  	35.000000	0.572555  	35.000000	0.580126  	35.000000	0.000240398	
38.000000	0.573281  	38.000000	0.544433  	38.000000	0.535821  	38.000000	0.542114  	38.000000	0.537418  	38.000000	0.54421   	38.000000	0.000223216	
41.000000	0.540139  	41.000000	0.513169  	41.000000	0.505748  	41.000000	0.510771  	41.000000	0.506896  	41.000000	0.51296   	41.000000	0.000208421	
44.000000	0.5111    	44.000000	0.485717  	44.000000	0.479216  	44.000000	0.483305  	44.000000	0.480122  	44.000000	0.485522  	44.000000	0.000195543	
47.000000	0.485435  	47.000000	0.46142   	47.000000	0.455767  	47.000000	0.45903   	47.000000	0.456436  	47.000000	0.461235  	47.000000	0.000184227	
50.000000	0.462578  	50.000000	0.43976   	50.000000	0.434817  	50.000000	0.437415  	50.000000	0.435326  	50.000000	0.439586  	50.000000	0.000174201	
55.000000	0.429557  	55.000000	0.408449  	55.000000	0.404423  	55.000000	0.406201  	55.000000	0.404792  	55.000000	0.408289  	55.000000	0.000159803	
60.000000	0.40159   	60.000000	0.381926  	60.000000	0.378666  	60.000000	0.37978   	60.000000	0.378905  	60.000000	0.381779  	60.000000	0.00014769	
65.000000	0.377582  	65.000000	0.359166  	65.000000	0.356479  	65.000000	0.357116  	65.000000	0.356661  	65.000000	0.359029  	65.000000	0.000137352	
70.000000	0.356732  	70.000000	0.339417  	70.000000	0.337224  	70.000000	0.337451  	70.000000	0.337333  	70.000000	0.339288  	70.000000	0.00012842	
75.000000	0.338445  	75.000000	0.322114  	75.000000	0.320288  	75.000000	0.320221  	75.000000	0.320374  	75.000000	0.321993  	75.000000	0.000120622	
80.000000	0.322268  	80.000000	0.306827  	80.000000	0.305301  	80.000000	0.304995  	80.000000	0.30537   	80.000000	0.306713  	80.000000	0.000113753	
85.000000	0.307848  	85.000000	0.29322   	85.000000	0.291951  	85.000000	0.291439  	85.000000	0.291993  	85.000000	0.293112  	85.000000	0.000107654	
90.000000	0.294908  	90.000000	0.281029  	90.000000	0.279939  	90.000000	0.27929   	90.000000	0.27999   	90.000000	0.280927  	90.000000	0.000102201	
95.000000	0.283227  	95.000000	0.270043  	95.000000	0.269143  	95.000000	0.268336  	95.000000	0.269161  	95.000000	0.269946  	95.000000	9.72942e-05	
100.000000	0.272626  	100.000000	0.260089  	100.000000	0.259318  	100.000000	0.258409  	100.000000	0.259336  	100.000000	0.259997  	100.000000	9.28553e-05	
105.000000	0.262958  	105.000000	0.251029  	105.000000	0.250367  	105.000000	0.249369  	105.000000	0.25038   	105.000000	0.25094   	105.000000	8.88194e-05	
110.000000	0.254103  	110.000000	0.242745  	110.000000	0.242183  	110.000000	0.241101  	110.000000	0.242187  	110.000000	0.24266   	110.000000	8.51333e-05	
115.000000	0.24596   	115.000000	0.235142  	115.000000	0.234638  	115.000000	0.23351   	115.000000	0.234654  	115.000000	0.23506   	115.000000	8.17528e-05	
120.000000	0.238445  	120.000000	0.228138  	120.000000	0.227693  	120.000000	0.226515  	120.000000	0.227712  	120.000000	0.228059  	120.000000	7.86409e-05	
125.000000	0.231486  	125.000000	0.221665  	125.000000	0.22128   	125.000000	0.220048  	125.000000	0.221287  	125.000000	0.221589  	125.000000	7.57664e-05	
130.000000	0.225021  	130.000000	0.215664  	130.000000	0.21531   	130.000000	0.214051  	130.000000	0.215328  	130.000000	0.21559   	130.000000	7.31028e-05	
