Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
620.000000	0.0172469 	620.000000	0.0177903 	620.000000	0.0176118 	620.000000	0.0175085 	620.000000	0.0176123 	620.000000	0.0177871 	620.000000	3.21722e-06	
640.000000	0.0170441 	640.000000	0.0175902 	640.000000	0.0174118 	640.000000	0.017309  	640.000000	0.0174122 	640.000000	0.0175871 	640.000000	3.12371e-06	
660.000000	0.0168545 	660.000000	0.0174035 	660.000000	0.0172253 	660.000000	0.0171228 	660.000000	0.0172253 	660.000000	0.0174004 	660.000000	3.03566e-06	
680.000000	0.016677  	680.000000	0.0172289 	680.000000	0.0170507 	680.000000	0.0169486 	680.000000	0.0170506 	680.000000	0.0172259 	680.000000	2.9526e-06	
700.000000	0.0165107 	700.000000	0.0170654 	700.000000	0.0168873 	700.000000	0.0167855 	700.000000	0.0168869 	700.000000	0.0170625 	700.000000	2.87411e-06	
720.000000	0.0163547 	720.000000	0.0169122 	720.000000	0.0167341 	720.000000	0.0166325 	720.000000	0.0167334 	720.000000	0.0169094 	720.000000	2.79982e-06	
740.000000	0.0162082 	740.000000	0.0167685 	740.000000	0.0165899 	740.000000	0.0164888 	740.000000	0.0165892 	740.000000	0.0167657 	740.000000	2.7294e-06	
760.000000	0.0160705 	760.000000	0.0166334 	760.000000	0.0164537 	760.000000	0.0163536 	760.000000	0.0164535 	760.000000	0.0166307 	760.000000	2.66255e-06	
780.000000	0.0159409 	780.000000	0.0165064 	780.000000	0.0163253 	780.000000	0.0162264 	780.000000	0.0163258 	780.000000	0.0165038 	780.000000	2.599e-06 	
800.000000	0.0158188 	800.000000	0.0163869 	800.000000	0.0162048 	800.000000	0.0161064 	800.000000	0.0162054 	800.000000	0.0163843 	800.000000	2.53851e-06	
820.000000	0.0157038 	820.000000	0.0162743 	820.000000	0.0160914 	820.000000	0.0159932 	820.000000	0.0160918 	820.000000	0.0162718 	820.000000	2.48086e-06	
840.000000	0.0155954 	840.000000	0.0161682 	840.000000	0.0159843 	840.000000	0.0158863 	840.000000	0.0159845 	840.000000	0.0161657 	840.000000	2.42586e-06	
860.000000	0.0154931 	860.000000	0.016068  	860.000000	0.015883  	860.000000	0.0157851 	860.000000	0.015883  	860.000000	0.0160657 	860.000000	2.37332e-06	
880.000000	0.0153966 	880.000000	0.0159735 	880.000000	0.0157871 	880.000000	0.0156895 	880.000000	0.0157869 	880.000000	0.0159712 	880.000000	2.32309e-06	
900.000000	0.0153054 	900.000000	0.0158842 	900.000000	0.0156963 	900.000000	0.0155988 	900.000000	0.015696  	900.000000	0.015882  	900.000000	2.275e-06 	
920.000000	0.0152193 	920.000000	0.0157999 	920.000000	0.0156103 	920.000000	0.0155129 	920.000000	0.0156097 	920.000000	0.0157977 	920.000000	2.22893e-06	
940.000000	0.0151379 	940.000000	0.0157201 	940.000000	0.0155286 	940.000000	0.0154314 	940.000000	0.0155279 	940.000000	0.0157179 	940.000000	2.18475e-06	
960.000000	0.015061  	960.000000	0.0156447 	960.000000	0.0154508 	960.000000	0.015354  	960.000000	0.0154502 	960.000000	0.0156426 	960.000000	2.14234e-06	
980.000000	0.0149883 	980.000000	0.0155733 	980.000000	0.0153767 	980.000000	0.0152805 	980.000000	0.0153764 	980.000000	0.0155712 	980.000000	2.1016e-06	
1000.000000	0.0149196 	1000.000000	0.0155058 	1000.000000	0.0153061 	1000.000000	0.0152107 	1000.000000	0.0153062 	1000.000000	0.0155037 	1000.000000	2.06244e-06	
1020.000000	0.0148546 	1020.000000	0.0154418 	1020.000000	0.0152391 	1020.000000	0.0151442 	1020.000000	0.0152395 	1020.000000	0.0154398 	1020.000000	2.02475e-06	
1040.000000	0.0147932 	1040.000000	0.0153813 	1040.000000	0.0151754 	1040.000000	0.0150809 	1040.000000	0.015176  	1040.000000	0.0153793 	1040.000000	1.98846e-06	
1060.000000	0.0147351 	1060.000000	0.015324  	1060.000000	0.0151149 	1060.000000	0.0150207 	1060.000000	0.0151155 	1060.000000	0.015322  	1060.000000	1.95349e-06	
1080.000000	0.0146802 	1080.000000	0.0152697 	1080.000000	0.0150574 	1080.000000	0.0149633 	1080.000000	0.0150578 	1080.000000	0.0152678 	1080.000000	1.91976e-06	
1100.000000	0.0146283 	1100.000000	0.0152183 	1100.000000	0.0150026 	1100.000000	0.0149085 	1100.000000	0.0150029 	1100.000000	0.0152164 	1100.000000	1.88722e-06	
1120.000000	0.0145793 	1120.000000	0.0151696 	1120.000000	0.0149504 	1120.000000	0.0148563 	1120.000000	0.0149504 	1120.000000	0.0151678 	1120.000000	1.8558e-06	
1140.000000	0.0145331 	1140.000000	0.0151235 	1140.000000	0.0149004 	1140.000000	0.0148065 	1140.000000	0.0149004 	1140.000000	0.0151217 	1140.000000	1.82545e-06	
1160.000000	0.0144894 	1160.000000	0.0150799 	1160.000000	0.0148527 	1160.000000	0.014759  	1160.000000	0.0148527 	1160.000000	0.0150781 	1160.000000	1.7961e-06	
1180.000000	0.0144482 	1180.000000	0.0150386 	1180.000000	0.0148072 	1180.000000	0.0147136 	1180.000000	0.0148071 	1180.000000	0.0150368 	1180.000000	1.76771e-06	
1200.000000	0.0144093 	1200.000000	0.0149995 	1200.000000	0.0147637 	1200.000000	0.0146702 	1200.000000	0.0147635 	1200.000000	0.0149977 	1200.000000	1.74023e-06	
1220.000000	0.0143727 	1220.000000	0.0149625 	1220.000000	0.0147222 	1220.000000	0.0146288 	1220.000000	0.0147219 	1220.000000	0.0149608 	1220.000000	1.71362e-06	
1240.000000	0.0143383 	1240.000000	0.0149275 	1240.000000	0.0146825 	1240.000000	0.0145892 	1240.000000	0.0146821 	1240.000000	0.0149258 	1240.000000	1.68784e-06	
1260.000000	0.0143059 	1260.000000	0.0148944 	1260.000000	0.0146446 	1260.000000	0.0145513 	1260.000000	0.014644  	1260.000000	0.0148928 	1260.000000	1.66285e-06	
1280.000000	0.0142754 	1280.000000	0.0148632 	1280.000000	0.0146082 	1280.000000	0.014515  	1280.000000	0.0146076 	1280.000000	0.0148616 	1280.000000	1.63862e-06	
1300.000000	0.0142469 	1300.000000	0.0148337 	1300.000000	0.0145734 	1300.000000	0.0144803 	1300.000000	0.0145727 	1300.000000	0.0148321 	1300.000000	1.6151e-06	
1320.000000	0.0142201 	1320.000000	0.0148059 	1320.000000	0.0145399 	1320.000000	0.0144471 	1320.000000	0.0145393 	1320.000000	0.0148043 	1320.000000	1.59226e-06	
1340.000000	0.0141951 	1340.000000	0.0147796 	1340.000000	0.0145079 	1340.000000	0.0144154 	1340.000000	0.0145074 	1340.000000	0.0147781 	1340.000000	1.57009e-06	
1360.000000	0.0141717 	1360.000000	0.0147549 	1360.000000	0.0144771 	1360.000000	0.0143849 	1360.000000	0.0144768 	1360.000000	0.0147534 	1360.000000	1.54854e-06	
1380.000000	0.0141499 	1380.000000	0.0147317 	1380.000000	0.0144476 	1380.000000	0.0143558 	1380.000000	0.0144475 	1380.000000	0.0147301 	1380.000000	1.5276e-06	
1400.000000	0.0141296 	1400.000000	0.0147098 	1400.000000	0.0144193 	1400.000000	0.0143279 	1400.000000	0.0144195 	1400.000000	0.0147083 	1400.000000	1.50724e-06	
1420.000000	0.0141108 	1420.000000	0.0146893 	1420.000000	0.0143923 	1420.000000	0.0143011 	1420.000000	0.0143926 	1420.000000	0.0146878 	1420.000000	1.48742e-06	
1440.000000	0.0140934 	1440.000000	0.0146701 	1440.000000	0.0143664 	1440.000000	0.0142755 	1440.000000	0.0143668 	1440.000000	0.0146686 	1440.000000	1.46814e-06	
1460.000000	0.0140774 	1460.000000	0.0146521 	1460.000000	0.0143417 	1460.000000	0.0142509 	1460.000000	0.0143422 	1460.000000	0.0146506 	1460.000000	1.44937e-06	
1480.000000	0.0140626 	1480.000000	0.0146353 	1480.000000	0.014318  	1480.000000	0.0142274 	1480.000000	0.0143185 	1480.000000	0.0146338 	1480.000000	1.43109e-06	
1500.000000	0.0140491 	1500.000000	0.0146196 	1500.000000	0.0142953 	1500.000000	0.0142048 	1500.000000	0.0142958 	1500.000000	0.0146182 	1500.000000	1.41327e-06	
1520.000000	0.0140368 	1520.000000	0.014605  	1520.000000	0.0142736 	1520.000000	0.0141832 	1520.000000	0.014274  	1520.000000	0.0146036 	1520.000000	1.39591e-06	
1540.000000	0.0140257 	1540.000000	0.0145914 	1540.000000	0.0142529 	1540.000000	0.0141625 	1540.000000	0.0142532 	1540.000000	0.0145901 	1540.000000	1.37899e-06	
1560.000000	0.0140157 	1560.000000	0.0145789 	1560.000000	0.0142329 	1560.000000	0.0141426 	1560.000000	0.0142332 	1560.000000	0.0145776 	1560.000000	1.36248e-06	
1580.000000	0.0140068 	1580.000000	0.0145674 	1580.000000	0.0142138 	1580.000000	0.0141235 	1580.000000	0.014214  	1580.000000	0.014566  	1580.000000	1.34638e-06	
1600.000000	0.0139989 	1600.000000	0.0145567 	1600.000000	0.0141955 	1600.000000	0.0141052 	1600.000000	0.0141956 	1600.000000	0.0145554 	1600.000000	1.33066e-06	
1620.000000	0.0139921 	1620.000000	0.014547  	1620.000000	0.014178  	1620.000000	0.0140877 	1620.000000	0.014178  	1620.000000	0.0145457 	1620.000000	1.31532e-06	
1640.000000	0.0139862 	1640.000000	0.0145382 	1640.000000	0.0141611 	1640.000000	0.0140709 	1640.000000	0.0141611 	1640.000000	0.0145369 	1640.000000	1.30034e-06	
1660.000000	0.0139813 	1660.000000	0.0145301 	1660.000000	0.0141449 	1660.000000	0.0140548 	1660.000000	0.0141448 	1660.000000	0.0145289 	1660.000000	1.28571e-06	
1680.000000	0.0139773 	1680.000000	0.0145229 	1680.000000	0.0141294 	1680.000000	0.0140393 	1680.000000	0.0141293 	1680.000000	0.0145217 	1680.000000	1.27141e-06	
1700.000000	0.0139742 	1700.000000	0.0145165 	1700.000000	0.0141146 	1700.000000	0.0140245 	1700.000000	0.0141144 	1700.000000	0.0145153 	1700.000000	1.25744e-06	
1750.000000	0.01397   	1750.000000	0.0145037 	1750.000000	0.01408   	1750.000000	0.0139901 	1750.000000	0.0140798 	1750.000000	0.0145025 	1750.000000	1.22386e-06	
1800.000000	0.0139709 	1800.000000	0.0144952 	1800.000000	0.0140489 	1800.000000	0.0139592 	1800.000000	0.0140486 	1800.000000	0.014494  	1800.000000	1.19208e-06	
1850.000000	0.0139763 	1850.000000	0.0144907 	1850.000000	0.014021  	1850.000000	0.0139314 	1850.000000	0.0140206 	1850.000000	0.0144895 	1850.000000	1.16197e-06	
1900.000000	0.013986  	1900.000000	0.0144898 	1900.000000	0.0139959 	1900.000000	0.0139065 	1900.000000	0.0139955 	1900.000000	0.0144887 	1900.000000	1.13338e-06	
1950.000000	0.0139997 	1950.000000	0.0144923 	1950.000000	0.0139735 	1950.000000	0.0138842 	1950.000000	0.0139731 	1950.000000	0.0144912 	1950.000000	1.1062e-06	
2000.000000	0.014017  	2000.000000	0.014498  	2000.000000	0.0139534 	2000.000000	0.0138643 	2000.000000	0.013953  	2000.000000	0.0144969 	2000.000000	1.08034e-06	
2100.000000	0.0140619 	2100.000000	0.0145178 	2100.000000	0.0139194 	2100.000000	0.0138308 	2100.000000	0.0139192 	2100.000000	0.0145167 	2100.000000	1.03219e-06	
2200.000000	0.014119  	2200.000000	0.0145476 	2200.000000	0.0138927 	2200.000000	0.0138047 	2200.000000	0.0138927 	2200.000000	0.0145466 	2200.000000	9.88271e-07	
2300.000000	0.0141868 	2300.000000	0.0145862 	2300.000000	0.0138723 	2300.000000	0.0137847 	2300.000000	0.0138725 	2300.000000	0.0145852 	2300.000000	9.48043e-07	
2400.000000	0.0142642 	2400.000000	0.0146324 	2400.000000	0.0138573 	2400.000000	0.0137699 	2400.000000	0.0138575 	2400.000000	0.0146315 	2400.000000	9.11055e-07	
2500.000000	0.0143503 	2500.000000	0.0146853 	2500.000000	0.0138468 	2500.000000	0.0137596 	2500.000000	0.013847  	2500.000000	0.0146845 	2500.000000	8.76927e-07	
2600.000000	0.014444  	2600.000000	0.0147442 	2600.000000	0.0138402 	2600.000000	0.0137532 	2600.000000	0.0138403 	2600.000000	0.0147434 	2600.000000	8.45337e-07	
2700.000000	0.0145448 	2700.000000	0.0148084 	2700.000000	0.0138369 	2700.000000	0.0137499 	2700.000000	0.0138369 	2700.000000	0.0148075 	2700.000000	8.1601e-07	
2800.000000	0.014652  	2800.000000	0.0148772 	2800.000000	0.0138364 	2800.000000	0.0137495 	2800.000000	0.0138364 	2800.000000	0.0148764 	2800.000000	7.88708e-07	
2900.000000	0.0147651 	2900.000000	0.0149503 	2900.000000	0.0138383 	2900.000000	0.0137515 	2900.000000	0.0138382 	2900.000000	0.0149495 	2900.000000	7.63226e-07	
3000.000000	0.0148835 	3000.000000	0.0150271 	3000.000000	0.0138423 	3000.000000	0.0137555 	3000.000000	0.0138421 	3000.000000	0.0150264 	3000.000000	7.39387e-07	
3200.000000	0.0151349 	3200.000000	0.0151906 	3200.000000	0.0138554 	3200.000000	0.0137688 	3200.000000	0.0138551 	3200.000000	0.0151899 	3200.000000	6.96034e-07	
3400.000000	0.0154034 	3400.000000	0.0153654 	3400.000000	0.0138739 	3400.000000	0.0137875 	3400.000000	0.0138736 	3400.000000	0.0153647 	3400.000000	6.57618e-07	
3600.000000	0.015687  	3600.000000	0.0155494 	3600.000000	0.0138964 	3600.000000	0.0138102 	3600.000000	0.0138961 	3600.000000	0.0155488 	3600.000000	6.23335e-07	
3800.000000	0.0159837 	3800.000000	0.0157411 	3800.000000	0.0139219 	3800.000000	0.013836  	3800.000000	0.0139217 	3800.000000	0.0157406 	3800.000000	5.92544e-07	
4000.000000	0.0162924 	4000.000000	0.0159394 	4000.000000	0.0139497 	4000.000000	0.013864  	4000.000000	0.0139495 	4000.000000	0.0159389 	4000.000000	5.64735e-07	
4200.000000	0.0166118 	4200.000000	0.0161433 	4200.000000	0.0139792 	4200.000000	0.0138937 	4200.000000	0.013979  	4200.000000	0.0161427 	4200.000000	5.39489e-07	
4400.000000	0.016941  	4400.000000	0.0163518 	4400.000000	0.0140099 	4400.000000	0.0139245 	4400.000000	0.0140097 	4400.000000	0.0163513 	4400.000000	5.16466e-07	
4600.000000	0.0172792 	4600.000000	0.0165645 	4600.000000	0.0140414 	4600.000000	0.0139562 	4600.000000	0.0140413 	4600.000000	0.016564  	4600.000000	4.9538e-07	
4800.000000	0.0176258 	4800.000000	0.0167807 	4800.000000	0.0140735 	4800.000000	0.0139884 	4800.000000	0.0140734 	4800.000000	0.0167802 	4800.000000	4.75996e-07	
5000.000000	0.0179802 	5000.000000	0.0169999 	5000.000000	0.0141059 	5000.000000	0.0140209 	5000.000000	0.0141058 	5000.000000	0.0169995 	5000.000000	4.58114e-07	
5250.000000	0.0184334 	5250.000000	0.0172777 	5250.000000	0.0141466 	5250.000000	0.0140618 	5250.000000	0.0141465 	5250.000000	0.0172773 	5250.000000	4.37616e-07	
5500.000000	0.0188974 	5500.000000	0.017559  	5500.000000	0.0141873 	5500.000000	0.0141026 	5500.000000	0.0141872 	5500.000000	0.0175586 	5500.000000	4.18923e-07	
6000.000000	0.019855  	6000.000000	0.0181303 	6000.000000	0.0142678 	6000.000000	0.0141834 	6000.000000	0.0142678 	6000.000000	0.0181299 	6000.000000	3.86069e-07	
6500.000000	0.020849  	6500.000000	0.0187105 	6500.000000	0.0143465 	6500.000000	0.0142623 	6500.000000	0.0143465 	6500.000000	0.0187101 	6500.000000	3.58117e-07	
7000.000000	0.0218765 	7000.000000	0.0192974 	7000.000000	0.0144229 	7000.000000	0.0143388 	7000.000000	0.0144228 	7000.000000	0.019297  	7000.000000	3.34038e-07	
7500.000000	0.0229353 	7500.000000	0.0198893 	7500.000000	0.0144963 	7500.000000	0.0144126 	7500.000000	0.0144964 	7500.000000	0.019889  	7500.000000	3.13072e-07	
8000.000000	0.0240239 	8000.000000	0.020485  	8000.000000	0.0145671 	8000.000000	0.0144837 	8000.000000	0.0145673 	8000.000000	0.0204847 	8000.000000	2.94649e-07	
8500.000000	0.025141  	8500.000000	0.0210836 	8500.000000	0.0146354 	8500.000000	0.014552  	8500.000000	0.0146354 	8500.000000	0.0210833 	8500.000000	2.78328e-07	
9000.000000	0.0262857 	9000.000000	0.0216843 	9000.000000	0.0147011 	9000.000000	0.0146177 	9000.000000	0.0147009 	9000.000000	0.0216841 	9000.000000	2.63765e-07	
9500.000000	0.0274571 	9500.000000	0.0222867 	9500.000000	0.014764  	9500.000000	0.0146807 	9500.000000	0.0147638 	9500.000000	0.0222865 	9500.000000	2.5069e-07	
10000.000000	0.0286548 	10000.000000	0.0228903 	10000.000000	0.0148241 	10000.000000	0.0147414 	10000.000000	0.0148242 	10000.000000	0.0228901 	10000.000000	2.38882e-07	
11000.000000	0.0311267 	11000.000000	0.0241    	11000.000000	0.0149376 	11000.000000	0.0148557 	11000.000000	0.0149381 	11000.000000	0.0240998 	11000.000000	2.18394e-07	
12000.000000	0.0336987 	12000.000000	0.0253113 	12000.000000	0.0150437 	12000.000000	0.0149618 	12000.000000	0.0150437 	12000.000000	0.0253111 	12000.000000	2.01222e-07	
13000.000000	0.0363688 	13000.000000	0.026523  	13000.000000	0.0151422 	13000.000000	0.0150604 	13000.000000	0.0151419 	13000.000000	0.0265228 	13000.000000	1.86616e-07	
14000.000000	0.0391356 	14000.000000	0.0277343 	14000.000000	0.0152336 	14000.000000	0.0151524 	14000.000000	0.0152334 	14000.000000	0.0277341 	14000.000000	1.74037e-07	
15000.000000	0.0419984 	15000.000000	0.0289446 	15000.000000	0.0153187 	15000.000000	0.0152386 	15000.000000	0.0153191 	15000.000000	0.0289444 	15000.000000	1.63086e-07	
16000.000000	0.0449565 	16000.000000	0.0301536 	16000.000000	0.0153987 	16000.000000	0.0153195 	16000.000000	0.0153994 	16000.000000	0.0301534 	16000.000000	1.53465e-07	
17000.000000	0.0480097 	17000.000000	0.0313609 	17000.000000	0.015474  	17000.000000	0.0153956 	17000.000000	0.0154751 	17000.000000	0.0313608 	17000.000000	1.44943e-07	
18000.000000	0.0511578 	18000.000000	0.0325665 	18000.000000	0.0155454 	18000.000000	0.0154676 	18000.000000	0.0155464 	18000.000000	0.0325664 	18000.000000	1.37341e-07	
19000.000000	0.0544007 	19000.000000	0.0337703 	19000.000000	0.0156132 	19000.000000	0.0155357 	19000.000000	0.0156139 	19000.000000	0.0337701 	19000.000000	1.30516e-07	
20000.000000	0.0577385 	20000.000000	0.0349721 	20000.000000	0.0156776 	20000.000000	0.0156004 	20000.000000	0.0156779 	20000.000000	0.0349719 	20000.000000	1.24354e-07	
21000.000000	0.0611714 	21000.000000	0.0361719 	21000.000000	0.0157388 	21000.000000	0.0156618 	21000.000000	0.0157387 	21000.000000	0.0361718 	21000.000000	1.18761e-07	
22000.000000	0.0646994 	22000.000000	0.0373697 	22000.000000	0.0157965 	22000.000000	0.0157204 	22000.000000	0.0157966 	22000.000000	0.0373696 	22000.000000	1.13663e-07	
23000.000000	0.068323  	23000.000000	0.0385656 	23000.000000	0.0158516 	23000.000000	0.0157764 	23000.000000	0.0158518 	23000.000000	0.0385655 	23000.000000	1.08995e-07	
24000.000000	0.0720423 	24000.000000	0.0397596 	24000.000000	0.0159044 	24000.000000	0.0158299 	24000.000000	0.0159045 	24000.000000	0.0397595 	24000.000000	1.04705e-07	
25000.000000	0.0758578 	25000.000000	0.0409516 	25000.000000	0.0159548 	25000.000000	0.0158811 	25000.000000	0.015955  	25000.000000	0.0409515 	25000.000000	1.00748e-07	
26000.000000	0.0797696 	26000.000000	0.0421417 	26000.000000	0.0160033 	26000.000000	0.0159303 	26000.000000	0.0160033 	26000.000000	0.0421416 	26000.000000	9.7087e-08	
27000.000000	0.0837783 	27000.000000	0.0433299 	27000.000000	0.0160498 	27000.000000	0.0159776 	27000.000000	0.0160498 	27000.000000	0.0433298 	27000.000000	9.36893e-08	
28000.000000	0.0878843 	28000.000000	0.0445162 	28000.000000	0.0160946 	28000.000000	0.0160231 	28000.000000	0.0160943 	28000.000000	0.0445162 	28000.000000	9.05274e-08	
29000.000000	0.0920878 	29000.000000	0.0457008 	29000.000000	0.0161376 	29000.000000	0.0160669 	29000.000000	0.0161373 	29000.000000	0.0457007 	29000.000000	8.75773e-08	
30000.000000	0.0963895 	30000.000000	0.0468836 	30000.000000	0.016179  	30000.000000	0.0161092 	30000.000000	0.0161786 	30000.000000	0.0468836 	30000.000000	8.48182e-08	
32000.000000	0.105289  	32000.000000	0.0492441 	32000.000000	0.0162575 	32000.000000	0.0161894 	32000.000000	0.0162569 	32000.000000	0.049244  	32000.000000	7.9803e-08	
34000.000000	0.114586  	34000.000000	0.051598  	34000.000000	0.0163307 	34000.000000	0.0162646 	34000.000000	0.0163299 	34000.000000	0.0515979 	34000.000000	7.53614e-08	
36000.000000	0.124285  	36000.000000	0.0539455 	36000.000000	0.0163992 	36000.000000	0.0163353 	36000.000000	0.0163983 	36000.000000	0.0539455 	36000.000000	7.13997e-08	
38000.000000	0.134389  	38000.000000	0.056287  	38000.000000	0.0164632 	38000.000000	0.0164019 	38000.000000	0.0164626 	38000.000000	0.0562869 	38000.000000	6.78435e-08	
40000.000000	0.144904  	40000.000000	0.0586227 	40000.000000	0.0165235 	40000.000000	0.0164649 	40000.000000	0.0165232 	40000.000000	0.0586227 	40000.000000	6.46331e-08	
42000.000000	0.155832  	42000.000000	0.0609529 	42000.000000	0.0165805 	42000.000000	0.0165247 	42000.000000	0.0165804 	42000.000000	0.0609528 	42000.000000	6.172e-08 	
44000.000000	0.167179  	44000.000000	0.0632778 	44000.000000	0.0166348 	44000.000000	0.0165815 	44000.000000	0.0166346 	44000.000000	0.0632777 	44000.000000	5.90644e-08	
46000.000000	0.178949  	46000.000000	0.0655975 	46000.000000	0.0166865 	46000.000000	0.0166356 	46000.000000	0.0166859 	46000.000000	0.0655975 	46000.000000	5.66334e-08	
48000.000000	0.191146  	48000.000000	0.0679124 	48000.000000	0.0167358 	48000.000000	0.0166874 	48000.000000	0.0167347 	48000.000000	0.0679124 	48000.000000	5.43993e-08	
50000.000000	0.203774  	50000.000000	0.0702226 	50000.000000	0.0167828 	50000.000000	0.0167368 	50000.000000	0.0167811 	50000.000000	0.0702225 	50000.000000	5.23391e-08	
