Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.750000	1.06778   	1.750000	1.09683   	1.750000	1.0519    	1.750000	1.0519    	1.750000	1.0519    	1.750000	1.09617   	1.750000	0.000664344	
2.000000	0.982887  	2.000000	1.01261   	2.000000	0.982328  	2.000000	0.982328  	2.000000	0.982328  	2.000000	1.01202   	2.000000	0.000590765	
2.250000	0.912277  	2.250000	0.941348  	2.250000	0.921502  	2.250000	0.921502  	2.250000	0.921503  	2.250000	0.940815  	2.250000	0.000532545	
2.500000	0.849611  	2.500000	0.881235  	2.500000	0.867804  	2.500000	0.867804  	2.500000	0.867805  	2.500000	0.88075   	2.500000	0.000485264	
3.000000	0.757123  	3.000000	0.784223  	3.000000	0.777275  	3.000000	0.777275  	3.000000	0.777275  	3.000000	0.78381   	3.000000	0.000413001	
3.500000	0.683643  	3.500000	0.708024  	3.500000	0.703954  	3.500000	0.703954  	3.500000	0.703954  	3.500000	0.707663  	3.500000	0.000360244	
4.000000	0.623845  	4.000000	0.646391  	4.000000	0.643423  	4.000000	0.643423  	4.000000	0.643424  	4.000000	0.646071  	4.000000	0.000319946	
4.500000	0.574209  	4.500000	0.595323  	4.500000	0.592646  	4.500000	0.592646  	4.500000	0.592646  	4.500000	0.595035  	4.500000	0.000288106	
5.000000	0.532325  	5.000000	0.552153  	5.000000	0.549462  	5.000000	0.549462  	5.000000	0.549462  	5.000000	0.55189   	5.000000	0.000262282	
5.500000	0.496489  	5.500000	0.515099  	5.500000	0.512296  	5.500000	0.512296  	5.500000	0.512297  	5.500000	0.514858  	5.500000	0.000240895	
6.000000	0.465464  	6.000000	0.482908  	6.000000	0.479977  	6.000000	0.479977  	6.000000	0.479978  	6.000000	0.482685  	6.000000	0.000222876	
6.500000	0.438332  	6.500000	0.454659  	6.500000	0.451615  	6.500000	0.451615  	6.500000	0.451615  	6.500000	0.454451  	6.500000	0.000207477	
7.000000	0.414393  	7.000000	0.429656  	7.000000	0.426523  	7.000000	0.426523  	7.000000	0.426523  	7.000000	0.429462  	7.000000	0.000194158	
7.500000	0.393108  	7.500000	0.407363  	7.500000	0.404165  	7.500000	0.404165  	7.500000	0.404165  	7.500000	0.40718   	7.500000	0.000182518	
8.000000	0.374052  	8.000000	0.387356  	8.000000	0.384115  	8.000000	0.384115  	8.000000	0.384116  	8.000000	0.387183  	8.000000	0.000172254	
8.500000	0.356889  	8.500000	0.369297  	8.500000	0.366032  	8.500000	0.366032  	8.500000	0.366032  	8.500000	0.369134  	8.500000	0.000163133	
9.000000	0.341345  	9.000000	0.352912  	9.000000	0.349638  	9.000000	0.349638  	9.000000	0.349638  	9.000000	0.352757  	9.000000	0.00015497	
9.500000	0.327199  	9.500000	0.337977  	9.500000	0.334704  	9.500000	0.334704  	9.500000	0.334704  	9.500000	0.33783   	9.500000	0.00014762	
10.000000	0.314267  	10.000000	0.320083  	10.000000	0.321043  	10.000000	0.321043  	10.000000	0.321043  	10.000000	0.319942  	10.000000	0.000140966	
11.000000	0.291463  	11.000000	0.297405  	11.000000	0.296685  	11.000000	0.296889  	11.000000	0.296758  	11.000000	0.297275  	11.000000	0.000129379	
12.000000	0.271982  	12.000000	0.277882  	12.000000	0.275966  	12.000000	0.276303  	12.000000	0.276069  	12.000000	0.277762  	12.000000	0.000119626	
13.000000	0.255138  	13.000000	0.260901  	13.000000	0.258135  	13.000000	0.258558  	13.000000	0.258247  	13.000000	0.26079   	13.000000	0.000111296	
14.000000	0.240422  	14.000000	0.245997  	14.000000	0.242635  	14.000000	0.243114  	14.000000	0.242746  	14.000000	0.245893  	14.000000	0.000104097	
15.000000	0.22745   	15.000000	0.23281   	15.000000	0.229042  	15.000000	0.229558  	15.000000	0.229149  	15.000000	0.232712  	15.000000	9.78092e-05	
16.000000	0.215924  	16.000000	0.221059  	16.000000	0.217037  	16.000000	0.217569  	16.000000	0.217134  	16.000000	0.220966  	16.000000	9.22679e-05	
17.000000	0.205613  	17.000000	0.21052   	17.000000	0.206365  	17.000000	0.206898  	17.000000	0.206448  	17.000000	0.210433  	17.000000	8.73459e-05	
18.000000	0.19633   	18.000000	0.201015  	18.000000	0.196813  	18.000000	0.197344  	18.000000	0.196885  	18.000000	0.200932  	18.000000	8.29434e-05	
19.000000	0.187928  	19.000000	0.192398  	19.000000	0.188218  	19.000000	0.188745  	19.000000	0.188285  	19.000000	0.192319  	19.000000	7.89813e-05	
20.000000	0.180284  	20.000000	0.184549  	20.000000	0.180455  	20.000000	0.180969  	20.000000	0.180514  	20.000000	0.184474  	20.000000	7.53958e-05	
21.000000	0.1733    	21.000000	0.177369  	21.000000	0.173413  	21.000000	0.173908  	21.000000	0.17346   	21.000000	0.177297  	21.000000	7.21349e-05	
22.000000	0.166891  	22.000000	0.170776  	22.000000	0.166997  	22.000000	0.167472  	22.000000	0.167036  	22.000000	0.170707  	22.000000	6.91557e-05	
23.000000	0.160988  	23.000000	0.164699  	23.000000	0.161128  	23.000000	0.161584  	23.000000	0.161162  	23.000000	0.164633  	23.000000	6.64229e-05	
24.000000	0.155533  	24.000000	0.15908   	24.000000	0.155743  	24.000000	0.156181  	24.000000	0.155775  	24.000000	0.159017  	24.000000	6.39067e-05	
25.000000	0.150476  	25.000000	0.153869  	25.000000	0.150788  	25.000000	0.151209  	25.000000	0.150819  	25.000000	0.153808  	25.000000	6.15818e-05	
27.000000	0.14139   	27.000000	0.144502  	27.000000	0.141995  	27.000000	0.142377  	27.000000	0.142024  	27.000000	0.144445  	27.000000	5.74243e-05	
29.000000	0.133454  	29.000000	0.136318  	29.000000	0.134453  	29.000000	0.134787  	29.000000	0.134473  	29.000000	0.136264  	29.000000	5.38133e-05	
31.000000	0.126459  	31.000000	0.129103  	31.000000	0.127665  	31.000000	0.127938  	31.000000	0.127677  	31.000000	0.129053  	31.000000	5.06464e-05	
33.000000	0.120245  	33.000000	0.122694  	33.000000	0.121405  	33.000000	0.121623  	33.000000	0.121419  	33.000000	0.122647  	33.000000	4.78454e-05	
35.000000	0.114686  	35.000000	0.116962  	35.000000	0.115803  	35.000000	0.115972  	35.000000	0.115817  	35.000000	0.116916  	35.000000	4.53497e-05	
38.000000	0.107362  	38.000000	0.109411  	38.000000	0.10842   	38.000000	0.108528  	38.000000	0.10843   	38.000000	0.109369  	38.000000	4.20762e-05	
41.000000	0.101031  	41.000000	0.102888  	41.000000	0.102038  	41.000000	0.102092  	41.000000	0.102039  	41.000000	0.102848  	41.000000	3.92602e-05	
44.000000	0.0955002 	44.000000	0.0971927 	44.000000	0.0964482 	44.000000	0.0964708 	44.000000	0.0964525 	44.000000	0.0971559 	44.000000	3.68109e-05	
47.000000	0.0906244 	47.000000	0.0921762 	47.000000	0.0915268 	47.000000	0.0915157 	47.000000	0.0915255 	47.000000	0.0921415 	47.000000	3.46602e-05	
50.000000	0.0862919 	50.000000	0.0877222 	50.000000	0.0871513 	50.000000	0.0871134 	50.000000	0.087146  	50.000000	0.0876895 	50.000000	3.2756e-05	
55.000000	0.0800485 	55.000000	0.0813115 	55.000000	0.0808358 	55.000000	0.0807712 	55.000000	0.0808326 	55.000000	0.0812815 	55.000000	3.00238e-05	
60.000000	0.0747747 	60.000000	0.0759051 	60.000000	0.0755015 	60.000000	0.0754166 	60.000000	0.0754989 	60.000000	0.0758774 	60.000000	2.77274e-05	
65.000000	0.0702571 	65.000000	0.0712817 	65.000000	0.0709272 	65.000000	0.0708327 	65.000000	0.0709303 	65.000000	0.0712559 	65.000000	2.5769e-05	
70.000000	0.0663409 	70.000000	0.067281  	70.000000	0.0669743 	70.000000	0.0668622 	70.000000	0.0669712 	70.000000	0.0672569 	70.000000	2.40785e-05	
75.000000	0.0629114 	75.000000	0.0637838 	75.000000	0.0635041 	75.000000	0.0633883 	75.000000	0.0635058 	75.000000	0.0637612 	75.000000	2.26036e-05	
80.000000	0.0598813 	80.000000	0.0606997 	80.000000	0.0604484 	80.000000	0.0603221 	80.000000	0.0604461 	80.000000	0.0606784 	80.000000	2.13052e-05	
85.000000	0.0571834 	85.000000	0.0579589 	85.000000	0.057723  	85.000000	0.0575952 	85.000000	0.057724  	85.000000	0.0579388 	85.000000	2.01531e-05	
90.000000	0.0547647 	90.000000	0.0555066 	90.000000	0.0552895 	90.000000	0.0551535 	90.000000	0.0552858 	90.000000	0.0554874 	90.000000	1.91235e-05	
95.000000	0.052583  	95.000000	0.0532989 	95.000000	0.0530903 	95.000000	0.0529541 	95.000000	0.0530891 	95.000000	0.0532807 	95.000000	1.81977e-05	
100.000000	0.0506045 	100.000000	0.0513007 	100.000000	0.0510987 	100.000000	0.0509622 	100.000000	0.0510993 	100.000000	0.0512834 	100.000000	1.73605e-05	
105.000000	0.0488013 	105.000000	0.0494833 	105.000000	0.0492857 	105.000000	0.0491495 	105.000000	0.049288  	105.000000	0.0494667 	105.000000	1.65997e-05	
