*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.107733  	0.001000	0.107733  	0.001000	0.123506  	0.001000	0.123506  	0.001000	0.0648476 	0.001000	0.0428852 	
0.002000	0.124294  	0.002000	0.124294  	0.002000	0.143366  	0.002000	0.143366  	0.002000	0.0949424 	0.002000	0.0293513 	
0.005000	0.173429  	0.005000	0.173429  	0.005000	0.196547  	0.005000	0.196547  	0.005000	0.157155  	0.005000	0.0162744 	
0.008000	0.215085  	0.008000	0.215085  	0.008000	0.2396    	0.008000	0.2396    	0.008000	0.203513  	0.008000	0.0115716 	
0.010000	0.239918  	0.010000	0.239918  	0.010000	0.264774  	0.010000	0.264774  	0.010000	0.230088  	0.010000	0.00983055	
0.015000	0.281597  	0.015000	0.281597  	0.015000	0.299212  	0.015000	0.299212  	0.015000	0.274349  	0.015000	0.00724814	
0.020000	0.314302  	0.020000	0.314302  	0.020000	0.331899  	0.020000	0.331899  	0.020000	0.308497  	0.020000	0.00580564	
0.025000	0.3499    	0.025000	0.3499    	0.025000	0.36267   	0.025000	0.36267   	0.025000	0.345026  	0.025000	0.00487382	
0.030000	0.378765  	0.030000	0.378765  	0.030000	0.381039  	0.030000	0.381039  	0.030000	0.374547  	0.030000	0.00421764	
0.035000	0.401855  	0.035000	0.401855  	0.035000	0.397336  	0.035000	0.397336  	0.035000	0.398127  	0.035000	0.00372827	
0.040000	0.419569  	0.040000	0.419569  	0.040000	0.411771  	0.040000	0.411771  	0.040000	0.416221  	0.040000	0.003348  	
0.045000	0.43219   	0.045000	0.43219   	0.045000	0.424523  	0.045000	0.424523  	0.045000	0.429147  	0.045000	0.00304324	
0.050000	0.44008   	0.050000	0.44008   	0.050000	0.43575   	0.050000	0.43575   	0.050000	0.437286  	0.050000	0.00279305	
0.055000	0.457584  	0.055000	0.457584  	0.055000	0.445592  	0.055000	0.445592  	0.055000	0.455001  	0.055000	0.00258366	
0.060000	0.47214   	0.060000	0.47214   	0.060000	0.454181  	0.060000	0.454181  	0.060000	0.469734  	0.060000	0.00240561	
0.070000	0.493343  	0.070000	0.493343  	0.070000	0.468066  	0.070000	0.468066  	0.070000	0.491225  	0.070000	0.00211853	
0.080000	0.516075  	0.080000	0.516075  	0.080000	0.47826   	0.080000	0.47826   	0.080000	0.514178  	0.080000	0.00189659	
0.090000	0.532459  	0.090000	0.532459  	0.090000	0.485491  	0.090000	0.485491  	0.090000	0.530739  	0.090000	0.00171948	
0.100000	0.544553  	0.100000	0.544553  	0.100000	0.49037   	0.100000	0.49037   	0.100000	0.542978  	0.100000	0.0015746 	
0.120000	0.55223   	0.120000	0.55223   	0.120000	0.495004  	0.120000	0.495004  	0.120000	0.550879  	0.120000	0.0013512 	
0.140000	0.553564  	0.140000	0.553564  	0.140000	0.495162  	0.140000	0.495162  	0.140000	0.552377  	0.140000	0.00118646	
0.160000	0.553608  	0.160000	0.553608  	0.160000	0.492739  	0.160000	0.492739  	0.160000	0.552549  	0.160000	0.00105959	
0.180000	0.552931  	0.180000	0.552931  	0.180000	0.488887  	0.180000	0.488887  	0.180000	0.551972  	0.180000	0.00095867	
0.200000	0.554393  	0.200000	0.554393  	0.200000	0.48428   	0.200000	0.48428   	0.200000	0.553517  	0.200000	0.000876336	
0.250000	0.543046  	0.250000	0.543046  	0.250000	0.471607  	0.250000	0.471607  	0.250000	0.542322  	0.250000	0.000724  	
0.300000	0.541272  	0.300000	0.541272  	0.300000	0.461931  	0.300000	0.461931  	0.300000	0.540653  	0.300000	0.000618946	
0.350000	0.534979  	0.350000	0.534979  	0.350000	0.452241  	0.350000	0.452241  	0.350000	0.534437  	0.350000	0.00054184	
0.400000	0.525947  	0.400000	0.525947  	0.400000	0.441658  	0.400000	0.441658  	0.400000	0.525465  	0.400000	0.000482686	
0.450000	0.51406   	0.450000	0.51406   	0.450000	0.430363  	0.450000	0.430363  	0.450000	0.513624  	0.450000	0.000435779	
0.500000	0.502503  	0.500000	0.502503  	0.500000	0.419381  	0.500000	0.419381  	0.500000	0.502106  	0.500000	0.000397614	
0.600000	0.46116   	0.600000	0.46116   	0.600000	0.398568  	0.600000	0.398568  	0.600000	0.460821  	0.600000	0.000339152	
0.700000	0.419768  	0.700000	0.419768  	0.700000	0.379375  	0.700000	0.379375  	0.700000	0.419472  	0.700000	0.000296359	
