*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.750000	0.404175  	1.750000	0.457374  	1.750000	0.439062  	1.750000	0.439062  	1.750000	0.439062  	1.750000	0.457047  	1.750000	0.000327279	
2.000000	0.372043  	2.000000	0.422522  	2.000000	0.411061  	2.000000	0.411061  	2.000000	0.411062  	2.000000	0.422231  	2.000000	0.00029114	
2.250000	0.345316  	2.250000	0.392091  	2.250000	0.386596  	2.250000	0.386596  	2.250000	0.386597  	2.250000	0.391828  	2.250000	0.000262533	
2.500000	0.321596  	2.500000	0.366527  	2.500000	0.364966  	2.500000	0.364966  	2.500000	0.364966  	2.500000	0.366288  	2.500000	0.000239291	
3.000000	0.286587  	3.000000	0.325479  	3.000000	0.328358  	3.000000	0.328358  	3.000000	0.328358  	3.000000	0.325276  	3.000000	0.000203753	
3.500000	0.258773  	3.500000	0.293416  	3.500000	0.298531  	3.500000	0.298531  	3.500000	0.298532  	3.500000	0.293239  	3.500000	0.000177793	
4.000000	0.236139  	4.000000	0.267589  	4.000000	0.273767  	4.000000	0.273767  	4.000000	0.273767  	4.000000	0.267431  	4.000000	0.000157954	
4.500000	0.21735   	4.500000	0.246255  	4.500000	0.252885  	4.500000	0.252885  	4.500000	0.252885  	4.500000	0.246113  	4.500000	0.000142275	
5.000000	0.201496  	5.000000	0.228264  	5.000000	0.235046  	5.000000	0.235046  	5.000000	0.235046  	5.000000	0.228134  	5.000000	0.000129553	
5.500000	0.187931  	5.500000	0.212946  	5.500000	0.219632  	5.500000	0.219632  	5.500000	0.219632  	5.500000	0.212827  	5.500000	0.000119014	
6.000000	0.176188  	6.000000	0.199658  	6.000000	0.206181  	6.000000	0.206181  	6.000000	0.206182  	6.000000	0.199548  	6.000000	0.000110133	
6.500000	0.165918  	6.500000	0.188012  	6.500000	0.19434   	6.500000	0.19434   	6.500000	0.194341  	6.500000	0.18791   	6.500000	0.000102541	
7.000000	0.156856  	7.000000	0.177715  	7.000000	0.183836  	7.000000	0.183836  	7.000000	0.183836  	7.000000	0.177619  	7.000000	9.59731e-05	
7.500000	0.148799  	7.500000	0.16854   	7.500000	0.174453  	7.500000	0.174453  	7.500000	0.174453  	7.500000	0.16845   	7.500000	9.02323e-05	
8.000000	0.141587  	8.000000	0.160312  	8.000000	0.16602   	8.000000	0.16602   	8.000000	0.16602   	8.000000	0.160227  	8.000000	8.51693e-05	
8.500000	0.13509   	8.500000	0.152889  	8.500000	0.158398  	8.500000	0.158398  	8.500000	0.158398  	8.500000	0.152809  	8.500000	8.06691e-05	
9.000000	0.129206  	9.000000	0.146157  	9.000000	0.151475  	9.000000	0.151475  	9.000000	0.151475  	9.000000	0.146081  	9.000000	7.66414e-05	
9.500000	0.123852  	9.500000	0.140023  	9.500000	0.145158  	9.500000	0.145158  	9.500000	0.145158  	9.500000	0.13995   	9.500000	7.30143e-05	
10.000000	0.118957  	10.000000	0.137017  	10.000000	0.13937   	10.000000	0.13937   	10.000000	0.13937   	10.000000	0.136947  	10.000000	6.97302e-05	
11.000000	0.110325  	11.000000	0.127352  	11.000000	0.129027  	11.000000	0.129114  	11.000000	0.129046  	11.000000	0.127288  	11.000000	6.40103e-05	
12.000000	0.102951  	12.000000	0.119026  	12.000000	0.120183  	12.000000	0.120328  	12.000000	0.120205  	12.000000	0.118967  	12.000000	5.91943e-05	
13.000000	0.0965749 	13.000000	0.111779  	13.000000	0.112537  	13.000000	0.112718  	13.000000	0.112554  	13.000000	0.111724  	13.000000	5.5081e-05	
14.000000	0.0910047 	14.000000	0.105415  	14.000000	0.105861  	14.000000	0.106066  	14.000000	0.10587   	14.000000	0.105364  	14.000000	5.15249e-05	
15.000000	0.0860945 	15.000000	0.0997818 	15.000000	0.0999836 	15.000000	0.100205  	15.000000	0.099985  	15.000000	0.0997333 	15.000000	4.84186e-05	
16.000000	0.0817319 	16.000000	0.0947599 	16.000000	0.0947741 	16.000000	0.0950021 	16.000000	0.0947656 	16.000000	0.0947142 	16.000000	4.56807e-05	
17.000000	0.0778288 	17.000000	0.0902548 	17.000000	0.090127  	17.000000	0.0903554 	17.000000	0.0901073 	17.000000	0.0902116 	17.000000	4.32485e-05	
18.000000	0.0743152 	18.000000	0.0861903 	18.000000	0.0859541 	18.000000	0.0861817 	18.000000	0.0859255 	18.000000	0.0861492 	18.000000	4.10727e-05	
19.000000	0.0711347 	19.000000	0.0825044 	19.000000	0.082188  	19.000000	0.0824137 	19.000000	0.0821532 	19.000000	0.0824653 	19.000000	3.91144e-05	
20.000000	0.0682414 	20.000000	0.0791464 	20.000000	0.0787763 	20.000000	0.0789965 	20.000000	0.0787347 	20.000000	0.079109  	20.000000	3.7342e-05	
21.000000	0.0655975 	21.000000	0.0760739 	21.000000	0.0756728 	21.000000	0.0758848 	21.000000	0.0756229 	21.000000	0.0760382 	21.000000	3.57298e-05	
22.000000	0.0631716 	22.000000	0.0732519 	22.000000	0.0728372 	22.000000	0.0730406 	22.000000	0.0727809 	22.000000	0.0732176 	22.000000	3.42568e-05	
23.000000	0.0609373 	23.000000	0.0706506 	23.000000	0.0702368 	23.000000	0.0704321 	23.000000	0.0701755 	23.000000	0.0706177 	23.000000	3.29055e-05	
24.000000	0.0588725 	24.000000	0.0682449 	24.000000	0.0678446 	24.000000	0.0680323 	24.000000	0.0677801 	24.000000	0.0682133 	24.000000	3.16612e-05	
25.000000	0.0569582 	25.000000	0.0660134 	25.000000	0.0656379 	25.000000	0.0658182 	25.000000	0.065571  	25.000000	0.0659829 	25.000000	3.05115e-05	
27.000000	0.0535189 	27.000000	0.0620016 	27.000000	0.0617075 	27.000000	0.061871  	27.000000	0.0616357 	27.000000	0.0619731 	27.000000	2.84551e-05	
