*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.153178  	0.001000	0.082614  	0.001000	0.0969503 	0.001000	0.0969503 	0.001000	0.0969103 	0.001000	0.0449264 	0.001000	0.0376876 	
0.002000	0.17922   	0.002000	0.0951442 	0.002000	0.113178  	0.002000	0.113178  	0.002000	0.113152  	0.002000	0.0657762 	0.002000	0.0293681 	
0.005000	0.252309  	0.005000	0.127452  	0.005000	0.151089  	0.005000	0.151089  	0.005000	0.151077  	0.005000	0.108877  	0.005000	0.0185747 	
0.008000	0.313512  	0.008000	0.155022  	0.008000	0.181646  	0.008000	0.181646  	0.008000	0.181638  	0.008000	0.140994  	0.008000	0.0140277 	
0.010000	0.349908  	0.010000	0.171574  	0.010000	0.199572  	0.010000	0.199572  	0.010000	0.199565  	0.010000	0.159405  	0.010000	0.0121691 	
0.015000	0.410949  	0.015000	0.208511  	0.015000	0.238802  	0.015000	0.238802  	0.015000	0.238798  	0.015000	0.199229  	0.015000	0.00928222	
0.020000	0.4588    	0.020000	0.239471  	0.020000	0.276749  	0.020000	0.276749  	0.020000	0.276817  	0.020000	0.231949  	0.020000	0.00752199	
0.025000	0.510842  	0.025000	0.270124  	0.025000	0.313834  	0.025000	0.313834  	0.025000	0.313832  	0.025000	0.263711  	0.025000	0.00641224	
0.030000	0.553034  	0.030000	0.298126  	0.030000	0.338433  	0.030000	0.338433  	0.030000	0.338431  	0.030000	0.292513  	0.030000	0.00561225	
0.035000	0.586782  	0.035000	0.322575  	0.035000	0.360217  	0.035000	0.360217  	0.035000	0.360215  	0.035000	0.317569  	0.035000	0.00500523	
0.040000	0.612671  	0.040000	0.344789  	0.040000	0.379474  	0.040000	0.379474  	0.040000	0.379473  	0.040000	0.340262  	0.040000	0.00452718	
0.045000	0.63112   	0.045000	0.364963  	0.045000	0.396448  	0.045000	0.396448  	0.045000	0.396447  	0.045000	0.360824  	0.045000	0.00413989	
0.050000	0.642654  	0.050000	0.3833    	0.050000	0.411361  	0.050000	0.411361  	0.050000	0.41136   	0.050000	0.379481  	0.050000	0.00381907	
0.055000	0.668229  	0.055000	0.398248  	0.055000	0.424421  	0.055000	0.424421  	0.055000	0.42442   	0.055000	0.394699  	0.055000	0.0035485 	
0.060000	0.689495  	0.060000	0.411666  	0.060000	0.435825  	0.060000	0.435825  	0.060000	0.435824  	0.060000	0.408349  	0.060000	0.00331691	
0.070000	0.720476  	0.070000	0.434723  	0.070000	0.454389  	0.070000	0.454389  	0.070000	0.454389  	0.070000	0.431782  	0.070000	0.00294043	
0.080000	0.753686  	0.080000	0.45312   	0.080000	0.468369  	0.080000	0.468369  	0.080000	0.468369  	0.080000	0.450473  	0.080000	0.00264668	
0.090000	0.777621  	0.090000	0.468685  	0.090000	0.478851  	0.090000	0.478851  	0.090000	0.47885   	0.090000	0.466274  	0.090000	0.00241047	
0.100000	0.795291  	0.100000	0.482221  	0.100000	0.486695  	0.100000	0.486695  	0.100000	0.486694  	0.100000	0.480005  	0.100000	0.00221601	
0.120000	0.806513  	0.120000	0.49905   	0.120000	0.496947  	0.120000	0.496947  	0.120000	0.496947  	0.120000	0.497136  	0.120000	0.00191385	
0.140000	0.808467  	0.140000	0.511566  	0.140000	0.502635  	0.140000	0.502635  	0.140000	0.502635  	0.140000	0.509876  	0.140000	0.00168913	
0.160000	0.808536  	0.160000	0.522319  	0.160000	0.505642  	0.160000	0.505642  	0.160000	0.505642  	0.160000	0.520804  	0.160000	0.00151489	
