*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.0579923 	4.000000	0.0580846 	4.000000	0.0608232 	4.000000	0.0608232 	4.000000	0.0580559 	4.000000	2.86722e-05	
4.500000	0.0529176 	4.500000	0.0527678 	4.500000	0.0553602 	4.500000	0.0553602 	4.500000	0.052742  	4.500000	2.57853e-05	
5.000000	0.0487214 	5.000000	0.0483883 	5.000000	0.0508506 	5.000000	0.0508506 	5.000000	0.0483648 	5.000000	2.34473e-05	
5.500000	0.0451892 	5.500000	0.0447159 	5.500000	0.047062  	5.500000	0.047062  	5.500000	0.0446944 	5.500000	2.15136e-05	
6.000000	0.0421718 	6.000000	0.0415902 	6.000000	0.0438319 	6.000000	0.0438319 	6.000000	0.0415703 	6.000000	1.98864e-05	
6.500000	0.039562  	6.500000	0.0388958 	6.500000	0.0410435 	6.500000	0.0410435 	6.500000	0.0388773 	6.500000	1.84973e-05	
7.000000	0.0372809 	7.000000	0.0365479 	7.000000	0.0386104 	7.000000	0.0386104 	7.000000	0.0365306 	7.000000	1.72969e-05	
7.500000	0.0352687 	7.500000	0.0344825 	7.500000	0.0364674 	7.500000	0.0364674 	7.500000	0.0344662 	7.500000	1.62488e-05	
8.000000	0.0334796 	8.000000	0.0326505 	8.000000	0.0345645 	8.000000	0.0345645 	8.000000	0.0326352 	8.000000	1.53254e-05	
8.500000	0.0318778 	8.500000	0.0310138 	8.500000	0.0328628 	8.500000	0.0328628 	8.500000	0.0309993 	8.500000	1.45053e-05	
9.000000	0.0304347 	9.000000	0.0295421 	9.000000	0.0313311 	9.000000	0.0313311 	9.000000	0.0295283 	9.000000	1.3772e-05	
9.500000	0.0291274 	9.500000	0.0282111 	9.500000	0.0299447 	9.500000	0.0299447 	9.500000	0.028198  	9.500000	1.31121e-05	
10.000000	0.0279372 	10.000000	0.0278879 	10.000000	0.0286833 	10.000000	0.0286833 	10.000000	0.0278754 	10.000000	1.25151e-05	
11.000000	0.0258492 	11.000000	0.0258428 	11.000000	0.0264279 	11.000000	0.0264293 	11.000000	0.0258313 	11.000000	1.14763e-05	
12.000000	0.024076  	12.000000	0.0240977 	12.000000	0.0245205 	12.000000	0.0245229 	12.000000	0.0240871 	12.000000	1.06027e-05	
