*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	2.49433e-05	0.001000	2.60547e-05	0.001000	2.64913e-05	0.001000	2.64913e-05	0.001000	7.50876e-06	0.001000	1.8546e-05	
0.002000	2.53314e-05	0.002000	2.37652e-05	0.002000	2.52637e-05	0.002000	2.52637e-05	0.002000	9.73765e-06	0.002000	1.40276e-05	
0.005000	2.7661e-05	0.005000	2.23264e-05	0.005000	2.63615e-05	0.005000	2.63615e-05	0.005000	1.37304e-05	0.005000	8.59599e-06	
0.008000	3.01655e-05	0.008000	2.27877e-05	0.008000	2.88827e-05	0.008000	2.88827e-05	0.008000	1.63767e-05	0.008000	6.41102e-06	
0.010000	3.17318e-05	0.010000	2.33391e-05	0.010000	3.06571e-05	0.010000	3.06571e-05	0.010000	1.78061e-05	0.010000	5.53301e-06	
0.015000	3.73847e-05	0.015000	2.4916e-05	0.015000	3.49564e-05	0.015000	3.49564e-05	0.015000	2.07301e-05	0.015000	4.18583e-06	
0.020000	4.28567e-05	0.020000	2.64682e-05	0.020000	3.89073e-05	0.020000	3.89073e-05	0.020000	2.30916e-05	0.020000	3.37654e-06	
0.025000	4.91157e-05	0.025000	2.82201e-05	0.025000	4.26102e-05	0.025000	4.26102e-05	0.025000	2.53529e-05	0.025000	2.86719e-06	
0.030000	5.48562e-05	0.030000	3.51629e-05	0.030000	4.72868e-05	0.030000	4.72868e-05	0.030000	3.26606e-05	0.030000	2.50232e-06	
0.035000	5.99583e-05	0.035000	4.2254e-05	0.035000	5.19423e-05	0.035000	5.19423e-05	0.035000	4.00273e-05	0.035000	2.22674e-06	
0.040000	6.43437e-05	0.040000	4.91336e-05	0.040000	5.65544e-05	0.040000	5.65544e-05	0.040000	4.71231e-05	0.040000	2.01047e-06	
0.045000	6.79307e-05	0.045000	5.57003e-05	0.045000	6.11058e-05	0.045000	6.11058e-05	0.045000	5.38645e-05	0.045000	1.83575e-06	
0.050000	7.01472e-05	0.050000	6.19476e-05	0.050000	6.55829e-05	0.050000	6.55829e-05	0.050000	6.02563e-05	0.050000	1.69135e-06	
0.055000	7.39022e-05	0.055000	6.79085e-05	0.055000	6.9974e-05	0.055000	6.9974e-05	0.055000	6.63387e-05	0.055000	1.56982e-06	
0.060000	7.72249e-05	0.060000	7.30467e-05	0.060000	7.42691e-05	0.060000	7.42691e-05	0.060000	7.15808e-05	0.060000	1.46596e-06	
0.070000	8.26499e-05	0.070000	8.20912e-05	0.070000	8.25397e-05	0.070000	8.25397e-05	0.070000	8.07937e-05	0.070000	1.29748e-06	
