*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.293549  	0.001000	0.147395  	0.001000	0.151333  	0.001000	0.151333  	0.001000	0.151264  	0.001000	0.0762496 	0.001000	0.0711453 	
0.002000	0.320112  	0.002000	0.160431  	0.002000	0.168218  	0.002000	0.168218  	0.002000	0.168175  	0.002000	0.105614  	0.002000	0.0548168 	
0.005000	0.391792  	0.005000	0.196716  	0.005000	0.213554  	0.005000	0.213554  	0.005000	0.213535  	0.005000	0.162463  	0.005000	0.034253  	
0.008000	0.448322  	0.008000	0.228367  	0.008000	0.252544  	0.008000	0.252544  	0.008000	0.252531  	0.008000	0.202623  	0.008000	0.0257437 	
0.010000	0.480757  	0.010000	0.247317  	0.010000	0.275859  	0.010000	0.275859  	0.010000	0.275848  	0.010000	0.225028  	0.010000	0.0222885 	
0.015000	0.562701  	0.015000	0.289218  	0.015000	0.327506  	0.015000	0.327506  	0.015000	0.327499  	0.015000	0.27227   	0.015000	0.0169472 	
0.020000	0.628412  	0.020000	0.329675  	0.020000	0.380015  	0.020000	0.380015  	0.020000	0.38001   	0.020000	0.315965  	0.020000	0.0137099 	
0.025000	0.702389  	0.025000	0.371916  	0.025000	0.432304  	0.025000	0.432304  	0.025000	0.4323    	0.025000	0.360246  	0.025000	0.0116695 	
0.030000	0.765239  	0.030000	0.411979  	0.030000	0.467821  	0.030000	0.467821  	0.030000	0.467818  	0.030000	0.401776  	0.030000	0.0102023 	
0.035000	0.816977  	0.035000	0.448867  	0.035000	0.499613  	0.035000	0.499613  	0.035000	0.499611  	0.035000	0.439776  	0.035000	0.00909101	
0.040000	0.857775  	0.040000	0.482727  	0.040000	0.528007  	0.040000	0.528007  	0.040000	0.528005  	0.040000	0.47451   	0.040000	0.00821704	
0.045000	0.887838  	0.045000	0.513757  	0.045000	0.553295  	0.045000	0.553295  	0.045000	0.553293  	0.045000	0.506247  	0.045000	0.00750977	
