*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.700000	1.16536e-05	0.700000	1.11038e-05	0.700000	1.09517e-05	0.700000	1.09517e-05	0.700000	1.09517e-05	0.700000	1.10955e-05	0.700000	8.24753e-09	
0.800000	1.08244e-05	0.800000	1.03036e-05	0.800000	1.01123e-05	0.800000	1.01123e-05	0.800000	1.01123e-05	0.800000	1.02962e-05	0.800000	7.34765e-09	
0.900000	1.01056e-05	0.900000	9.61761e-06	0.900000	9.40627e-06	0.900000	9.40627e-06	0.900000	9.40628e-06	0.900000	9.61098e-06	0.900000	6.63401e-09	
1.000000	9.47858e-06	1.000000	9.02492e-06	1.000000	8.80597e-06	1.000000	8.80597e-06	1.000000	8.80598e-06	1.000000	9.01887e-06	1.000000	6.05335e-09	
1.250000	8.2169e-06	1.250000	7.84647e-06	1.250000	7.63549e-06	1.250000	7.63549e-06	1.250000	7.6355e-06	1.250000	7.84149e-06	1.250000	4.98286e-09	
1.500000	7.26423e-06	1.500000	6.96673e-06	1.500000	6.77622e-06	1.500000	6.77622e-06	1.500000	6.77622e-06	1.500000	6.96248e-06	1.500000	4.24782e-09	
1.750000	6.51809e-06	1.750000	6.28181e-06	1.750000	6.11172e-06	1.750000	6.11172e-06	1.750000	6.11172e-06	1.750000	6.2781e-06	1.750000	3.71016e-09	
2.000000	5.91675e-06	2.000000	5.73129e-06	2.000000	5.57838e-06	2.000000	5.57838e-06	2.000000	5.57838e-06	2.000000	5.72799e-06	2.000000	3.29882e-09	
2.250000	5.42111e-06	2.250000	5.27786e-06	2.250000	5.13861e-06	2.250000	5.13861e-06	2.250000	5.13861e-06	2.250000	5.27489e-06	2.250000	2.97339e-09	
2.500000	4.92136e-06	2.500000	4.89716e-06	2.500000	4.76856e-06	2.500000	4.76856e-06	2.500000	4.76856e-06	2.500000	4.89446e-06	2.500000	2.70914e-09	
