*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0515075 	0.001000	0.0515075 	0.001000	0.0774175 	0.001000	0.0774175 	0.001000	0.0328055 	0.001000	0.018702  	
0.002000	0.0658155 	0.002000	0.0658155 	0.002000	0.101301  	0.002000	0.101301  	0.002000	0.0529686 	0.002000	0.012847  	
0.005000	0.101825  	0.005000	0.101825  	0.005000	0.15141   	0.005000	0.15141   	0.005000	0.0946766 	0.005000	0.00714858	
0.008000	0.128813  	0.008000	0.128813  	0.008000	0.184955  	0.008000	0.184955  	0.008000	0.123724  	0.008000	0.0050895 	
0.010000	0.143702  	0.010000	0.143702  	0.010000	0.202474  	0.010000	0.202474  	0.010000	0.139375  	0.010000	0.00432639	
0.015000	0.183344  	0.015000	0.183344  	0.015000	0.236769  	0.015000	0.236769  	0.015000	0.180151  	0.015000	0.0031929 	
0.020000	0.216509  	0.020000	0.216509  	0.020000	0.263295  	0.020000	0.263295  	0.020000	0.21395   	0.020000	0.00255891	
0.025000	0.244788  	0.025000	0.244788  	0.025000	0.285534  	0.025000	0.285534  	0.025000	0.242639  	0.025000	0.00214904	
0.030000	0.26903   	0.030000	0.26903   	0.030000	0.296488  	0.030000	0.296488  	0.030000	0.26717   	0.030000	0.00186026	
0.035000	0.28975   	0.035000	0.28975   	0.035000	0.305163  	0.035000	0.305163  	0.035000	0.288106  	0.035000	0.0016448 	
0.040000	0.307303  	0.040000	0.307303  	0.040000	0.312147  	0.040000	0.312147  	0.040000	0.305826  	0.040000	0.00147731	
0.045000	0.321973  	0.045000	0.321973  	0.045000	0.31782   	0.045000	0.31782   	0.045000	0.32063   	0.045000	0.00134305	
0.050000	0.334016  	0.050000	0.334016  	0.050000	0.322442  	0.050000	0.322442  	0.050000	0.332783  	0.050000	0.00123281	
0.055000	0.343679  	0.055000	0.343679  	0.055000	0.326199  	0.055000	0.326199  	0.055000	0.342539  	0.055000	0.00114052	
0.060000	0.351208  	0.060000	0.351208  	0.060000	0.329232  	0.060000	0.329232  	0.060000	0.350146  	0.060000	0.00106204	
0.070000	0.360838  	0.070000	0.360838  	0.070000	0.333539  	0.070000	0.333539  	0.070000	0.359903  	0.070000	0.000935461	
0.080000	0.364776  	0.080000	0.364776  	0.080000	0.33601   	0.080000	0.33601   	0.080000	0.363939  	0.080000	0.000837587	
0.090000	0.36468   	0.090000	0.36468   	0.090000	0.337096  	0.090000	0.337096  	0.090000	0.36392   	0.090000	0.000759464	
0.100000	0.361906  	0.100000	0.361906  	0.100000	0.337127  	0.100000	0.337127  	0.100000	0.361211  	0.100000	0.000695548	
0.120000	0.352175  	0.120000	0.352175  	0.120000	0.334981  	0.120000	0.334981  	0.120000	0.351578  	0.120000	0.000596971	
0.140000	0.340682  	0.140000	0.340682  	0.140000	0.330978  	0.140000	0.330978  	0.140000	0.340158  	0.140000	0.000524262	
0.160000	0.3296    	0.160000	0.3296    	0.160000	0.325957  	0.160000	0.325957  	0.160000	0.329132  	0.160000	0.000468258	
0.180000	0.319613  	0.180000	0.319613  	0.180000	0.320408  	0.180000	0.320408  	0.180000	0.319189  	0.180000	0.000423701	
0.200000	0.310772  	0.200000	0.310772  	0.200000	0.314615  	0.200000	0.314615  	0.200000	0.310385  	0.200000	0.000387346	
0.250000	0.292522  	0.250000	0.292522  	0.250000	0.299953  	0.250000	0.299953  	0.250000	0.292202  	0.250000	0.000320068	
0.300000	0.277618  	0.300000	0.277618  	0.300000	0.285722  	0.300000	0.285722  	0.300000	0.277344  	0.300000	0.000273662	
0.350000	0.264478  	0.350000	0.264478  	0.350000	0.272225  	0.350000	0.272225  	0.350000	0.264239  	0.350000	0.000239597	
0.400000	0.252444  	0.400000	0.252444  	0.400000	0.259559  	0.400000	0.259559  	0.400000	0.25223   	0.400000	0.000213459	
0.450000	0.241267  	0.450000	0.241267  	0.450000	0.247753  	0.450000	0.247753  	0.450000	0.241075  	0.450000	0.00019273	
0.500000	0.230855  	0.500000	0.230855  	0.500000	0.236799  	0.500000	0.236799  	0.500000	0.230679  	0.500000	0.000175863	
0.600000	0.212146  	0.600000	0.212146  	0.600000	0.217301  	0.600000	0.217301  	0.600000	0.211996  	0.600000	0.000150022	
0.700000	0.195992  	0.700000	0.195992  	0.700000	0.200662  	0.700000	0.200662  	0.700000	0.195861  	0.700000	0.000131105	
0.800000	0.182046  	0.800000	0.182046  	0.800000	0.186417  	0.800000	0.186417  	0.800000	0.181929  	0.800000	0.000116622	
0.900000	0.169957  	0.900000	0.169957  	0.900000	0.174139  	0.900000	0.174139  	0.900000	0.169852  	0.900000	0.000105159	
1.000000	0.159413  	1.000000	0.159413  	1.000000	0.163467  	1.000000	0.163467  	1.000000	0.159317  	1.000000	9.58457e-05	
1.250000	0.138193  	1.250000	0.138193  	1.250000	0.142057  	1.250000	0.142057  	1.250000	0.138115  	1.250000	7.87148e-05	
1.500000	0.122171  	1.500000	0.122171  	1.500000	0.125905  	1.500000	0.125905  	1.500000	0.122104  	1.500000	6.69835e-05	
1.750000	0.109622  	1.750000	0.109622  	1.750000	0.113242  	1.750000	0.113242  	1.750000	0.109564  	1.750000	5.84202e-05	
2.000000	0.099509  	2.000000	0.099509  	2.000000	0.103016  	2.000000	0.103016  	2.000000	0.0994571 	2.000000	5.188e-05 	
2.250000	0.0911733 	2.250000	0.0911733 	2.250000	0.0945703 	2.250000	0.0945703 	2.250000	0.0911266 	2.250000	4.67133e-05	
2.500000	0.0827683 	2.500000	0.0841785 	2.500000	0.087468  	2.500000	0.087468  	2.500000	0.084136  	2.500000	4.25232e-05	
3.000000	0.0722442 	3.000000	0.0730869 	3.000000	0.0761735 	3.000000	0.0761735 	3.000000	0.0730508 	3.000000	3.61299e-05	
3.500000	0.0642665 	3.500000	0.06468   	3.500000	0.0675828 	3.500000	0.0675828 	3.500000	0.0646486 	3.500000	3.14713e-05	
4.000000	0.0579923 	4.000000	0.0580839 	4.000000	0.0608224 	4.000000	0.0608224 	4.000000	0.0580559 	4.000000	2.79186e-05	
4.500000	0.0529176 	4.500000	0.0527671 	4.500000	0.0553595 	4.500000	0.0553595 	4.500000	0.052742  	4.500000	2.51154e-05	
5.000000	0.0487214 	5.000000	0.0483877 	5.000000	0.05085   	5.000000	0.05085   	5.000000	0.0483648 	5.000000	2.28444e-05	
5.500000	0.0451892 	5.500000	0.0447154 	5.500000	0.0470614 	5.500000	0.0470614 	5.500000	0.0446944 	5.500000	2.09655e-05	
6.000000	0.0421718 	6.000000	0.0415897 	6.000000	0.0438314 	6.000000	0.0438314 	6.000000	0.0415703 	6.000000	1.9384e-05	
6.500000	0.039562  	6.500000	0.0388954 	6.500000	0.0410431 	6.500000	0.0410431 	6.500000	0.0388773 	6.500000	1.80335e-05	
7.000000	0.0372809 	7.000000	0.0365475 	7.000000	0.0386099 	7.000000	0.0386099 	7.000000	0.0365306 	7.000000	1.68663e-05	
7.500000	0.0352687 	7.500000	0.0344821 	7.500000	0.036467  	7.500000	0.036467  	7.500000	0.0344662 	7.500000	1.58469e-05	
8.000000	0.0334796 	8.000000	0.0326501 	8.000000	0.0345642 	8.000000	0.0345642 	8.000000	0.0326352 	8.000000	1.49486e-05	
8.500000	0.0318778 	8.500000	0.0310135 	8.500000	0.0328624 	8.500000	0.0328624 	8.500000	0.0309993 	8.500000	1.41507e-05	
9.000000	0.0304347 	9.000000	0.0295418 	9.000000	0.0313308 	9.000000	0.0313308 	9.000000	0.0295283 	9.000000	1.34371e-05	
9.500000	0.0291274 	9.500000	0.0282108 	9.500000	0.0299444 	9.500000	0.0299444 	9.500000	0.028198  	9.500000	1.27948e-05	
10.000000	0.0279372 	10.000000	0.0278876 	10.000000	0.028683  	10.000000	0.028683  	10.000000	0.0278754 	10.000000	1.22137e-05	
11.000000	0.0258492 	11.000000	0.0258425 	11.000000	0.0264276 	11.000000	0.0264291 	11.000000	0.0258313 	11.000000	1.12023e-05	
12.000000	0.024076  	12.000000	0.0240975 	12.000000	0.0245202 	12.000000	0.0245227 	12.000000	0.0240871 	12.000000	1.03515e-05	
13.000000	0.0225502 	13.000000	0.0225899 	13.000000	0.0228861 	13.000000	0.0228889 	13.000000	0.0225803 	13.000000	9.62556e-06	
14.000000	0.0212225 	14.000000	0.0212738 	14.000000	0.0214704 	14.000000	0.021473  	14.000000	0.0212648 	14.000000	8.99846e-06	
15.000000	0.0200561 	15.000000	0.0201144 	15.000000	0.0202316 	15.000000	0.0202341 	15.000000	0.0201059 	15.000000	8.45108e-06	
16.000000	0.0190227 	16.000000	0.0190847 	16.000000	0.0191387 	16.000000	0.0191412 	16.000000	0.0190768 	16.000000	7.96894e-06	
17.000000	0.0181004 	17.000000	0.0181639 	17.000000	0.0181678 	17.000000	0.01817   	17.000000	0.0181564 	17.000000	7.5409e-06	
18.000000	0.0172719 	18.000000	0.0173354 	18.000000	0.0172998 	18.000000	0.0173015 	18.000000	0.0173282 	18.000000	7.15822e-06	
19.000000	0.0165234 	19.000000	0.0165856 	19.000000	0.0165191 	19.000000	0.0165203 	19.000000	0.0165788 	19.000000	6.81396e-06	
20.000000	0.0158435 	20.000000	0.0159037 	20.000000	0.0158131 	20.000000	0.0158143 	20.000000	0.0158972 	20.000000	6.50255e-06	
21.000000	0.0152231 	21.000000	0.0152808 	21.000000	0.0151719 	21.000000	0.0151732 	21.000000	0.0152745 	21.000000	6.21943e-06	
