*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.08887e-06	0.001000	1.31359e-06	0.001000	1.63247e-06	0.001000	1.63247e-06	0.001000	6.92989e-07	0.001000	6.20597e-07	
0.002000	1.39134e-06	0.002000	1.52814e-06	0.002000	1.9336e-06	0.002000	1.9336e-06	0.002000	1.11892e-06	0.002000	4.09225e-07	
0.005000	2.15258e-06	0.005000	2.21691e-06	0.005000	2.70306e-06	0.005000	2.70306e-06	0.005000	1.99997e-06	0.005000	2.16944e-07	
0.008000	2.72312e-06	0.008000	2.76713e-06	0.008000	3.25326e-06	0.008000	3.25326e-06	0.008000	2.61357e-06	0.008000	1.5356e-07	
0.010000	3.03786e-06	0.010000	3.07387e-06	0.010000	3.54444e-06	0.010000	3.54444e-06	0.010000	2.94419e-06	0.010000	1.29673e-07	
0.015000	3.8759e-06	0.015000	3.88887e-06	0.015000	4.12004e-06	0.015000	4.12004e-06	0.015000	3.79415e-06	0.015000	9.47164e-08	
0.020000	4.577e-06 	0.020000	4.466e-06 	0.020000	4.56882e-06	0.020000	4.56882e-06	0.020000	4.39056e-06	0.020000	7.54368e-08	
0.025000	5.17481e-06	0.025000	4.96662e-06	0.025000	4.94677e-06	0.025000	4.94677e-06	0.025000	4.90354e-06	0.025000	6.30795e-08	
0.030000	5.6873e-06	0.030000	5.47931e-06	0.030000	5.36793e-06	0.030000	5.36793e-06	0.030000	5.42489e-06	0.030000	5.44251e-08	
0.035000	6.12532e-06	0.035000	6.00181e-06	0.035000	5.74708e-06	0.035000	5.74708e-06	0.035000	5.95381e-06	0.035000	4.79972e-08	
0.040000	6.49639e-06	0.040000	6.51248e-06	0.040000	6.09343e-06	0.040000	6.09343e-06	0.040000	6.46946e-06	0.040000	4.30186e-08	
0.045000	6.80651e-06	0.045000	6.99529e-06	0.045000	6.41298e-06	0.045000	6.41298e-06	0.045000	6.95625e-06	0.045000	3.90393e-08	
0.050000	7.0611e-06	0.050000	7.44174e-06	0.050000	6.70975e-06	0.050000	6.70975e-06	0.050000	7.40596e-06	0.050000	3.57799e-08	
0.055000	7.26538e-06	0.055000	7.84853e-06	0.055000	6.98652e-06	0.055000	6.98652e-06	0.055000	7.81547e-06	0.055000	3.30572e-08	
0.060000	7.42455e-06	0.060000	8.21539e-06	0.060000	7.24529e-06	0.060000	7.24529e-06	0.060000	8.18465e-06	0.060000	3.0746e-08	
0.070000	7.62812e-06	0.070000	8.83603e-06	0.070000	7.71423e-06	0.070000	7.71423e-06	0.070000	8.809e-06 	0.070000	2.70273e-08	
0.080000	7.71137e-06	0.080000	9.32307e-06	0.080000	8.12452e-06	0.080000	8.12452e-06	0.080000	9.29891e-06	0.080000	2.41594e-08	
0.090000	7.70933e-06	0.090000	9.69867e-06	0.090000	8.48128e-06	0.090000	8.48128e-06	0.090000	9.6768e-06	0.090000	2.18753e-08	
0.100000	7.6507e-06	0.100000	9.98307e-06	0.100000	8.78839e-06	0.100000	8.78839e-06	0.100000	9.96306e-06	0.100000	2.001e-08 	
0.120000	7.44497e-06	0.120000	1.03436e-05	0.120000	9.26694e-06	0.120000	9.26694e-06	0.120000	1.03264e-05	0.120000	1.71397e-08	
0.140000	7.20201e-06	0.140000	1.05066e-05	0.140000	9.58587e-06	0.140000	9.58587e-06	0.140000	1.04916e-05	0.140000	1.5028e-08	
0.160000	6.96775e-06	0.160000	1.05385e-05	0.160000	9.77063e-06	0.160000	9.77063e-06	0.160000	1.05251e-05	0.160000	1.34047e-08	
0.180000	6.75662e-06	0.180000	1.04824e-05	0.180000	9.84593e-06	0.180000	9.84593e-06	0.180000	1.04703e-05	0.180000	1.21155e-08	
0.200000	6.56972e-06	0.200000	1.03669e-05	0.200000	9.83462e-06	0.200000	9.83462e-06	0.200000	1.03558e-05	0.200000	1.1065e-08	
0.250000	6.18391e-06	0.250000	9.93194e-06	0.250000	9.55189e-06	0.250000	9.55189e-06	0.250000	9.92281e-06	0.250000	9.12504e-09	
0.300000	5.86884e-06	0.300000	9.40835e-06	0.300000	9.07744e-06	0.300000	9.07744e-06	0.300000	9.40056e-06	0.300000	7.79009e-09	
0.350000	5.59107e-06	0.350000	8.87214e-06	0.350000	8.54347e-06	0.350000	8.54347e-06	0.350000	8.86532e-06	0.350000	6.81193e-09	
0.400000	5.33666e-06	0.400000	8.35681e-06	0.400000	8.01606e-06	0.400000	8.01606e-06	0.400000	8.35074e-06	0.400000	6.06254e-09	
0.450000	5.10039e-06	0.450000	7.87627e-06	0.450000	7.52407e-06	0.450000	7.52407e-06	0.450000	7.8708e-06	0.450000	5.46898e-09	
0.500000	4.88028e-06	0.500000	7.43497e-06	0.500000	7.07725e-06	0.500000	7.07725e-06	0.500000	7.42998e-06	0.500000	4.98654e-09	
0.600000	4.48476e-06	0.600000	6.6674e-06	0.600000	6.31791e-06	0.600000	6.31791e-06	0.600000	6.66315e-06	0.600000	4.24839e-09	
0.700000	4.14327e-06	0.700000	6.03432e-06	0.700000	5.71057e-06	0.700000	5.71057e-06	0.700000	6.03061e-06	0.700000	3.70883e-09	
0.800000	3.84845e-06	0.800000	5.50963e-06	0.800000	5.21924e-06	0.800000	5.21924e-06	0.800000	5.50633e-06	0.800000	3.29628e-09	
0.900000	3.5929e-06	0.900000	5.07036e-06	0.900000	4.81481e-06	0.900000	4.81481e-06	0.900000	5.06739e-06	0.900000	2.97005e-09	
1.000000	3.36998e-06	1.000000	4.69831e-06	1.000000	4.47596e-06	1.000000	4.47596e-06	1.000000	4.6956e-06	1.000000	2.70528e-09	
1.250000	2.92141e-06	1.250000	3.97879e-06	1.250000	3.82577e-06	1.250000	3.82577e-06	1.250000	3.97657e-06	1.250000	2.21882e-09	
1.500000	2.5827e-06	1.500000	3.45926e-06	1.500000	3.35612e-06	1.500000	3.35612e-06	1.500000	3.45737e-06	1.500000	1.88619e-09	
1.750000	2.31742e-06	1.750000	3.0654e-06	1.750000	2.99743e-06	1.750000	2.99743e-06	1.750000	3.06376e-06	1.750000	1.64368e-09	
2.000000	2.10362e-06	2.000000	2.75573e-06	2.000000	2.71265e-06	2.000000	2.71265e-06	2.000000	2.75427e-06	2.000000	1.45864e-09	
2.250000	1.9274e-06	2.250000	2.50538e-06	2.250000	2.48013e-06	2.250000	2.48013e-06	2.250000	2.50407e-06	2.250000	1.31258e-09	
2.500000	1.74972e-06	2.500000	2.29853e-06	2.500000	2.28623e-06	2.500000	2.28623e-06	2.500000	2.29734e-06	2.500000	1.19421e-09	
3.000000	1.52724e-06	3.000000	1.97625e-06	3.000000	1.98047e-06	3.000000	1.98047e-06	3.000000	1.97524e-06	3.000000	1.01377e-09	
3.500000	1.35859e-06	3.500000	1.73639e-06	3.500000	1.74977e-06	3.500000	1.74977e-06	3.500000	1.7355e-06	3.500000	8.82414e-10	
4.000000	1.22596e-06	4.000000	1.55071e-06	4.000000	1.56925e-06	4.000000	1.56925e-06	4.000000	1.54992e-06	4.000000	7.82322e-10	
4.500000	1.11868e-06	4.500000	1.40259e-06	4.500000	1.424e-06 	4.500000	1.424e-06 	4.500000	1.40188e-06	4.500000	7.03403e-10	
5.000000	1.02997e-06	5.000000	1.28159e-06	5.000000	1.3045e-06	5.000000	1.3045e-06	5.000000	1.28095e-06	5.000000	6.39508e-10	
5.500000	9.553e-07 	5.500000	1.18081e-06	5.500000	1.2044e-06	5.500000	1.2044e-06	5.500000	1.18022e-06	5.500000	5.86671e-10	
6.000000	8.91512e-07	6.000000	1.09552e-06	6.000000	1.11927e-06	6.000000	1.11927e-06	6.000000	1.09498e-06	6.000000	5.42218e-10	
6.500000	8.36341e-07	6.500000	1.02235e-06	6.500000	1.04594e-06	6.500000	1.04594e-06	6.500000	1.02184e-06	6.500000	5.04275e-10	
7.000000	7.88118e-07	7.000000	9.5885e-07	7.000000	9.82078e-07	7.000000	9.82078e-07	7.000000	9.58379e-07	7.000000	4.71494e-10	
7.500000	7.4558e-07	7.500000	9.03193e-07	7.500000	9.25936e-07	7.500000	9.25936e-07	7.500000	9.0275e-07	7.500000	4.42874e-10	
8.000000	7.0776e-07	8.000000	8.53983e-07	8.000000	8.76169e-07	8.000000	8.76169e-07	8.000000	8.53566e-07	8.000000	4.17662e-10	
8.500000	6.73897e-07	8.500000	8.10142e-07	8.500000	8.3173e-07	8.500000	8.3173e-07	8.500000	8.09747e-07	8.500000	3.95275e-10	
9.000000	6.4339e-07	9.000000	7.7082e-07	9.000000	7.91793e-07	9.000000	7.91793e-07	9.000000	7.70445e-07	9.000000	3.75258e-10	
9.500000	6.15753e-07	9.500000	7.35338e-07	9.500000	7.55692e-07	9.500000	7.55692e-07	9.500000	7.34981e-07	9.500000	3.57248e-10	
10.000000	5.90592e-07	10.000000	6.81882e-07	10.000000	7.22892e-07	10.000000	7.22892e-07	10.000000	6.81541e-07	10.000000	3.40955e-10	
11.000000	5.46452e-07	11.000000	6.33809e-07	11.000000	6.64854e-07	11.000000	6.64889e-07	11.000000	6.33497e-07	11.000000	3.12609e-10	
12.000000	5.08966e-07	12.000000	5.92497e-07	12.000000	6.15971e-07	12.000000	6.16029e-07	12.000000	5.92208e-07	12.000000	2.88776e-10	
13.000000	4.76711e-07	13.000000	5.566e-07 	13.000000	5.74256e-07	13.000000	5.74321e-07	13.000000	5.56331e-07	13.000000	2.68446e-10	
14.000000	4.48644e-07	14.000000	5.25109e-07	14.000000	5.38251e-07	14.000000	5.38313e-07	14.000000	5.24858e-07	14.000000	2.5089e-10	
15.000000	4.23986e-07	15.000000	4.97251e-07	15.000000	5.06863e-07	15.000000	5.06924e-07	15.000000	4.97015e-07	15.000000	2.35571e-10	
16.000000	4.0214e-07	16.000000	4.72424e-07	16.000000	4.79274e-07	16.000000	4.79333e-07	16.000000	4.72202e-07	16.000000	2.22081e-10	
17.000000	3.82643e-07	17.000000	4.50153e-07	17.000000	4.54851e-07	17.000000	4.54902e-07	17.000000	4.49943e-07	17.000000	2.10109e-10	
18.000000	3.65128e-07	18.000000	4.30057e-07	18.000000	4.33092e-07	18.000000	4.33132e-07	18.000000	4.29857e-07	18.000000	1.99407e-10	
19.000000	3.49304e-07	19.000000	4.11829e-07	19.000000	4.13592e-07	19.000000	4.1362e-07	19.000000	4.11639e-07	19.000000	1.89782e-10	
20.000000	3.34931e-07	20.000000	3.95215e-07	20.000000	3.96017e-07	20.000000	3.96046e-07	20.000000	3.95034e-07	20.000000	1.81078e-10	
21.000000	3.21816e-07	21.000000	3.80009e-07	21.000000	3.80113e-07	21.000000	3.80144e-07	21.000000	3.79836e-07	21.000000	1.73166e-10	
22.000000	3.09797e-07	22.000000	3.66035e-07	22.000000	3.65673e-07	22.000000	3.65697e-07	22.000000	3.65869e-07	22.000000	1.65941e-10	
23.000000	2.98739e-07	23.000000	3.53148e-07	23.000000	3.52516e-07	23.000000	3.52523e-07	23.000000	3.52989e-07	23.000000	1.59318e-10	
24.000000	2.88531e-07	24.000000	3.41224e-07	24.000000	3.40481e-07	24.000000	3.40471e-07	24.000000	3.41071e-07	24.000000	1.53222e-10	
