*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.157346  	0.001000	0.0880167 	0.001000	0.102353  	0.001000	0.102353  	0.001000	0.102296  	0.001000	0.0449264 	0.001000	0.0430902 	
0.002000	0.181535  	0.002000	0.0985132 	0.002000	0.116547  	0.002000	0.116547  	0.002000	0.116512  	0.002000	0.0657762 	0.002000	0.0327371 	
0.005000	0.2533    	0.005000	0.129031  	0.005000	0.152668  	0.005000	0.152668  	0.005000	0.152652  	0.005000	0.108877  	0.005000	0.0201545 	
0.008000	0.31414   	0.008000	0.156053  	0.008000	0.182677  	0.008000	0.182677  	0.008000	0.182667  	0.008000	0.140994  	0.008000	0.015059  	
0.010000	0.35041   	0.010000	0.172411  	0.010000	0.200409  	0.010000	0.200409  	0.010000	0.200401  	0.010000	0.159405  	0.010000	0.0130064 	
0.015000	0.411284  	0.015000	0.20908   	0.015000	0.239372  	0.015000	0.239372  	0.015000	0.239366  	0.015000	0.199229  	0.015000	0.00985141	
0.020000	0.459051  	0.020000	0.239902  	0.020000	0.277179  	0.020000	0.277179  	0.020000	0.277175  	0.020000	0.231949  	0.020000	0.00795224	
0.025000	0.511042  	0.025000	0.270468  	0.025000	0.314178  	0.025000	0.314178  	0.025000	0.314175  	0.025000	0.263711  	0.025000	0.00675644	
0.030000	0.553201  	0.030000	0.298413  	0.030000	0.338719  	0.030000	0.338719  	0.030000	0.338717  	0.030000	0.292513  	0.030000	0.00589908	
0.035000	0.586925  	0.035000	0.322821  	0.035000	0.360463  	0.035000	0.360463  	0.035000	0.360461  	0.035000	0.317569  	0.035000	0.00525109	
0.040000	0.612797  	0.040000	0.345004  	0.040000	0.379689  	0.040000	0.379689  	0.040000	0.379687  	0.040000	0.340262  	0.040000	0.0047423 	
0.045000	0.631232  	0.045000	0.365155  	0.045000	0.396639  	0.045000	0.396639  	0.045000	0.396638  	0.045000	0.360824  	0.045000	0.00433111	
0.050000	0.642754  	0.050000	0.383472  	0.050000	0.411533  	0.050000	0.411533  	0.050000	0.411531  	0.050000	0.379481  	0.050000	0.00399116	
0.055000	0.668321  	0.055000	0.398404  	0.055000	0.424577  	0.055000	0.424577  	0.055000	0.424576  	0.055000	0.394699  	0.055000	0.00370495	
0.060000	0.689579  	0.060000	0.411809  	0.060000	0.435968  	0.060000	0.435968  	0.060000	0.435967  	0.060000	0.408349  	0.060000	0.00346033	
0.070000	0.720548  	0.070000	0.434846  	0.070000	0.454512  	0.070000	0.454512  	0.070000	0.454511  	0.070000	0.431782  	0.070000	0.00306336	
0.080000	0.753748  	0.080000	0.453227  	0.080000	0.468477  	0.080000	0.468477  	0.080000	0.468476  	0.080000	0.450473  	0.080000	0.00275424	
0.090000	0.777677  	0.090000	0.46878   	0.090000	0.478946  	0.090000	0.478946  	0.090000	0.478946  	0.090000	0.466274  	0.090000	0.00250608	
0.100000	0.795341  	0.100000	0.482307  	0.100000	0.486781  	0.100000	0.486781  	0.100000	0.48678   	0.100000	0.480005  	0.100000	0.00230205	
0.120000	0.806555  	0.120000	0.499122  	0.120000	0.497019  	0.120000	0.497019  	0.120000	0.497019  	0.120000	0.497136  	0.120000	0.00198556	
0.140000	0.808502  	0.140000	0.511627  	0.140000	0.502696  	0.140000	0.502696  	0.140000	0.502696  	0.140000	0.509876  	0.140000	0.00175059	
0.160000	0.808568  	0.160000	0.522373  	0.160000	0.505696  	0.160000	0.505696  	0.160000	0.505696  	0.160000	0.520804  	0.160000	0.00156867	
0.180000	0.807578  	0.180000	0.529689  	0.180000	0.507016  	0.180000	0.507016  	0.180000	0.507016  	0.180000	0.528265  	0.180000	0.0014233 	
0.200000	0.809714  	0.200000	0.537256  	0.200000	0.507197  	0.200000	0.507197  	0.200000	0.507197  	0.200000	0.535952  	0.200000	0.00130426	
0.250000	0.793141  	0.250000	0.541345  	0.250000	0.504426  	0.250000	0.504426  	0.250000	0.504426  	0.250000	0.540262  	0.250000	0.00108288	
0.300000	0.79055   	0.300000	0.549074  	0.300000	0.501945  	0.300000	0.501945  	0.300000	0.501945  	0.300000	0.548145  	0.300000	0.000929267	
