*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.197961  	0.001000	0.197961  	0.001000	0.17509   	0.001000	0.17509   	0.001000	0.131798  	0.001000	0.0661631 	
0.002000	0.217467  	0.002000	0.217467  	0.002000	0.200591  	0.002000	0.200591  	0.002000	0.170921  	0.002000	0.0465467 	
0.005000	0.267513  	0.005000	0.267513  	0.005000	0.270075  	0.005000	0.270075  	0.005000	0.241003  	0.005000	0.0265102 	
0.008000	0.306671  	0.008000	0.306671  	0.008000	0.327305  	0.008000	0.327305  	0.008000	0.287453  	0.008000	0.0192179 	
0.010000	0.328786  	0.010000	0.328786  	0.010000	0.360696  	0.010000	0.360696  	0.010000	0.312542  	0.010000	0.0162445 	
0.015000	0.385017  	0.015000	0.385017  	0.015000	0.408478  	0.015000	0.408478  	0.015000	0.372953  	0.015000	0.0120643 	
0.020000	0.430071  	0.020000	0.430071  	0.020000	0.454753  	0.020000	0.454753  	0.020000	0.420366  	0.020000	0.00970514	
0.025000	0.480759  	0.025000	0.480759  	0.025000	0.498771  	0.025000	0.498771  	0.025000	0.472587  	0.025000	0.00817177	
0.030000	0.523816  	0.030000	0.523816  	0.030000	0.52597   	0.030000	0.52597   	0.030000	0.516729  	0.030000	0.00708737	
0.035000	0.559259  	0.035000	0.559259  	0.035000	0.550382  	0.035000	0.550382  	0.035000	0.552983  	0.035000	0.00627604	
0.040000	0.587205  	0.040000	0.587205  	0.040000	0.572258  	0.040000	0.572258  	0.040000	0.581561  	0.040000	0.005644  	
0.045000	0.607799  	0.045000	0.607799  	0.045000	0.591817  	0.045000	0.591817  	0.045000	0.602663  	0.045000	0.00513643	
0.050000	0.620524  	0.050000	0.620524  	0.050000	0.609258  	0.050000	0.609258  	0.050000	0.615805  	0.050000	0.00471903	
0.055000	0.646802  	0.055000	0.646802  	0.055000	0.624766  	0.055000	0.624766  	0.055000	0.642432  	0.055000	0.00436917	
0.060000	0.668954  	0.060000	0.668954  	0.060000	0.638509  	0.060000	0.638509  	0.060000	0.664883  	0.060000	0.00407131	
0.070000	0.702112  	0.070000	0.702112  	0.070000	0.661332  	0.070000	0.661332  	0.070000	0.698522  	0.070000	0.00359027	
0.080000	0.737501  	0.080000	0.737501  	0.080000	0.678876  	0.080000	0.678876  	0.080000	0.734283  	0.080000	0.00321772	
0.090000	0.76387   	0.090000	0.76387   	0.090000	0.692134  	0.090000	0.692134  	0.090000	0.76095   	0.090000	0.00291997	
0.100000	0.783492  	0.100000	0.783492  	0.100000	0.701949  	0.100000	0.701949  	0.100000	0.780815  	0.100000	0.00267609	
0.120000	0.790519  	0.120000	0.790519  	0.120000	0.713946  	0.120000	0.713946  	0.120000	0.788219  	0.120000	0.00229947	
0.140000	0.789639  	0.140000	0.789639  	0.140000	0.719097  	0.140000	0.719097  	0.140000	0.787618  	0.140000	0.00202126	
0.160000	0.790755  	0.160000	0.790755  	0.160000	0.720122  	0.160000	0.720122  	0.160000	0.788948  	0.160000	0.00180672	
0.180000	0.795407  	0.180000	0.795407  	0.180000	0.7187    	0.180000	0.7187    	0.180000	0.793771  	0.180000	0.00163586	
0.200000	0.799531  	0.200000	0.799531  	0.200000	0.715841  	0.200000	0.715841  	0.200000	0.798035  	0.200000	0.00149633	
0.250000	0.789757  	0.250000	0.789757  	0.250000	0.705711  	0.250000	0.705711  	0.250000	0.788519  	0.250000	0.00123783	
0.300000	0.786503  	0.300000	0.786503  	0.300000	0.693928  	0.300000	0.693928  	0.300000	0.785444  	0.300000	0.00105928	
0.350000	0.781981  	0.350000	0.781981  	0.350000	0.686166  	0.350000	0.686166  	0.350000	0.781053  	0.350000	0.000928072	
0.400000	0.780939  	0.400000	0.780939  	0.400000	0.677745  	0.400000	0.677745  	0.400000	0.780111  	0.400000	0.000827309	
