*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	6.46179e-06	0.001000	6.74971e-06	0.001000	6.8628e-06	0.001000	6.8628e-06	0.001000	1.94521e-06	0.001000	4.8045e-06	
0.002000	6.56232e-06	0.002000	6.1566e-06	0.002000	6.54478e-06	0.002000	6.54478e-06	0.002000	2.52263e-06	0.002000	3.63397e-06	
0.005000	7.16584e-06	0.005000	5.78384e-06	0.005000	6.82919e-06	0.005000	6.82919e-06	0.005000	3.55697e-06	0.005000	2.22687e-06	
0.008000	7.81464e-06	0.008000	5.90337e-06	0.008000	7.48233e-06	0.008000	7.48233e-06	0.008000	4.24254e-06	0.008000	1.66083e-06	
0.010000	8.22042e-06	0.010000	6.0462e-06	0.010000	7.942e-06 	0.010000	7.942e-06 	0.010000	4.61282e-06	0.010000	1.43338e-06	
0.015000	9.68486e-06	0.015000	6.45471e-06	0.015000	9.05577e-06	0.015000	9.05577e-06	0.015000	5.37033e-06	0.015000	1.08438e-06	
0.020000	1.11024e-05	0.020000	6.85682e-06	0.020000	1.00793e-05	0.020000	1.00793e-05	0.020000	5.98209e-06	0.020000	8.74722e-07	
0.025000	1.27239e-05	0.025000	7.31066e-06	0.025000	1.10386e-05	0.025000	1.10386e-05	0.025000	6.56789e-06	0.025000	7.42771e-07	
0.030000	1.4211e-05	0.030000	9.10927e-06	0.030000	1.22501e-05	0.030000	1.22501e-05	0.030000	8.46102e-06	0.030000	6.4825e-07	
0.035000	1.55327e-05	0.035000	1.09463e-05	0.035000	1.34561e-05	0.035000	1.34561e-05	0.035000	1.03694e-05	0.035000	5.76857e-07	
0.040000	1.66688e-05	0.040000	1.27285e-05	0.040000	1.46509e-05	0.040000	1.46509e-05	0.040000	1.22077e-05	0.040000	5.2083e-07	
0.045000	1.75981e-05	0.045000	1.44297e-05	0.045000	1.583e-05 	0.045000	1.583e-05 	0.045000	1.39541e-05	0.045000	4.75567e-07	
0.050000	1.81723e-05	0.050000	1.60481e-05	0.050000	1.69899e-05	0.050000	1.69899e-05	0.050000	1.56099e-05	0.050000	4.38161e-07	
0.055000	1.9145e-05	0.055000	1.75923e-05	0.055000	1.81274e-05	0.055000	1.81274e-05	0.055000	1.71856e-05	0.055000	4.06675e-07	
0.060000	2.00058e-05	0.060000	1.89234e-05	0.060000	1.92401e-05	0.060000	1.92401e-05	0.060000	1.85437e-05	0.060000	3.79771e-07	
0.070000	2.14112e-05	0.070000	2.12665e-05	0.070000	2.13827e-05	0.070000	2.13827e-05	0.070000	2.09303e-05	0.070000	3.36125e-07	
0.080000	2.28997e-05	0.080000	2.34407e-05	0.080000	2.34042e-05	0.080000	2.34042e-05	0.080000	2.31386e-05	0.080000	3.02149e-07	
0.090000	2.41216e-05	0.090000	2.54571e-05	0.090000	2.52962e-05	0.090000	2.52962e-05	0.090000	2.51823e-05	0.090000	2.74881e-07	
0.100000	2.50744e-05	0.100000	2.73175e-05	0.100000	2.70536e-05	0.100000	2.70536e-05	0.100000	2.7065e-05	0.100000	2.52468e-07	
0.120000	2.57201e-05	0.120000	3.02793e-05	0.120000	3.0162e-05	0.120000	3.0162e-05	0.120000	3.00616e-05	0.120000	2.17708e-07	
0.140000	2.61552e-05	0.140000	3.25539e-05	0.140000	3.2746e-05	0.140000	3.2746e-05	0.140000	3.2362e-05	0.140000	1.91911e-07	
0.160000	2.65477e-05	0.160000	3.4457e-05	0.160000	3.48486e-05	0.160000	3.48486e-05	0.160000	3.42851e-05	0.160000	1.71942e-07	
0.180000	2.6967e-05	0.180000	3.60458e-05	0.180000	3.65263e-05	0.180000	3.65263e-05	0.180000	3.58898e-05	0.180000	1.55989e-07	
0.200000	2.76289e-05	0.200000	3.74972e-05	0.200000	3.78396e-05	0.200000	3.78396e-05	0.200000	3.73542e-05	0.200000	1.42928e-07	
0.250000	2.83675e-05	0.250000	4.05178e-05	0.250000	3.99007e-05	0.250000	3.99007e-05	0.250000	4.03992e-05	0.250000	1.18642e-07	
0.300000	2.90252e-05	0.300000	4.23283e-05	0.300000	4.07922e-05	0.300000	4.07922e-05	0.300000	4.22265e-05	0.300000	1.01795e-07	
0.350000	2.97357e-05	0.350000	4.35523e-05	0.350000	4.10191e-05	0.350000	4.10191e-05	0.350000	4.3463e-05	0.350000	8.93746e-08	
0.400000	3.03339e-05	0.400000	4.44094e-05	0.400000	4.10541e-05	0.400000	4.10541e-05	0.400000	4.43296e-05	0.400000	7.98107e-08	
0.450000	3.07496e-05	0.450000	4.48249e-05	0.450000	4.13175e-05	0.450000	4.13175e-05	0.450000	4.47527e-05	0.450000	7.22036e-08	
