*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0247678 	0.001000	0.024287  	0.001000	0.0280398 	0.001000	0.0280398 	0.001000	0.0280389 	0.001000	0.0134144 	0.001000	0.0108726 	
0.002000	0.0316482 	0.002000	0.0300595 	0.002000	0.0351274 	0.002000	0.0351274 	0.002000	0.0351269 	0.002000	0.0223421 	0.002000	0.0077174 	
0.005000	0.0489641 	0.005000	0.0461155 	0.005000	0.053057  	0.005000	0.053057  	0.005000	0.0530568 	0.005000	0.0416837 	0.005000	0.00443179	
0.008000	0.0619418 	0.008000	0.0589557 	0.008000	0.0667314 	0.008000	0.0667314 	0.008000	0.0667313 	0.008000	0.0557289 	0.008000	0.0032268 	
0.010000	0.0691011 	0.010000	0.0662253 	0.010000	0.0743235 	0.010000	0.0743235 	0.010000	0.0743235 	0.010000	0.0634744 	0.010000	0.00275097	
0.015000	0.0881637 	0.015000	0.0809735 	0.015000	0.090088  	0.015000	0.090088  	0.015000	0.090088  	0.015000	0.0789351 	0.015000	0.00203846	
0.020000	0.104112  	0.020000	0.0935864 	0.020000	0.103054  	0.020000	0.103054  	0.020000	0.103054  	0.020000	0.0919434 	0.020000	0.00164307	
0.025000	0.11771   	0.025000	0.104745  	0.025000	0.114376  	0.025000	0.114376  	0.025000	0.114376  	0.025000	0.103359  	0.025000	0.00138533	
0.030000	0.129367  	0.030000	0.114803  	0.030000	0.122376  	0.030000	0.122376  	0.030000	0.122376  	0.030000	0.113601  	0.030000	0.0012027 	
0.035000	0.139331  	0.035000	0.123963  	0.035000	0.129433  	0.035000	0.129433  	0.035000	0.129433  	0.035000	0.122897  	0.035000	0.00106586	
0.040000	0.147771  	0.040000	0.132344  	0.040000	0.135759  	0.040000	0.135759  	0.040000	0.135759  	0.040000	0.131384  	0.040000	0.000959137	
0.045000	0.154826  	0.045000	0.140024  	0.045000	0.141494  	0.045000	0.141494  	0.045000	0.141494  	0.045000	0.13915   	0.045000	0.00087335	
0.050000	0.160617  	0.050000	0.147056  	0.050000	0.14673   	0.050000	0.14673   	0.050000	0.14673   	0.050000	0.146254  	0.050000	0.000802748	
0.055000	0.165263  	0.055000	0.153481  	0.055000	0.151532  	0.055000	0.151532  	0.055000	0.151532  	0.055000	0.152738  	0.055000	0.000743531	
0.060000	0.168884  	0.060000	0.15933   	0.060000	0.155949  	0.060000	0.155949  	0.060000	0.155949  	0.060000	0.158637  	0.060000	0.000693086	
