*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.289128  	0.001000	0.141162  	0.001000	0.1451    	0.001000	0.1451    	0.001000	0.145065  	0.001000	0.0762496 	0.001000	0.0649129 	
0.002000	0.317619  	0.002000	0.156498  	0.002000	0.164284  	0.002000	0.164284  	0.002000	0.164262  	0.002000	0.105614  	0.002000	0.0508835 	
0.005000	0.390713  	0.005000	0.194852  	0.005000	0.211691  	0.005000	0.211691  	0.005000	0.21168   	0.005000	0.162463  	0.005000	0.0323895 	
0.008000	0.447905  	0.008000	0.227147  	0.008000	0.251323  	0.008000	0.251323  	0.008000	0.251317  	0.008000	0.202623  	0.008000	0.0245233 	
0.010000	0.480205  	0.010000	0.246325  	0.010000	0.274867  	0.010000	0.274867  	0.010000	0.274861  	0.010000	0.225028  	0.010000	0.0212966 	
0.015000	0.562333  	0.015000	0.288542  	0.015000	0.32683   	0.015000	0.32683   	0.015000	0.326827  	0.015000	0.27227   	0.015000	0.0162718 	
0.020000	0.628136  	0.020000	0.329291  	0.020000	0.379631  	0.020000	0.379631  	0.020000	0.379629  	0.020000	0.315965  	0.020000	0.0133257 	
0.025000	0.702168  	0.025000	0.371506  	0.025000	0.431894  	0.025000	0.431894  	0.025000	0.431892  	0.025000	0.360246  	0.025000	0.0112598 	
0.030000	0.765055  	0.030000	0.411637  	0.030000	0.46748   	0.030000	0.46748   	0.030000	0.467478  	0.030000	0.401776  	0.030000	0.0098609 	
0.035000	0.81682   	0.035000	0.448574  	0.035000	0.499321  	0.035000	0.499321  	0.035000	0.499319  	0.035000	0.439776  	0.035000	0.0087984 	
0.040000	0.857637  	0.040000	0.482471  	0.040000	0.527751  	0.040000	0.527751  	0.040000	0.52775   	0.040000	0.47451   	0.040000	0.007961  	
0.045000	0.887715  	0.045000	0.513529  	0.045000	0.553067  	0.045000	0.553067  	0.045000	0.553066  	0.045000	0.506247  	0.045000	0.00728218	
0.050000	0.906301  	0.050000	0.541567  	0.050000	0.575549  	0.050000	0.575549  	0.050000	0.575548  	0.050000	0.534847  	0.050000	0.0067196 	
0.055000	0.94468   	0.055000	0.564014  	0.055000	0.595464  	0.055000	0.595464  	0.055000	0.595463  	0.055000	0.557769  	0.055000	0.00624494	
0.060000	0.977034  	0.060000	0.584326  	0.060000	0.613072  	0.060000	0.613072  	0.060000	0.613071  	0.060000	0.578488  	0.060000	0.00583852	
0.070000	1.02546   	0.070000	0.619656  	0.070000	0.642332  	0.070000	0.642332  	0.070000	0.642332  	0.070000	0.614478  	0.070000	0.00517754	
